,Course_ID,Year,Course_Duration,Course_Digit,Number_Ressources,Number_Video,Number_Quiz,Number_Exam,Basic_Sequence,Advanced_Sequence
98,99,2013,5,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
99,100,2013,10,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
100,101,2013,10,1,1,0,1,0,Quizz,Quizz Duration: 1H
101,102,2013,7,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
102,103,2013,11,1,1,0,1,0,Quizz,Quizz Duration: 1H
103,104,2013,34,3,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 2H
104,105,2013,9,4,3,1,1,1,Quizz-Video-Exam,Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H
105,106,2013,5,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
106,107,2013,30,15,8,3,4,1,Quizz-Video-Quizz-Video-Video-Quizz-Quizz-Exam,Quizz Duration: 1H-Video Duration: 4H-Quizz Duration: 1H-Video Duration: 2H-Video Duration: 3H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 2H
107,108,2013,10,3,2,1,1,0,Video-Quizz,Video Duration: 2H-Quizz Duration: 1H
108,109,2013,19,5,4,1,2,1,Video-Exam-Quizz-Quizz,Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Quizz Duration: 1H
109,110,2013,27,11,6,2,2,2,Video-Video-Quizz-Exam-Exam-Quizz,Video Duration: 4H-Video Duration: 2H-Quizz Duration: 1H-Exam Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H
110,111,2013,15,7,6,3,2,1,Video-Quizz-Video-Video-Exam-Quizz,Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 2H-Exam Duration: 1H-Quizz Duration: 1H
111,112,2013,11,0,0,0,0,0,,
112,113,2013,22,6,4,2,1,1,Video-Quizz-Exam-Video,Video Duration: 1H-Quizz Duration: 2H-Exam Duration: 1H-Video Duration: 2H
113,114,2013,40,7,5,2,2,1,Exam-Quizz-Video-Quizz-Video,Exam Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Quizz Duration: 1H-Video Duration: 2H
114,115,2013,26,5,3,1,1,1,Video-Quizz-Exam,Video Duration: 2H-Quizz Duration: 2H-Exam Duration: 1H
115,116,2013,8,3,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 2H
116,117,2013,14,7,4,2,1,1,Exam-Video-Video-Quizz,Exam Duration: 1H-Video Duration: 1H-Video Duration: 3H-Quizz Duration: 2H
117,118,2013,32,5,5,2,3,0,Quizz-Video-Quizz-Video-Quizz,Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
118,119,2013,9,3,3,2,1,0,Video-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
119,120,2013,13,1,1,0,1,0,Quizz,Quizz Duration: 1H
120,121,2013,5,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
121,122,2013,15,6,6,3,2,1,Quizz-Exam-Video-Quizz-Video-Video,Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H
122,123,2013,9,4,3,2,1,0,Quizz-Video-Video,Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H
123,124,2013,8,0,0,0,0,0,,
124,125,2013,21,3,2,1,1,0,Quizz-Video,Quizz Duration: 2H-Video Duration: 1H
125,126,2013,41,9,6,2,2,2,Exam-Video-Exam-Quizz-Quizz-Video,Exam Duration: 1H-Video Duration: 2H-Exam Duration: 1H-Quizz Duration: 2H-Quizz Duration: 2H-Video Duration: 1H
126,127,2013,12,6,6,3,2,1,Video-Quizz-Exam-Video-Quizz-Video,Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H
127,128,2013,37,1,1,0,1,0,Quizz,Quizz Duration: 1H
128,129,2013,30,13,10,6,3,1,Exam-Quizz-Quizz-Video-Video-Video-Video-Video-Video-Quizz,Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Video Duration: 1H-Video Duration: 2H-Video Duration: 1H-Video Duration: 2H-Video Duration: 1H-Quizz Duration: 1H
129,130,2013,16,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
130,131,2013,13,5,5,1,3,1,Quizz-Quizz-Video-Exam-Quizz,Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H
131,132,2013,28,1,1,0,1,0,Quizz,Quizz Duration: 1H
132,133,2013,38,15,12,3,5,4,Video-Video-Quizz-Quizz-Video-Quizz-Exam-Exam-Exam-Quizz-Exam-Quizz,Video Duration: 1H-Video Duration: 2H-Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Quizz Duration: 2H-Exam Duration: 1H-Exam Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H
133,134,2013,10,4,4,3,1,0,Video-Video-Quizz-Video,Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H
134,135,2013,35,5,4,1,2,1,Video-Quizz-Quizz-Exam,Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 2H-Exam Duration: 1H
135,136,2013,11,3,2,1,1,0,Quizz-Video,Quizz Duration: 2H-Video Duration: 1H
136,137,2013,6,0,0,0,0,0,,
137,138,2013,15,1,1,0,1,0,Quizz,Quizz Duration: 1H
138,139,2013,39,11,8,3,4,1,Video-Video-Exam-Quizz-Quizz-Quizz-Video-Quizz,Video Duration: 2H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Quizz Duration: 1H
139,140,2013,43,17,11,7,3,1,Video-Quizz-Video-Video-Video-Exam-Video-Quizz-Video-Video-Quizz,Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 2H-Video Duration: 4H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Video Duration: 1H-Quizz Duration: 2H
140,141,2013,10,1,1,0,1,0,Quizz,Quizz Duration: 1H
141,142,2013,15,4,4,1,2,1,Quizz-Video-Quizz-Exam,Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H
142,143,2013,30,10,6,3,3,0,Video-Video-Quizz-Video-Quizz-Quizz,Video Duration: 3H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 3H-Quizz Duration: 1H-Quizz Duration: 1H
143,144,2013,35,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
144,145,2013,14,5,4,2,1,1,Video-Exam-Video-Quizz,Video Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 2H
145,146,2013,10,4,3,1,1,1,Exam-Quizz-Video,Exam Duration: 1H-Quizz Duration: 2H-Video Duration: 1H
146,147,2013,8,3,2,1,1,0,Video-Quizz,Video Duration: 2H-Quizz Duration: 1H
147,148,2013,28,4,3,1,1,1,Quizz-Video-Exam,Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H
148,149,2013,22,1,1,0,1,0,Quizz,Quizz Duration: 1H
149,150,2013,10,1,1,0,1,0,Quizz,Quizz Duration: 1H
150,151,2013,19,9,5,3,1,1,Video-Video-Video-Quizz-Exam,Video Duration: 3H-Video Duration: 1H-Video Duration: 2H-Quizz Duration: 2H-Exam Duration: 1H
151,152,2013,12,5,5,3,2,0,Video-Video-Quizz-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
152,153,2013,9,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
153,154,2013,38,13,11,5,3,3,Video-Video-Video-Exam-Quizz-Quizz-Quizz-Video-Exam-Video-Exam,Video Duration: 1H-Video Duration: 2H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Exam Duration: 1H
154,155,2013,56,13,9,3,3,3,Exam-Quizz-Video-Video-Exam-Quizz-Exam-Quizz-Video,Exam Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Exam Duration: 1H-Quizz Duration: 2H-Video Duration: 3H
155,156,2013,41,0,0,0,0,0,,
156,157,2013,15,0,0,0,0,0,,
157,158,2013,15,5,5,1,3,1,Exam-Quizz-Video-Quizz-Quizz,Exam Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H
158,159,2013,9,4,4,2,2,0,Quizz-Video-Quizz-Video,Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H
159,160,2013,36,6,3,1,1,1,Video-Quizz-Exam,Video Duration: 3H-Quizz Duration: 2H-Exam Duration: 1H
160,161,2013,8,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
161,162,2013,6,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
162,163,2013,18,8,8,5,2,1,Video-Video-Video-Video-Exam-Quizz-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
163,164,2013,15,4,4,2,2,0,Video-Quizz-Video-Quizz,Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
164,165,2013,24,9,8,4,3,1,Video-Video-Quizz-Exam-Video-Quizz-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Quizz Duration: 1H
165,166,2013,12,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
166,167,2013,8,3,3,2,1,0,Video-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
167,168,2013,30,5,4,1,2,1,Quizz-Quizz-Video-Exam,Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Exam Duration: 1H
168,169,2013,28,6,4,2,2,0,Quizz-Video-Quizz-Video,Quizz Duration: 1H-Video Duration: 2H-Quizz Duration: 1H-Video Duration: 2H
169,170,2013,14,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
170,171,2013,19,3,3,2,1,0,Video-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
171,172,2013,15,7,3,1,2,0,Quizz-Video-Quizz,Quizz Duration: 1H-Video Duration: 4H-Quizz Duration: 2H
172,173,2013,8,0,0,0,0,0,,
173,174,2013,16,6,5,3,2,0,Quizz-Quizz-Video-Video-Video,Quizz Duration: 2H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H
