,Chapter,Year,Success_Prct
47,Espaces Euclidiens,2020,53
48,Espaces Prehilbertiens Reel ou Complexes,2015,37
49,Espaces Prehilbertiens Reel ou Complexes,2016,45
50,Espaces Prehilbertiens Reel ou Complexes,2017,43
51,Espaces Prehilbertiens Reel ou Complexes,2018,43
52,Espaces Prehilbertiens Reel ou Complexes,2019,48
53,Espaces Prehilbertiens Reel ou Complexes,2020,48
54,Fonction Trigonometriques,2015,30
55,Fonction Trigonometriques,2016,26
56,Fonction Trigonometriques,2017,41
57,Fonction Trigonometriques,2018,46
58,Fonction Trigonometriques,2019,51
59,Fonction Trigonometriques,2020,43
60,Fonctions Reciproques,2015,30
61,Fonctions Reciproques,2016,41
62,Fonctions Reciproques,2017,28
63,Fonctions Reciproques,2018,44
64,Fonctions Reciproques,2019,44
65,Fonctions Reciproques,2020,37
66,Geometrie Plane,2015,43
67,Geometrie Plane,2016,42
68,Geometrie Plane,2017,37
69,Geometrie Plane,2018,43
70,Geometrie Plane,2019,44
71,Geometrie Plane,2020,63
72,Integrales Abeliennes,2015,33
73,Integrales Abeliennes,2016,38
74,Integrales Abeliennes,2017,37
75,Integrales Abeliennes,2018,50
76,Integrales Abeliennes,2019,45
77,Integrales Abeliennes,2020,40
78,Integration des Fractions Rationnelles,2015,37
79,Integration des Fractions Rationnelles,2016,44
80,Integration des Fractions Rationnelles,2017,48
81,Integration des Fractions Rationnelles,2018,49
82,Integration des Fractions Rationnelles,2019,39
83,Integration des Fractions Rationnelles,2020,55
84,La Fonction Exponentielle Complexe,2015,35
85,La Fonction Exponentielle Complexe,2016,36
86,La Fonction Exponentielle Complexe,2017,37
87,La Fonction Exponentielle Complexe,2018,29
88,La Fonction Exponentielle Complexe,2019,39
89,La Fonction Exponentielle Complexe,2020,40
90,Les Divers Types d'Integrale,2015,30
91,Les Divers Types d'Integrale,2016,34
92,Les Divers Types d'Integrale,2017,32
93,Les Divers Types d'Integrale,2018,38
94,Les Divers Types d'Integrale,2019,34
95,Les Divers Types d'Integrale,2020,42
96,Les Methodes Generales d'Integration,2015,47
97,Les Methodes Generales d'Integration,2016,47
98,Les Methodes Generales d'Integration,2017,31
99,Les Methodes Generales d'Integration,2018,46
100,Les Methodes Generales d'Integration,2019,34
101,Les Methodes Generales d'Integration,2020,36
102,Methodes Generales pour aborder un probleme de Geometrie Analytique,2015,1
103,Methodes Generales pour aborder un probleme de Geometrie Analytique,2016,9
104,Methodes Generales pour aborder un probleme de Geometrie Analytique,2017,47
105,Methodes Generales pour aborder un probleme de Geometrie Analytique,2018,7
106,Methodes Generales pour aborder un probleme de Geometrie Analytique,2019,53
107,Methodes Generales pour aborder un probleme de Geometrie Analytique,2020,53
108,Projecteurs et Symetries,2015,34
109,Projecteurs et Symetries,2016,35
110,Projecteurs et Symetries,2017,48
111,Projecteurs et Symetries,2018,38
112,Projecteurs et Symetries,2019,39
113,Projecteurs et Symetries,2020,36
114,Quelques Exemples en Maple,2015,33
115,Quelques Exemples en Maple,2016,36
116,Quelques Exemples en Maple,2017,36
117,Quelques Exemples en Maple,2018,25
118,Quelques Exemples en Maple,2019,28
119,Quelques Exemples en Maple,2020,32
120,Quelques Techniques de Calcul,2015,14
121,Quelques Techniques de Calcul,2016,30
122,Quelques Techniques de Calcul,2017,25
123,Quelques Techniques de Calcul,2018,56
124,Quelques Techniques de Calcul,2019,14
125,Quelques Techniques de Calcul,2020,36
126,Rappels et Complements sur le Groupe Orthogonal d'un Espace Euclidien,2015,32
127,Rappels et Complements sur le Groupe Orthogonal d'un Espace Euclidien,2016,34
128,Rappels et Complements sur le Groupe Orthogonal d'un Espace Euclidien,2017,38
129,Rappels et Complements sur le Groupe Orthogonal d'un Espace Euclidien,2018,36
130,Rappels et Complements sur le Groupe Orthogonal d'un Espace Euclidien,2019,34
131,Rappels et Complements sur le Groupe Orthogonal d'un Espace Euclidien,2020,35
132,Sommes de Sous Espaces,2015,30
133,Sommes de Sous Espaces,2016,45
134,Sommes de Sous Espaces,2017,31
135,Sommes de Sous Espaces,2018,41
136,Sommes de Sous Espaces,2019,50
137,Sommes de Sous Espaces,2020,46
138,Sous Espaces Supplementaires,2015,36
139,Sous Espaces Supplementaires,2016,39
140,Sous Espaces Supplementaires,2017,47
141,Sous Espaces Supplementaires,2018,54
142,Sous Espaces Supplementaires,2019,40
143,Sous Espaces Supplementaires,2020,45
144,Sur l'Utilisation de Maple,2015,39
145,Sur l'Utilisation de Maple,2016,36
146,Sur l'Utilisation de Maple,2017,41
147,Sur l'Utilisation de Maple,2018,42
148,Sur l'Utilisation de Maple,2019,42
149,Sur l'Utilisation de Maple,2020,53
150,Theoreme du Rang,2015,35
151,Theoreme du Rang,2016,49
152,Theoreme du Rang,2017,38
153,Theoreme du Rang,2018,41
154,Theoreme du Rang,2019,46
155,Theoreme du Rang,2020,56
156,Theroeme de Rolle et des Accroissements Finis,2015,32
157,Theroeme de Rolle et des Accroissements Finis,2016,37
158,Theroeme de Rolle et des Accroissements Finis,2017,32
159,Theroeme de Rolle et des Accroissements Finis,2018,39
160,Theroeme de Rolle et des Accroissements Finis,2019,35
161,Theroeme de Rolle et des Accroissements Finis,2020,44
