Course_ID,Duration,Duration_Digit,Duration_Present,Year,Total_Courses_perYear,Digit_Ratio,Digit_Percentage,Digitalization,Type
24,30,1,29,2013,1045,0.02,2,Low Digitalization,Medium Course ( >15H and <40H )
25,13,10,3,2013,1045,0.74,74,Medium-High Digitalization,Small Course ( <15H )
26,72,41,31,2013,1045,0.57,56,Medium-High Digitalization,High Course ( >40H )
27,7,4,3,2013,1045,0.51,51,Medium-High Digitalization,Small Course ( <15H )
28,61,1,60,2013,1045,0.01,1,Low Digitalization,High Course ( >40H )
29,88,61,27,2013,1045,0.69,69,Medium-High Digitalization,High Course ( >40H )
30,10,1,9,2013,1045,0.1,10,Low Digitalization,Small Course ( <15H )
31,57,36,21,2013,1045,0.63,63,Medium-High Digitalization,High Course ( >40H )
32,55,45,10,2013,1045,0.82,82,High Digitalization,High Course ( >40H )
33,23,2,21,2013,1045,0.1,10,Low Digitalization,Medium Course ( >15H and <40H )
34,36,0,36,2013,1045,0.01,1,Low Digitalization,Medium Course ( >15H and <40H )
35,62,40,22,2013,1045,0.64,64,Medium-High Digitalization,High Course ( >40H )
36,78,60,18,2013,1045,0.77,77,Medium-High Digitalization,High Course ( >40H )
37,31,17,14,2013,1045,0.55,55,Medium-High Digitalization,Medium Course ( >15H and <40H )
38,14,14,0,2013,1045,0.99,99,High Digitalization,Small Course ( <15H )
39,86,6,80,2013,1045,0.07,7,Low Digitalization,High Course ( >40H )
40,77,46,31,2013,1045,0.6,60,Medium-High Digitalization,High Course ( >40H )
41,9,4,4,2013,1045,0.5,50,Medium-Low Digitalization,Small Course ( <15H )
42,23,16,7,2013,1045,0.69,69,Medium-High Digitalization,Medium Course ( >15H and <40H )
43,43,13,30,2013,1045,0.31,31,Medium-Low Digitalization,High Course ( >40H )
44,27,4,23,2013,1045,0.16,16,Low Digitalization,Medium Course ( >15H and <40H )
45,26,4,22,2013,1045,0.15,15,Low Digitalization,Medium Course ( >15H and <40H )
46,31,6,25,2013,1045,0.19,19,Low Digitalization,Medium Course ( >15H and <40H )
47,20,16,4,2013,1045,0.82,82,High Digitalization,Medium Course ( >15H and <40H )
48,33,18,15,2013,1045,0.54,54,Medium-High Digitalization,Medium Course ( >15H and <40H )
49,29,1,28,2013,1045,0.03,3,Low Digitalization,Medium Course ( >15H and <40H )
50,8,2,6,2013,1045,0.19,19,Low Digitalization,Small Course ( <15H )
51,77,26,51,2013,1045,0.34,34,Medium-Low Digitalization,High Course ( >40H )
52,6,1,5,2013,1045,0.17,17,Low Digitalization,Small Course ( <15H )
53,38,2,36,2013,1045,0.05,5,Low Digitalization,Medium Course ( >15H and <40H )
54,14,2,12,2013,1045,0.16,16,Low Digitalization,Small Course ( <15H )
55,60,35,25,2013,1045,0.59,59,Medium-High Digitalization,High Course ( >40H )
56,21,11,10,2013,1045,0.51,51,Medium-High Digitalization,Medium Course ( >15H and <40H )
57,68,25,43,2013,1045,0.37,37,Medium-Low Digitalization,High Course ( >40H )
58,13,8,5,2013,1045,0.58,57,Medium-High Digitalization,Small Course ( <15H )
59,26,9,17,2013,1045,0.34,34,Medium-Low Digitalization,Medium Course ( >15H and <40H )
60,11,1,10,2013,1045,0.07,7,Low Digitalization,Small Course ( <15H )
61,15,8,7,2013,1045,0.53,53,Medium-High Digitalization,Small Course ( <15H )
62,43,40,3,2013,1045,0.92,92,High Digitalization,High Course ( >40H )
63,37,3,34,2013,1045,0.07,7,Low Digitalization,Medium Course ( >15H and <40H )
64,83,63,20,2013,1045,0.76,76,Medium-High Digitalization,High Course ( >40H )
65,50,30,20,2013,1045,0.59,59,Medium-High Digitalization,High Course ( >40H )
66,34,8,26,2013,1045,0.25,25,Medium-Low Digitalization,Medium Course ( >15H and <40H )
67,57,50,7,2013,1045,0.88,88,High Digitalization,High Course ( >40H )
68,85,77,8,2013,1045,0.91,91,High Digitalization,High Course ( >40H )
69,22,12,10,2013,1045,0.55,55,Medium-High Digitalization,Medium Course ( >15H and <40H )
70,24,23,1,2013,1045,0.95,95,High Digitalization,Medium Course ( >15H and <40H )
71,60,16,44,2013,1045,0.26,26,Medium-Low Digitalization,High Course ( >40H )
72,9,4,5,2013,1045,0.46,46,Medium-Low Digitalization,Small Course ( <15H )
73,8,1,7,2013,1045,0.12,12,Low Digitalization,Small Course ( <15H )
74,86,39,47,2013,1045,0.45,45,Medium-Low Digitalization,High Course ( >40H )
75,23,8,15,2013,1045,0.36,36,Medium-Low Digitalization,Medium Course ( >15H and <40H )
76,23,20,3,2013,1045,0.86,86,High Digitalization,Medium Course ( >15H and <40H )
77,11,5,6,2013,1045,0.45,45,Medium-Low Digitalization,Small Course ( <15H )
78,40,34,6,2013,1045,0.85,85,High Digitalization,High Course ( >40H )
79,70,66,4,2013,1045,0.95,95,High Digitalization,High Course ( >40H )
80,28,14,14,2013,1045,0.51,51,Medium-High Digitalization,Medium Course ( >15H and <40H )
81,80,39,41,2013,1045,0.49,49,Medium-Low Digitalization,High Course ( >40H )
82,89,18,71,2013,1045,0.2,20,Low Digitalization,High Course ( >40H )
83,56,38,18,2013,1045,0.67,67,Medium-High Digitalization,High Course ( >40H )
84,41,21,20,2013,1045,0.52,52,Medium-High Digitalization,High Course ( >40H )
85,35,33,2,2013,1045,0.93,93,High Digitalization,Medium Course ( >15H and <40H )
86,56,46,10,2013,1045,0.83,83,High Digitalization,High Course ( >40H )
87,40,26,14,2013,1045,0.65,65,Medium-High Digitalization,High Course ( >40H )
88,49,14,35,2013,1045,0.28,28,Medium-Low Digitalization,High Course ( >40H )
89,11,11,0,2013,1045,0.99,99,High Digitalization,Small Course ( <15H )
90,86,28,58,2013,1045,0.33,33,Medium-Low Digitalization,High Course ( >40H )
91,24,16,8,2013,1045,0.68,68,Medium-High Digitalization,Medium Course ( >15H and <40H )
92,21,14,7,2013,1045,0.65,65,Medium-High Digitalization,Medium Course ( >15H and <40H )
93,14,3,11,2013,1045,0.22,22,Medium-Low Digitalization,Small Course ( <15H )
94,29,8,21,2013,1045,0.26,26,Medium-Low Digitalization,Medium Course ( >15H and <40H )
95,60,41,19,2013,1045,0.68,68,Medium-High Digitalization,High Course ( >40H )
96,38,19,19,2013,1045,0.51,51,Medium-High Digitalization,Medium Course ( >15H and <40H )
97,60,38,22,2013,1045,0.63,63,Medium-High Digitalization,High Course ( >40H )
98,65,3,62,2013,1045,0.05,5,Low Digitalization,High Course ( >40H )
99,44,33,11,2013,1045,0.76,76,Medium-High Digitalization,High Course ( >40H )
100,80,27,53,2013,1045,0.34,34,Medium-Low Digitalization,High Course ( >40H )
101,5,4,1,2013,1045,0.85,85,High Digitalization,Small Course ( <15H )
102,55,7,48,2013,1045,0.13,13,Low Digitalization,High Course ( >40H )
103,69,52,17,2013,1045,0.76,76,Medium-High Digitalization,High Course ( >40H )
104,10,8,2,2013,1045,0.75,75,Medium-High Digitalization,Small Course ( <15H )
105,29,18,11,2013,1045,0.61,61,Medium-High Digitalization,Medium Course ( >15H and <40H )
106,15,2,13,2013,1045,0.13,13,Low Digitalization,Small Course ( <15H )
107,65,40,25,2013,1045,0.62,62,Medium-High Digitalization,High Course ( >40H )
108,58,3,55,2013,1045,0.06,6,Low Digitalization,High Course ( >40H )
109,44,36,8,2013,1045,0.81,81,High Digitalization,High Course ( >40H )
110,72,32,40,2013,1045,0.45,45,Medium-Low Digitalization,High Course ( >40H )
111,88,84,4,2013,1045,0.96,96,High Digitalization,High Course ( >40H )
112,57,32,25,2013,1045,0.56,56,Medium-High Digitalization,High Course ( >40H )
113,8,4,4,2013,1045,0.51,51,Medium-High Digitalization,Small Course ( <15H )
114,9,9,0,2013,1045,0.96,96,High Digitalization,Small Course ( <15H )
115,8,7,1,2013,1045,0.91,91,High Digitalization,Small Course ( <15H )
116,67,31,36,2013,1045,0.46,46,Medium-Low Digitalization,High Course ( >40H )
117,56,13,43,2013,1045,0.23,23,Medium-Low Digitalization,High Course ( >40H )
118,7,1,6,2013,1045,0.11,11,Low Digitalization,Small Course ( <15H )
119,14,4,10,2013,1045,0.27,27,Medium-Low Digitalization,Small Course ( <15H )
120,7,5,2,2013,1045,0.65,65,Medium-High Digitalization,Small Course ( <15H )
121,27,23,4,2013,1045,0.87,87,High Digitalization,Medium Course ( >15H and <40H )
122,57,45,12,2013,1045,0.79,79,Medium-High Digitalization,High Course ( >40H )
123,57,27,30,2013,1045,0.47,47,Medium-Low Digitalization,High Course ( >40H )
124,38,4,34,2013,1045,0.1,10,Low Digitalization,Medium Course ( >15H and <40H )
125,57,48,9,2013,1045,0.85,85,High Digitalization,High Course ( >40H )
126,47,4,43,2013,1045,0.09,9,Low Digitalization,High Course ( >40H )
127,56,30,26,2013,1045,0.53,53,Medium-High Digitalization,High Course ( >40H )
128,37,25,12,2013,1045,0.68,68,Medium-High Digitalization,Medium Course ( >15H and <40H )
129,50,17,33,2013,1045,0.34,34,Medium-Low Digitalization,High Course ( >40H )
130,41,40,1,2013,1045,0.97,97,High Digitalization,High Course ( >40H )
131,44,35,9,2013,1045,0.79,79,Medium-High Digitalization,High Course ( >40H )
132,8,5,3,2013,1045,0.64,64,Medium-High Digitalization,Small Course ( <15H )
133,63,43,20,2013,1045,0.68,68,Medium-High Digitalization,High Course ( >40H )
134,14,12,2,2013,1045,0.83,83,High Digitalization,Small Course ( <15H )
135,24,5,19,2013,1045,0.2,20,Low Digitalization,Medium Course ( >15H and <40H )
136,32,15,17,2013,1045,0.48,48,Medium-Low Digitalization,Medium Course ( >15H and <40H )
137,65,38,27,2013,1045,0.58,57,Medium-High Digitalization,High Course ( >40H )
138,45,44,1,2013,1045,0.97,97,High Digitalization,High Course ( >40H )
139,15,3,12,2013,1045,0.17,17,Low Digitalization,Small Course ( <15H )
140,15,5,10,2013,1045,0.35,35,Medium-Low Digitalization,Small Course ( <15H )
141,67,61,6,2013,1045,0.91,91,High Digitalization,High Course ( >40H )
142,34,15,19,2013,1045,0.43,43,Medium-Low Digitalization,Medium Course ( >15H and <40H )
143,67,54,13,2013,1045,0.8,80,Medium-High Digitalization,High Course ( >40H )
144,9,9,0,2013,1045,1.0,100,High Digitalization,Small Course ( <15H )
145,11,5,6,2013,1045,0.46,46,Medium-Low Digitalization,Small Course ( <15H )
146,55,31,24,2013,1045,0.57,56,Medium-High Digitalization,High Course ( >40H )
147,9,2,7,2013,1045,0.24,24,Medium-Low Digitalization,Small Course ( <15H )
148,50,30,20,2013,1045,0.6,60,Medium-High Digitalization,High Course ( >40H )
149,10,8,2,2013,1045,0.84,84,High Digitalization,Small Course ( <15H )
150,64,56,8,2013,1045,0.87,87,High Digitalization,High Course ( >40H )
151,69,48,21,2013,1045,0.7,70,Medium-High Digitalization,High Course ( >40H )
152,33,9,24,2013,1045,0.28,28,Medium-Low Digitalization,Medium Course ( >15H and <40H )
153,62,57,5,2013,1045,0.92,92,High Digitalization,High Course ( >40H )
154,19,4,15,2013,1045,0.21,21,Medium-Low Digitalization,Medium Course ( >15H and <40H )
155,61,18,43,2013,1045,0.3,30,Medium-Low Digitalization,High Course ( >40H )
156,48,28,20,2013,1045,0.58,57,Medium-High Digitalization,High Course ( >40H )
157,69,31,38,2013,1045,0.45,45,Medium-Low Digitalization,High Course ( >40H )
158,7,6,1,2013,1045,0.85,85,High Digitalization,Small Course ( <15H )
159,49,5,44,2013,1045,0.11,11,Low Digitalization,High Course ( >40H )
160,42,36,6,2013,1045,0.85,85,High Digitalization,High Course ( >40H )
161,32,22,10,2013,1045,0.7,70,Medium-High Digitalization,Medium Course ( >15H and <40H )
162,9,6,3,2013,1045,0.64,64,Medium-High Digitalization,Small Course ( <15H )
163,9,4,4,2013,1045,0.5,50,Medium-Low Digitalization,Small Course ( <15H )
164,80,65,15,2013,1045,0.81,81,High Digitalization,High Course ( >40H )
165,24,6,18,2013,1045,0.23,23,Medium-Low Digitalization,Medium Course ( >15H and <40H )
166,14,11,3,2013,1045,0.78,78,Medium-High Digitalization,Small Course ( <15H )
167,11,7,4,2013,1045,0.61,61,Medium-High Digitalization,Small Course ( <15H )
168,60,35,25,2013,1045,0.58,57,Medium-High Digitalization,High Course ( >40H )
169,76,7,69,2013,1045,0.09,9,Low Digitalization,High Course ( >40H )
170,45,22,23,2013,1045,0.49,49,Medium-Low Digitalization,High Course ( >40H )
171,14,5,9,2013,1045,0.35,35,Medium-Low Digitalization,Small Course ( <15H )
172,75,71,4,2013,1045,0.95,95,High Digitalization,High Course ( >40H )
173,54,22,32,2013,1045,0.4,40,Medium-Low Digitalization,High Course ( >40H )
174,81,27,54,2013,1045,0.33,33,Medium-Low Digitalization,High Course ( >40H )
175,19,11,8,2013,1045,0.59,59,Medium-High Digitalization,Medium Course ( >15H and <40H )
176,12,10,2,2013,1045,0.85,85,High Digitalization,Small Course ( <15H )
177,6,3,3,2013,1045,0.48,48,Medium-Low Digitalization,Small Course ( <15H )
178,54,13,41,2013,1045,0.24,24,Medium-Low Digitalization,High Course ( >40H )
179,21,3,18,2013,1045,0.13,13,Low Digitalization,Medium Course ( >15H and <40H )
180,69,53,16,2013,1045,0.77,77,Medium-High Digitalization,High Course ( >40H )
181,6,5,1,2013,1045,0.91,91,High Digitalization,Small Course ( <15H )
182,36,33,3,2013,1045,0.93,93,High Digitalization,Medium Course ( >15H and <40H )
183,68,50,18,2013,1045,0.73,73,Medium-High Digitalization,High Course ( >40H )
184,15,11,4,2013,1045,0.71,71,Medium-High Digitalization,Small Course ( <15H )
185,12,4,8,2013,1045,0.32,32,Medium-Low Digitalization,Small Course ( <15H )
186,14,0,14,2013,1045,0.01,1,Low Digitalization,Small Course ( <15H )
187,8,4,4,2013,1045,0.44,44,Medium-Low Digitalization,Small Course ( <15H )
188,41,23,18,2013,1045,0.56,56,Medium-High Digitalization,High Course ( >40H )
189,64,53,11,2013,1045,0.83,83,High Digitalization,High Course ( >40H )
190,84,60,24,2013,1045,0.72,72,Medium-High Digitalization,High Course ( >40H )
191,61,38,23,2013,1045,0.62,62,Medium-High Digitalization,High Course ( >40H )
192,53,11,42,2013,1045,0.2,20,Low Digitalization,High Course ( >40H )
193,44,22,22,2013,1045,0.5,50,Medium-Low Digitalization,High Course ( >40H )
194,60,28,32,2013,1045,0.46,46,Medium-Low Digitalization,High Course ( >40H )
195,7,5,2,2013,1045,0.76,76,Medium-High Digitalization,Small Course ( <15H )
196,37,14,23,2013,1045,0.38,38,Medium-Low Digitalization,Medium Course ( >15H and <40H )
197,75,17,58,2013,1045,0.23,23,Medium-Low Digitalization,High Course ( >40H )
198,24,13,11,2013,1045,0.54,54,Medium-High Digitalization,Medium Course ( >15H and <40H )
199,15,14,1,2013,1045,0.96,96,High Digitalization,Small Course ( <15H )
200,37,36,1,2013,1045,0.96,96,High Digitalization,Medium Course ( >15H and <40H )
201,6,2,4,2013,1045,0.33,33,Medium-Low Digitalization,Small Course ( <15H )
202,15,7,8,2013,1045,0.45,45,Medium-Low Digitalization,Small Course ( <15H )
203,7,3,4,2013,1045,0.47,47,Medium-Low Digitalization,Small Course ( <15H )
204,64,13,51,2013,1045,0.21,21,Medium-Low Digitalization,High Course ( >40H )
205,38,35,3,2013,1045,0.91,91,High Digitalization,Medium Course ( >15H and <40H )
206,22,2,20,2013,1045,0.1,10,Low Digitalization,Medium Course ( >15H and <40H )
207,14,3,11,2013,1045,0.2,20,Low Digitalization,Small Course ( <15H )
208,15,6,9,2013,1045,0.38,38,Medium-Low Digitalization,Small Course ( <15H )
209,29,2,27,2013,1045,0.07,7,Low Digitalization,Medium Course ( >15H and <40H )
210,11,9,2,2013,1045,0.86,86,High Digitalization,Small Course ( <15H )
211,8,2,6,2013,1045,0.23,23,Medium-Low Digitalization,Small Course ( <15H )
212,83,65,18,2013,1045,0.78,78,Medium-High Digitalization,High Course ( >40H )
213,34,32,2,2013,1045,0.94,94,High Digitalization,Medium Course ( >15H and <40H )
214,8,5,3,2013,1045,0.6,60,Medium-High Digitalization,Small Course ( <15H )
215,17,5,12,2013,1045,0.3,30,Medium-Low Digitalization,Medium Course ( >15H and <40H )
216,50,48,2,2013,1045,0.95,95,High Digitalization,High Course ( >40H )
217,47,16,31,2013,1045,0.35,35,Medium-Low Digitalization,High Course ( >40H )
218,30,25,5,2013,1045,0.82,82,High Digitalization,Medium Course ( >15H and <40H )
219,52,7,45,2013,1045,0.14,14,Low Digitalization,High Course ( >40H )
220,17,14,3,2013,1045,0.8,80,Medium-High Digitalization,Medium Course ( >15H and <40H )
221,8,5,3,2013,1045,0.57,56,Medium-High Digitalization,Small Course ( <15H )
222,8,3,5,2013,1045,0.33,33,Medium-Low Digitalization,Small Course ( <15H )
223,5,3,2,2013,1045,0.68,68,Medium-High Digitalization,Small Course ( <15H )
224,17,16,1,2013,1045,0.96,96,High Digitalization,Medium Course ( >15H and <40H )
225,48,14,34,2013,1045,0.3,30,Medium-Low Digitalization,High Course ( >40H )
226,5,4,1,2013,1045,0.85,85,High Digitalization,Small Course ( <15H )
227,27,6,21,2013,1045,0.23,23,Medium-Low Digitalization,Medium Course ( >15H and <40H )
228,6,2,4,2013,1045,0.36,36,Medium-Low Digitalization,Small Course ( <15H )
229,26,18,8,2013,1045,0.69,69,Medium-High Digitalization,Medium Course ( >15H and <40H )
230,85,1,84,2013,1045,0.01,1,Low Digitalization,High Course ( >40H )
231,10,9,1,2013,1045,0.94,94,High Digitalization,Small Course ( <15H )
232,57,9,48,2013,1045,0.15,15,Low Digitalization,High Course ( >40H )
233,15,4,11,2013,1045,0.26,26,Medium-Low Digitalization,Small Course ( <15H )
234,12,4,8,2013,1045,0.32,32,Medium-Low Digitalization,Small Course ( <15H )
235,52,31,21,2013,1045,0.6,60,Medium-High Digitalization,High Course ( >40H )
236,44,16,28,2013,1045,0.37,37,Medium-Low Digitalization,High Course ( >40H )
237,48,46,2,2013,1045,0.96,96,High Digitalization,High Course ( >40H )
238,39,20,19,2013,1045,0.51,51,Medium-High Digitalization,Medium Course ( >15H and <40H )
239,7,2,5,2013,1045,0.24,24,Medium-Low Digitalization,Small Course ( <15H )
240,21,5,16,2013,1045,0.23,23,Medium-Low Digitalization,Medium Course ( >15H and <40H )
241,13,8,5,2013,1045,0.63,63,Medium-High Digitalization,Small Course ( <15H )
242,6,3,3,2013,1045,0.54,54,Medium-High Digitalization,Small Course ( <15H )
243,78,65,13,2013,1045,0.83,83,High Digitalization,High Course ( >40H )
244,54,26,28,2013,1045,0.48,48,Medium-Low Digitalization,High Course ( >40H )
245,14,13,1,2013,1045,0.9,90,High Digitalization,Small Course ( <15H )
246,48,0,48,2013,1045,0.01,1,Low Digitalization,High Course ( >40H )
247,13,1,12,2013,1045,0.07,7,Low Digitalization,Small Course ( <15H )
248,56,21,35,2013,1045,0.38,38,Medium-Low Digitalization,High Course ( >40H )
249,55,35,20,2013,1045,0.63,63,Medium-High Digitalization,High Course ( >40H )
250,83,19,64,2013,1045,0.23,23,Medium-Low Digitalization,High Course ( >40H )
251,70,32,38,2013,1045,0.46,46,Medium-Low Digitalization,High Course ( >40H )
252,82,72,10,2013,1045,0.88,88,High Digitalization,High Course ( >40H )
253,11,4,7,2013,1045,0.34,34,Medium-Low Digitalization,Small Course ( <15H )
254,15,11,4,2013,1045,0.72,72,Medium-High Digitalization,Small Course ( <15H )
255,49,31,18,2013,1045,0.64,64,Medium-High Digitalization,High Course ( >40H )
256,12,6,6,2013,1045,0.48,48,Medium-Low Digitalization,Small Course ( <15H )
257,60,56,4,2013,1045,0.93,93,High Digitalization,High Course ( >40H )
258,83,12,71,2013,1045,0.14,14,Low Digitalization,High Course ( >40H )
259,18,8,10,2013,1045,0.43,43,Medium-Low Digitalization,Medium Course ( >15H and <40H )
260,10,2,8,2013,1045,0.19,19,Low Digitalization,Small Course ( <15H )
261,11,9,2,2013,1045,0.83,83,High Digitalization,Small Course ( <15H )
262,15,8,7,2013,1045,0.54,54,Medium-High Digitalization,Small Course ( <15H )
263,39,5,34,2013,1045,0.12,12,Low Digitalization,Medium Course ( >15H and <40H )
264,21,8,13,2013,1045,0.38,38,Medium-Low Digitalization,Medium Course ( >15H and <40H )
265,7,2,5,2013,1045,0.33,33,Medium-Low Digitalization,Small Course ( <15H )
266,29,10,19,2013,1045,0.34,34,Medium-Low Digitalization,Medium Course ( >15H and <40H )
267,66,43,23,2013,1045,0.65,65,Medium-High Digitalization,High Course ( >40H )
268,47,15,32,2013,1045,0.31,31,Medium-Low Digitalization,High Course ( >40H )
269,14,2,12,2013,1045,0.14,14,Low Digitalization,Small Course ( <15H )
270,14,11,3,2013,1045,0.82,82,High Digitalization,Small Course ( <15H )
271,87,29,58,2013,1045,0.33,33,Medium-Low Digitalization,High Course ( >40H )
272,19,2,17,2013,1045,0.11,11,Low Digitalization,Medium Course ( >15H and <40H )
273,72,42,30,2013,1045,0.59,59,Medium-High Digitalization,High Course ( >40H )
274,46,26,20,2013,1045,0.57,56,Medium-High Digitalization,High Course ( >40H )
275,7,4,3,2013,1045,0.54,54,Medium-High Digitalization,Small Course ( <15H )
276,63,49,14,2013,1045,0.77,77,Medium-High Digitalization,High Course ( >40H )
277,67,17,50,2013,1045,0.25,25,Medium-Low Digitalization,High Course ( >40H )
278,16,9,7,2013,1045,0.56,56,Medium-High Digitalization,Medium Course ( >15H and <40H )
279,49,4,45,2013,1045,0.08,8,Low Digitalization,High Course ( >40H )
280,37,29,8,2013,1045,0.79,79,Medium-High Digitalization,Medium Course ( >15H and <40H )
281,55,26,29,2013,1045,0.47,47,Medium-Low Digitalization,High Course ( >40H )
282,65,28,37,2013,1045,0.43,43,Medium-Low Digitalization,High Course ( >40H )
283,13,12,1,2013,1045,0.89,89,High Digitalization,Small Course ( <15H )
284,25,3,22,2013,1045,0.11,11,Low Digitalization,Medium Course ( >15H and <40H )
285,7,6,1,2013,1045,0.85,85,High Digitalization,Small Course ( <15H )
286,24,20,4,2013,1045,0.82,82,High Digitalization,Medium Course ( >15H and <40H )
287,63,16,47,2013,1045,0.26,26,Medium-Low Digitalization,High Course ( >40H )
288,5,4,1,2013,1045,0.87,87,High Digitalization,Small Course ( <15H )
289,69,20,49,2013,1045,0.29,28,Medium-Low Digitalization,High Course ( >40H )
290,21,18,3,2013,1045,0.87,87,High Digitalization,Medium Course ( >15H and <40H )
291,57,42,15,2013,1045,0.74,74,Medium-High Digitalization,High Course ( >40H )
292,55,53,2,2013,1045,0.97,97,High Digitalization,High Course ( >40H )
293,13,1,12,2013,1045,0.06,6,Low Digitalization,Small Course ( <15H )
294,13,9,4,2013,1045,0.7,70,Medium-High Digitalization,Small Course ( <15H )
295,7,2,5,2013,1045,0.27,27,Medium-Low Digitalization,Small Course ( <15H )
296,63,39,24,2013,1045,0.62,62,Medium-High Digitalization,High Course ( >40H )
297,32,26,6,2013,1045,0.82,82,High Digitalization,Medium Course ( >15H and <40H )
298,50,34,16,2013,1045,0.68,68,Medium-High Digitalization,High Course ( >40H )
299,11,9,2,2013,1045,0.8,80,Medium-High Digitalization,Small Course ( <15H )
300,49,20,29,2013,1045,0.41,41,Medium-Low Digitalization,High Course ( >40H )
301,10,4,6,2013,1045,0.36,36,Medium-Low Digitalization,Small Course ( <15H )
302,31,22,9,2013,1045,0.71,71,Medium-High Digitalization,Medium Course ( >15H and <40H )
303,84,45,39,2013,1045,0.54,54,Medium-High Digitalization,High Course ( >40H )
304,75,12,63,2013,1045,0.16,16,Low Digitalization,High Course ( >40H )
305,15,11,4,2013,1045,0.75,75,Medium-High Digitalization,Small Course ( <15H )
306,74,30,44,2013,1045,0.41,41,Medium-Low Digitalization,High Course ( >40H )
307,26,12,14,2013,1045,0.45,45,Medium-Low Digitalization,Medium Course ( >15H and <40H )
308,5,1,4,2013,1045,0.27,27,Medium-Low Digitalization,Small Course ( <15H )
309,81,79,2,2013,1045,0.97,97,High Digitalization,High Course ( >40H )
310,50,17,33,2013,1045,0.34,34,Medium-Low Digitalization,High Course ( >40H )
311,40,4,36,2013,1045,0.1,10,Low Digitalization,High Course ( >40H )
312,23,2,21,2013,1045,0.08,8,Low Digitalization,Medium Course ( >15H and <40H )
313,8,8,0,2013,1045,0.97,97,High Digitalization,Small Course ( <15H )
314,25,23,2,2013,1045,0.92,92,High Digitalization,Medium Course ( >15H and <40H )
315,6,1,5,2013,1045,0.09,9,Low Digitalization,Small Course ( <15H )
316,22,0,22,2013,1045,0.02,2,Low Digitalization,Medium Course ( >15H and <40H )
317,8,3,5,2013,1045,0.38,38,Medium-Low Digitalization,Small Course ( <15H )
318,20,12,8,2013,1045,0.58,57,Medium-High Digitalization,Medium Course ( >15H and <40H )
319,15,6,9,2013,1045,0.39,39,Medium-Low Digitalization,Small Course ( <15H )
320,74,26,48,2013,1045,0.35,35,Medium-Low Digitalization,High Course ( >40H )
321,59,34,25,2013,1045,0.58,57,Medium-High Digitalization,High Course ( >40H )
322,27,1,26,2013,1045,0.03,3,Low Digitalization,Medium Course ( >15H and <40H )
323,71,62,9,2013,1045,0.87,87,High Digitalization,High Course ( >40H )
324,44,42,2,2013,1045,0.96,96,High Digitalization,High Course ( >40H )
325,56,4,52,2013,1045,0.08,8,Low Digitalization,High Course ( >40H )
326,8,6,2,2013,1045,0.81,81,High Digitalization,Small Course ( <15H )
327,53,19,34,2013,1045,0.35,35,Medium-Low Digitalization,High Course ( >40H )
328,54,4,50,2013,1045,0.08,8,Low Digitalization,High Course ( >40H )
329,19,12,7,2013,1045,0.63,63,Medium-High Digitalization,Medium Course ( >15H and <40H )
330,49,31,18,2013,1045,0.63,63,Medium-High Digitalization,High Course ( >40H )
331,53,36,17,2013,1045,0.67,67,Medium-High Digitalization,High Course ( >40H )
332,5,2,3,2013,1045,0.39,39,Medium-Low Digitalization,Small Course ( <15H )
