,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
7006,2020,14,40,36,4,32,4,0,0,20,10,2
14,2013,15,17,9,1,8,1,0,0,5,2,1
1013,2014,15,17,9,1,8,1,0,0,5,2,1
2012,2015,15,17,9,1,8,1,0,0,5,2,1
3011,2016,15,17,9,2,7,2,0,0,4,2,1
4010,2017,15,17,9,2,7,2,0,0,4,2,1
5009,2018,15,17,9,2,7,2,0,0,4,2,1
6008,2019,15,17,9,2,7,2,0,0,4,2,1
7007,2020,15,17,9,2,7,2,0,0,4,2,1
15,2013,16,30,16,1,15,0,1,0,10,5,0
1014,2014,16,30,16,2,14,0,2,0,10,4,0
2013,2015,16,30,16,2,14,0,2,0,10,4,0
3012,2016,16,30,16,2,14,0,2,0,10,4,0
4011,2017,16,30,16,3,13,0,3,0,10,3,0
5010,2018,16,30,16,3,13,0,3,0,10,3,0
6009,2019,16,30,16,4,12,1,3,0,9,3,0
7008,2020,16,30,16,4,12,1,3,0,9,3,0
16,2013,17,12,5,1,4,0,1,0,1,2,1
1015,2014,17,12,5,1,4,0,1,0,1,2,1
2014,2015,17,12,5,2,3,0,2,0,1,1,1
3013,2016,17,12,5,2,3,0,2,0,1,1,1
4012,2017,17,12,5,2,3,0,2,0,1,1,1
5011,2018,17,12,5,3,2,1,2,0,0,1,1
6010,2019,17,12,5,3,2,1,2,0,0,1,1
7009,2020,17,12,5,4,1,1,3,0,0,0,1
17,2013,18,11,10,2,8,2,0,0,4,3,1
1016,2014,18,11,10,2,8,2,0,0,4,3,1
2015,2015,18,11,10,2,8,2,0,0,4,3,1
3014,2016,18,11,10,3,7,3,0,0,3,3,1
4013,2017,18,11,10,3,7,3,0,0,3,3,1
5012,2018,18,11,10,4,6,3,1,0,3,2,1
6011,2019,18,11,10,4,6,3,1,0,3,2,1
7010,2020,18,11,10,5,5,4,1,0,2,2,1
18,2013,19,11,9,1,8,0,1,0,4,3,1
1017,2014,19,11,9,1,8,0,1,0,4,3,1
2016,2015,19,11,9,1,8,0,1,0,4,3,1
3015,2016,19,11,9,1,8,0,1,0,4,3,1
4014,2017,19,11,9,1,8,0,1,0,4,3,1
5013,2018,19,11,9,1,8,0,1,0,4,3,1
6012,2019,19,11,9,1,8,0,1,0,4,3,1
7011,2020,19,11,9,1,8,0,1,0,4,3,1
19,2013,20,15,14,2,12,2,0,0,7,4,1
1018,2014,20,15,14,2,12,2,0,0,7,4,1
2017,2015,20,15,14,2,12,2,0,0,7,4,1
3016,2016,20,15,14,3,11,3,0,0,6,4,1
4015,2017,20,15,14,3,11,3,0,0,6,4,1
5014,2018,20,15,14,4,10,4,0,0,5,4,1
6013,2019,20,15,14,4,10,4,0,0,5,4,1
7012,2020,20,15,14,4,10,4,0,0,5,4,1
20,2013,21,28,23,2,21,1,1,0,14,7,0
1019,2014,21,28,23,2,21,1,1,0,14,7,0
2018,2015,21,28,23,3,20,1,2,0,14,6,0
3017,2016,21,28,23,3,20,1,2,0,14,6,0
4016,2017,21,28,23,3,20,1,2,0,14,6,0
5015,2018,21,28,23,3,20,1,2,0,14,6,0
6014,2019,21,28,23,3,20,1,2,0,14,6,0
7013,2020,21,28,23,4,19,1,3,0,14,5,0
21,2013,22,15,13,1,12,1,0,0,7,4,1
1020,2014,22,15,13,1,12,1,0,0,7,4,1
2019,2015,22,15,13,1,12,1,0,0,7,4,1
3018,2016,22,15,13,1,12,1,0,0,7,4,1
4017,2017,22,15,13,1,12,1,0,0,7,4,1
5016,2018,22,15,13,1,12,1,0,0,7,4,1
6015,2019,22,15,13,2,11,1,1,0,7,3,1
7014,2020,22,15,13,2,11,1,1,0,7,3,1
22,2013,23,22,21,3,18,1,1,1,11,6,1
1021,2014,23,22,21,4,17,2,1,1,10,6,1
2020,2015,23,22,21,4,17,2,1,1,10,6,1
3019,2016,23,22,21,5,16,2,2,1,10,5,1
4018,2017,23,22,21,5,16,2,2,1,10,5,1
5017,2018,23,22,21,5,16,2,2,1,10,5,1
6016,2019,23,22,21,6,15,3,2,1,9,5,1
7015,2020,23,22,21,6,15,3,2,1,9,5,1
23,2013,24,18,15,2,13,2,0,0,8,4,1
1022,2014,24,18,15,2,13,2,0,0,8,4,1
2021,2015,24,18,15,3,12,2,1,0,8,3,1
3020,2016,24,18,15,3,12,2,1,0,8,3,1
4019,2017,24,18,15,3,12,2,1,0,8,3,1
5018,2018,24,18,15,4,11,3,1,0,7,3,1
6017,2019,24,18,15,5,10,4,1,0,6,3,1
7016,2020,24,18,15,6,9,4,2,0,6,2,1
24,2013,25,38,36,6,30,5,1,0,19,9,2
1023,2014,25,38,36,8,28,7,1,0,17,9,2
2022,2015,25,38,36,10,26,9,1,0,15,9,2
3021,2016,25,38,36,11,25,10,1,0,14,9,2
4020,2017,25,38,36,14,22,11,3,0,13,7,2
5019,2018,25,38,36,14,22,11,3,0,13,7,2
6018,2019,25,38,36,17,19,12,5,0,12,5,2
7017,2020,25,38,36,22,14,17,5,0,7,5,2
25,2013,26,5,3,1,2,0,1,0,2,0,0
1024,2014,26,5,3,1,2,0,1,0,2,0,0
2023,2015,26,5,3,1,2,0,1,0,2,0,0
3022,2016,26,5,3,1,2,0,1,0,2,0,0
4021,2017,26,5,3,1,2,0,1,0,2,0,0
5020,2018,26,5,3,2,1,1,1,0,1,0,0
6019,2019,26,5,3,2,1,1,1,0,1,0,0
7018,2020,26,5,3,2,1,1,1,0,1,0,0
26,2013,27,18,6,1,5,0,1,0,3,1,1
1025,2014,27,18,6,1,5,0,1,0,3,1,1
2024,2015,27,18,6,1,5,0,1,0,3,1,1
3023,2016,27,18,6,1,5,0,1,0,3,1,1
4022,2017,27,18,6,1,5,0,1,0,3,1,1
5021,2018,27,18,6,1,5,0,1,0,3,1,1
6020,2019,27,18,6,1,5,0,1,0,3,1,1
7019,2020,27,18,6,1,5,0,1,0,3,1,1
27,2013,28,15,9,2,7,1,1,0,5,1,1
1026,2014,28,15,9,2,7,1,1,0,5,1,1
2025,2015,28,15,9,3,6,1,2,0,5,0,1
3024,2016,28,15,9,3,6,1,2,0,5,0,1
4023,2017,28,15,9,3,6,1,2,0,5,0,1
5022,2018,28,15,9,4,5,2,2,0,4,0,1
6021,2019,28,15,9,4,5,2,2,0,4,0,1
7020,2020,28,15,9,5,4,3,2,0,3,0,1
28,2013,29,10,4,1,3,0,1,0,1,1,1
1027,2014,29,10,4,1,3,0,1,0,1,1,1
2026,2015,29,10,4,1,3,0,1,0,1,1,1
3025,2016,29,10,4,1,3,0,1,0,1,1,1
4024,2017,29,10,4,1,3,0,1,0,1,1,1
5023,2018,29,10,4,1,3,0,1,0,1,1,1
6022,2019,29,10,4,1,3,0,1,0,1,1,1
7021,2020,29,10,4,1,3,0,1,0,1,1,1
29,2013,30,7,2,1,1,0,1,0,0,1,0
1028,2014,30,7,2,1,1,0,1,0,0,1,0
2027,2015,30,7,2,1,1,0,1,0,0,1,0
3026,2016,30,7,2,1,1,0,1,0,0,1,0
4025,2017,30,7,2,1,1,0,1,0,0,1,0
5024,2018,30,7,2,1,1,0,1,0,0,1,0
6023,2019,30,7,2,1,1,0,1,0,0,1,0
7022,2020,30,7,2,2,0,0,2,0,0,0,0
30,2013,31,8,7,2,5,2,0,0,3,1,1
1029,2014,31,8,7,2,5,2,0,0,3,1,1
2028,2015,31,8,7,2,5,2,0,0,3,1,1
3027,2016,31,8,7,2,5,2,0,0,3,1,1
4026,2017,31,8,7,3,4,3,0,0,2,1,1
5025,2018,31,8,7,3,4,3,0,0,2,1,1
6024,2019,31,8,7,3,4,3,0,0,2,1,1
7023,2020,31,8,7,4,3,3,1,0,2,0,1
31,2013,32,56,25,2,23,1,1,0,15,7,1
1030,2014,32,56,25,3,22,2,1,0,14,7,1
2029,2015,32,56,25,3,22,2,1,0,14,7,1
3028,2016,32,56,25,3,22,2,1,0,14,7,1
4027,2017,32,56,25,4,21,2,2,0,14,6,1
5026,2018,32,56,25,4,21,2,2,0,14,6,1
6025,2019,32,56,25,5,20,2,3,0,14,5,1
7024,2020,32,56,25,6,19,3,3,0,13,5,1
32,2013,33,27,24,19,5,11,8,0,4,1,0
1031,2014,33,27,24,22,2,13,9,0,2,0,0
2030,2015,33,27,24,23,1,14,9,0,1,0,0
3029,2016,33,27,24,24,0,15,9,0,0,0,0
4028,2017,33,27,24,24,0,15,9,0,0,0,0
5027,2018,33,27,24,24,0,15,9,0,0,0,0
6026,2019,33,27,24,24,0,15,9,0,0,0,0
7025,2020,33,27,24,24,0,15,9,0,0,0,0
33,2013,34,36,33,2,31,1,1,0,20,9,2
1032,2014,34,36,33,2,31,1,1,0,20,9,2
2031,2015,34,36,33,3,30,2,1,0,19,9,2
3030,2016,34,36,33,3,30,2,1,0,19,9,2
4029,2017,34,36,33,3,30,2,1,0,19,9,2
5028,2018,34,36,33,4,29,3,1,0,18,9,2
6027,2019,34,36,33,5,28,3,2,0,18,8,2
7026,2020,34,36,33,5,28,3,2,0,18,8,2
34,2013,35,17,11,1,10,1,0,0,6,3,1
1033,2014,35,17,11,1,10,1,0,0,6,3,1
2032,2015,35,17,11,1,10,1,0,0,6,3,1
3031,2016,35,17,11,1,10,1,0,0,6,3,1
4030,2017,35,17,11,1,10,1,0,0,6,3,1
5029,2018,35,17,11,1,10,1,0,0,6,3,1
6028,2019,35,17,11,1,10,1,0,0,6,3,1
7027,2020,35,17,11,1,10,1,0,0,6,3,1
35,2013,36,11,3,1,2,1,0,0,2,0,0
1034,2014,36,11,3,1,2,1,0,0,2,0,0
2033,2015,36,11,3,1,2,1,0,0,2,0,0
3032,2016,36,11,3,1,2,1,0,0,2,0,0
4031,2017,36,11,3,1,2,1,0,0,2,0,0
5030,2018,36,11,3,1,2,1,0,0,2,0,0
6029,2019,36,11,3,1,2,1,0,0,2,0,0
7028,2020,36,11,3,1,2,1,0,0,2,0,0
36,2013,37,12,3,0,3,0,0,0,1,1,1
1035,2014,37,12,3,1,2,1,0,0,0,1,1
2034,2015,37,12,3,1,2,1,0,0,0,1,1
3033,2016,37,12,3,1,2,1,0,0,0,1,1
4032,2017,37,12,3,1,2,1,0,0,0,1,1
5031,2018,37,12,3,1,2,1,0,0,0,1,1
6030,2019,37,12,3,1,2,1,0,0,0,1,1
7029,2020,37,12,3,1,2,1,0,0,0,1,1
37,2013,38,17,11,0,11,0,0,0,7,4,0
1036,2014,38,17,11,3,8,1,2,0,6,2,0
2035,2015,38,17,11,3,8,1,2,0,6,2,0
3034,2016,38,17,11,4,7,1,3,0,6,1,0
4033,2017,38,17,11,4,7,1,3,0,6,1,0
5032,2018,38,17,11,5,6,1,4,0,6,0,0
6031,2019,38,17,11,5,6,1,4,0,6,0,0
7030,2020,38,17,11,6,5,2,4,0,5,0,0
38,2013,39,12,4,1,3,1,0,0,1,1,1
1037,2014,39,12,4,1,3,1,0,0,1,1,1
2036,2015,39,12,4,1,3,1,0,0,1,1,1
3035,2016,39,12,4,1,3,1,0,0,1,1,1
4034,2017,39,12,4,1,3,1,0,0,1,1,1
5033,2018,39,12,4,1,3,1,0,0,1,1,1
6032,2019,39,12,4,1,3,1,0,0,1,1,1
7031,2020,39,12,4,1,3,1,0,0,1,1,1
39,2013,40,13,6,2,4,2,0,0,2,1,1
1038,2014,40,13,6,2,4,2,0,0,2,1,1
2037,2015,40,13,6,2,4,2,0,0,2,1,1
3036,2016,40,13,6,2,4,2,0,0,2,1,1
4035,2017,40,13,6,3,3,2,1,0,2,0,1
5034,2018,40,13,6,4,2,3,1,0,1,0,1
6033,2019,40,13,6,4,2,3,1,0,1,0,1
7032,2020,40,13,6,5,1,3,1,1,1,0,0
40,2013,41,18,18,4,14,1,2,1,9,4,1
1039,2014,41,18,18,4,14,1,2,1,9,4,1
2038,2015,41,18,18,6,12,1,4,1,9,2,1
3037,2016,41,18,18,7,11,2,4,1,8,2,1
4036,2017,41,18,18,9,9,3,5,1,7,1,1
5035,2018,41,18,18,12,6,5,6,1,5,0,1
6034,2019,41,18,18,16,2,9,6,1,1,0,1
7033,2020,41,18,18,17,1,10,6,1,0,0,1
41,2013,42,24,22,2,20,1,1,0,13,6,1
1040,2014,42,24,22,3,19,2,1,0,12,6,1
2039,2015,42,24,22,3,19,2,1,0,12,6,1
3038,2016,42,24,22,3,19,2,1,0,12,6,1
4037,2017,42,24,22,3,19,2,1,0,12,6,1
5036,2018,42,24,22,3,19,2,1,0,12,6,1
6035,2019,42,24,22,4,18,3,1,0,11,6,1
7034,2020,42,24,22,4,18,3,1,0,11,6,1
42,2013,43,30,24,1,23,0,1,0,15,6,2
1041,2014,43,30,24,1,23,0,1,0,15,6,2
2040,2015,43,30,24,1,23,0,1,0,15,6,2
3039,2016,43,30,24,1,23,0,1,0,15,6,2
4038,2017,43,30,24,1,23,0,1,0,15,6,2
5037,2018,43,30,24,2,22,1,1,0,14,6,2
6036,2019,43,30,24,2,22,1,1,0,14,6,2
7035,2020,43,30,24,2,22,1,1,0,14,6,2
43,2013,44,29,16,3,13,2,1,0,8,4,1
1042,2014,44,29,16,4,12,3,1,0,7,4,1
2041,2015,44,29,16,4,12,3,1,0,7,4,1
3040,2016,44,29,16,5,11,4,1,0,6,4,1
4039,2017,44,29,16,5,11,4,1,0,6,4,1
5038,2018,44,29,16,6,10,5,1,0,5,4,1
6037,2019,44,29,16,7,9,5,2,0,5,3,1
7036,2020,44,29,16,8,8,6,2,0,4,3,1
44,2013,45,37,10,1,9,0,1,0,5,3,1
1043,2014,45,37,10,1,9,0,1,0,5,3,1
2042,2015,45,37,10,2,8,1,1,0,4,3,1
3041,2016,45,37,10,2,8,1,1,0,4,3,1
4040,2017,45,37,10,2,8,1,1,0,4,3,1
5039,2018,45,37,10,2,8,1,1,0,4,3,1
6038,2019,45,37,10,2,8,1,1,0,4,3,1
7037,2020,45,37,10,3,7,1,2,0,4,2,1
45,2013,46,10,6,1,5,1,0,0,3,1,1
1044,2014,46,10,6,1,5,1,0,0,3,1,1
2043,2015,46,10,6,1,5,1,0,0,3,1,1
3042,2016,46,10,6,2,4,2,0,0,2,1,1
4041,2017,46,10,6,2,4,2,0,0,2,1,1
5040,2018,46,10,6,2,4,2,0,0,2,1,1
6039,2019,46,10,6,3,3,2,1,0,2,0,1
7038,2020,46,10,6,3,3,2,1,0,2,0,1
46,2013,47,14,11,2,9,1,1,0,5,3,1
1045,2014,47,14,11,2,9,1,1,0,5,3,1
2044,2015,47,14,11,3,8,2,1,0,4,3,1
3043,2016,47,14,11,3,8,2,1,0,4,3,1
4042,2017,47,14,11,3,8,2,1,0,4,3,1
5041,2018,47,14,11,4,7,3,1,0,3,3,1
6040,2019,47,14,11,4,7,3,1,0,3,3,1
7039,2020,47,14,11,5,6,4,1,0,2,3,1
47,2013,48,7,4,1,3,1,0,0,1,1,1
1046,2014,48,7,4,1,3,1,0,0,1,1,1
2045,2015,48,7,4,1,3,1,0,0,1,1,1
3044,2016,48,7,4,1,3,1,0,0,1,1,1
4043,2017,48,7,4,1,3,1,0,0,1,1,1
5042,2018,48,7,4,1,3,1,0,0,1,1,1
6041,2019,48,7,4,1,3,1,0,0,1,1,1
7040,2020,48,7,4,1,3,1,0,0,1,1,1
48,2013,49,40,28,2,26,1,1,0,16,8,2
1047,2014,49,40,28,3,25,2,1,0,15,8,2
2046,2015,49,40,28,3,25,2,1,0,15,8,2
3045,2016,49,40,28,3,25,2,1,0,15,8,2
4044,2017,49,40,28,4,24,3,1,0,14,8,2
5043,2018,49,40,28,5,23,3,2,0,14,7,2
6042,2019,49,40,28,6,22,3,3,0,14,6,2
7041,2020,49,40,28,7,21,3,4,0,14,5,2
49,2013,50,8,8,8,0,6,1,1,0,0,0
1048,2014,50,8,8,8,0,6,1,1,0,0,0
2047,2015,50,8,8,8,0,6,1,1,0,0,0
3046,2016,50,8,8,8,0,6,1,1,0,0,0
4045,2017,50,8,8,8,0,6,1,1,0,0,0
5044,2018,50,8,8,8,0,6,1,1,0,0,0
6043,2019,50,8,8,8,0,6,1,1,0,0,0
7042,2020,50,8,8,8,0,6,1,1,0,0,0
50,2013,51,36,35,0,35,0,0,0,23,11,1
1049,2014,51,36,35,6,29,5,1,0,18,10,1
2048,2015,51,36,35,8,27,6,2,0,17,9,1
3047,2016,51,36,35,9,26,6,3,0,17,8,1
4046,2017,51,36,35,10,25,7,3,0,16,8,1
5045,2018,51,36,35,12,23,9,3,0,14,8,1
6044,2019,51,36,35,13,22,9,4,0,14,7,1
7043,2020,51,36,35,17,18,12,5,0,11,6,1
51,2013,52,16,5,1,4,1,0,0,3,1,0
1050,2014,52,16,5,1,4,1,0,0,3,1,0
2049,2015,52,16,5,1,4,1,0,0,3,1,0
3048,2016,52,16,5,1,4,1,0,0,3,1,0
4047,2017,52,16,5,1,4,1,0,0,3,1,0
5046,2018,52,16,5,1,4,1,0,0,3,1,0
6045,2019,52,16,5,1,4,1,0,0,3,1,0
7044,2020,52,16,5,1,4,1,0,0,3,1,0
52,2013,53,25,15,1,14,1,0,0,10,3,1
1051,2014,53,25,15,1,14,1,0,0,10,3,1
2050,2015,53,25,15,1,14,1,0,0,10,3,1
3049,2016,53,25,15,1,14,1,0,0,10,3,1
4048,2017,53,25,15,1,14,1,0,0,10,3,1
5047,2018,53,25,15,2,13,2,0,0,9,3,1
6046,2019,53,25,15,2,13,2,0,0,9,3,1
7045,2020,53,25,15,2,13,2,0,0,9,3,1
53,2013,54,18,8,1,7,1,0,0,3,3,1
1052,2014,54,18,8,1,7,1,0,0,3,3,1
2051,2015,54,18,8,1,7,1,0,0,3,3,1
3050,2016,54,18,8,1,7,1,0,0,3,3,1
4049,2017,54,18,8,1,7,1,0,0,3,3,1
5048,2018,54,18,8,2,6,2,0,0,2,3,1
6047,2019,54,18,8,2,6,2,0,0,2,3,1
7046,2020,54,18,8,2,6,2,0,0,2,3,1
54,2013,55,10,9,1,8,0,1,0,6,1,1
1053,2014,55,10,9,1,8,0,1,0,6,1,1
2052,2015,55,10,9,1,8,0,1,0,6,1,1
3051,2016,55,10,9,2,7,0,2,0,6,0,1
4050,2017,55,10,9,2,7,0,2,0,6,0,1
5049,2018,55,10,9,2,7,0,2,0,6,0,1
6048,2019,55,10,9,3,6,1,2,0,5,0,1
7047,2020,55,10,9,3,6,1,2,0,5,0,1
55,2013,56,17,10,2,8,1,1,0,5,2,1
1054,2014,56,17,10,3,7,1,2,0,5,1,1
2053,2015,56,17,10,3,7,1,2,0,5,1,1
3052,2016,56,17,10,3,7,1,2,0,5,1,1
4051,2017,56,17,10,4,6,1,3,0,5,0,1
5050,2018,56,17,10,5,5,2,3,0,4,0,1
6049,2019,56,17,10,5,5,2,3,0,4,0,1
7048,2020,56,17,10,5,5,2,3,0,4,0,1
56,2013,57,28,8,1,7,1,0,0,5,2,0
1055,2014,57,28,8,1,7,1,0,0,5,2,0
2054,2015,57,28,8,1,7,1,0,0,5,2,0
3053,2016,57,28,8,1,7,1,0,0,5,2,0
4052,2017,57,28,8,1,7,1,0,0,5,2,0
5051,2018,57,28,8,1,7,1,0,0,5,2,0
6050,2019,57,28,8,1,7,1,0,0,5,2,0
7049,2020,57,28,8,1,7,1,0,0,5,2,0
57,2013,58,37,34,5,29,1,3,1,18,9,2
1056,2014,58,37,34,5,29,1,3,1,18,9,2
2055,2015,58,37,34,6,28,1,4,1,18,8,2
3054,2016,58,37,34,8,26,3,4,1,16,8,2
4053,2017,58,37,34,8,26,3,4,1,16,8,2
5052,2018,58,37,34,9,25,4,4,1,15,8,2
6051,2019,58,37,34,11,23,5,5,1,14,7,2
7050,2020,58,37,34,14,20,7,6,1,12,6,2
58,2013,59,24,6,1,5,1,0,0,3,1,1
1057,2014,59,24,6,1,5,1,0,0,3,1,1
2056,2015,59,24,6,1,5,1,0,0,3,1,1
3055,2016,59,24,6,1,5,1,0,0,3,1,1
4054,2017,59,24,6,2,4,2,0,0,2,1,1
5053,2018,59,24,6,2,4,2,0,0,2,1,1
6052,2019,59,24,6,3,3,3,0,0,1,1,1
7051,2020,59,24,6,3,3,3,0,0,1,1,1
59,2013,60,18,16,1,15,0,1,0,10,4,1
1058,2014,60,18,16,1,15,0,1,0,10,4,1
2057,2015,60,18,16,1,15,0,1,0,10,4,1
3056,2016,60,18,16,2,14,0,2,0,10,3,1
4055,2017,60,18,16,2,14,0,2,0,10,3,1
5054,2018,60,18,16,2,14,0,2,0,10,3,1
6053,2019,60,18,16,2,14,0,2,0,10,3,1
7052,2020,60,18,16,3,13,1,2,0,9,3,1
60,2013,61,17,13,3,10,1,1,1,7,3,0
1059,2014,61,17,13,3,10,1,1,1,7,3,0
2058,2015,61,17,13,4,9,1,2,1,7,2,0
3057,2016,61,17,13,4,9,1,2,1,7,2,0
4056,2017,61,17,13,5,8,1,3,1,7,1,0
5055,2018,61,17,13,5,8,1,3,1,7,1,0
6054,2019,61,17,13,6,7,2,3,1,6,1,0
7053,2020,61,17,13,7,6,2,4,1,6,0,0
61,2013,62,5,2,1,1,1,0,0,1,0,0
1060,2014,62,5,2,1,1,1,0,0,1,0,0
2059,2015,62,5,2,1,1,1,0,0,1,0,0
3058,2016,62,5,2,1,1,1,0,0,1,0,0
4057,2017,62,5,2,1,1,1,0,0,1,0,0
5056,2018,62,5,2,1,1,1,0,0,1,0,0
6055,2019,62,5,2,1,1,1,0,0,1,0,0
