,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
6103,2019,8,30,21,8,13,3,5,0,10,3,0
7119,2020,8,30,21,8,13,3,5,0,10,3,0
8,2013,9,28,19,3,16,2,1,0,11,4,1
1024,2014,9,28,19,3,16,2,1,0,11,4,1
2040,2015,9,28,19,3,16,2,1,0,11,4,1
3056,2016,9,28,19,3,16,2,1,0,11,4,1
4072,2017,9,28,19,4,15,2,2,0,11,3,1
5088,2018,9,28,19,6,13,2,4,0,11,1,1
6104,2019,9,28,19,7,12,2,5,0,11,0,1
7120,2020,9,28,19,7,12,2,5,0,11,0,1
9,2013,10,30,24,3,21,1,1,1,14,6,1
1025,2014,10,30,24,3,21,1,1,1,14,6,1
2041,2015,10,30,24,4,20,2,1,1,13,6,1
3057,2016,10,30,24,4,20,2,1,1,13,6,1
4073,2017,10,30,24,5,19,2,2,1,13,5,1
5089,2018,10,30,24,5,19,2,2,1,13,5,1
6105,2019,10,30,24,7,17,2,4,1,13,3,1
7121,2020,10,30,24,9,15,4,4,1,11,3,1
10,2013,11,38,21,2,19,2,0,0,12,6,1
1026,2014,11,38,21,3,18,2,1,0,12,5,1
2042,2015,11,38,21,3,18,2,1,0,12,5,1
3058,2016,11,38,21,3,18,2,1,0,12,5,1
4074,2017,11,38,21,3,18,2,1,0,12,5,1
5090,2018,11,38,21,4,17,2,2,0,12,4,1
6106,2019,11,38,21,5,16,2,2,1,12,4,0
7122,2020,11,38,21,6,15,3,2,1,11,4,0
11,2013,12,37,18,2,16,1,1,0,11,5,0
1027,2014,12,37,18,3,15,2,1,0,10,5,0
2043,2015,12,37,18,3,15,2,1,0,10,5,0
3059,2016,12,37,18,3,15,2,1,0,10,5,0
4075,2017,12,37,18,4,14,3,1,0,9,5,0
5091,2018,12,37,18,4,14,3,1,0,9,5,0
6107,2019,12,37,18,5,13,4,1,0,8,5,0
7123,2020,12,37,18,5,13,4,1,0,8,5,0
12,2013,13,12,8,2,6,2,0,0,4,1,1
1028,2014,13,12,8,2,6,2,0,0,4,1,1
2044,2015,13,12,8,2,6,2,0,0,4,1,1
3060,2016,13,12,8,2,6,2,0,0,4,1,1
4076,2017,13,12,8,3,5,2,1,0,4,0,1
5092,2018,13,12,8,3,5,2,1,0,4,0,1
6108,2019,13,12,8,4,4,3,1,0,3,0,1
7124,2020,13,12,8,4,4,3,1,0,3,0,1
13,2013,14,7,2,1,1,1,0,0,0,1,0
1029,2014,14,7,2,1,1,1,0,0,0,1,0
2045,2015,14,7,2,1,1,1,0,0,0,1,0
3061,2016,14,7,2,1,1,1,0,0,0,1,0
4077,2017,14,7,2,1,1,1,0,0,0,1,0
5093,2018,14,7,2,1,1,1,0,0,0,1,0
6109,2019,14,7,2,1,1,1,0,0,0,1,0
7125,2020,14,7,2,1,1,1,0,0,0,1,0
14,2013,15,7,5,1,4,1,0,0,1,2,1
1030,2014,15,7,5,1,4,1,0,0,1,2,1
2046,2015,15,7,5,1,4,1,0,0,1,2,1
3062,2016,15,7,5,1,4,1,0,0,1,2,1
4078,2017,15,7,5,1,4,1,0,0,1,2,1
5094,2018,15,7,5,1,4,1,0,0,1,2,1
6110,2019,15,7,5,1,4,1,0,0,1,2,1
7126,2020,15,7,5,1,4,1,0,0,1,2,1
15,2013,16,17,12,2,10,2,0,0,6,3,1
1031,2014,16,17,12,2,10,2,0,0,6,3,1
2047,2015,16,17,12,2,10,2,0,0,6,3,1
3063,2016,16,17,12,3,9,2,1,0,6,2,1
4079,2017,16,17,12,3,9,2,1,0,6,2,1
5095,2018,16,17,12,4,8,2,2,0,6,1,1
6111,2019,16,17,12,5,7,3,2,0,5,1,1
7127,2020,16,17,12,5,7,3,2,0,5,1,1
16,2013,17,20,8,2,6,2,0,0,4,1,1
1032,2014,17,20,8,2,6,2,0,0,4,1,1
2048,2015,17,20,8,2,6,2,0,0,4,1,1
3064,2016,17,20,8,3,5,3,0,0,3,1,1
4080,2017,17,20,8,4,4,3,1,0,3,0,1
5096,2018,17,20,8,4,4,3,1,0,3,0,1
6112,2019,17,20,8,5,3,4,1,0,2,0,1
7128,2020,17,20,8,7,1,6,1,0,0,0,1
17,2013,18,10,4,1,3,1,0,0,2,1,0
1033,2014,18,10,4,1,3,1,0,0,2,1,0
2049,2015,18,10,4,1,3,1,0,0,2,1,0
3065,2016,18,10,4,2,2,2,0,0,1,1,0
4081,2017,18,10,4,2,2,2,0,0,1,1,0
5097,2018,18,10,4,2,2,2,0,0,1,1,0
6113,2019,18,10,4,3,1,2,1,0,1,0,0
7129,2020,18,10,4,3,1,2,1,0,1,0,0
18,2013,19,26,8,1,7,1,0,0,3,3,1
1034,2014,19,26,8,2,6,1,1,0,3,2,1
2050,2015,19,26,8,2,6,1,1,0,3,2,1
3066,2016,19,26,8,3,5,1,2,0,3,1,1
4082,2017,19,26,8,3,5,1,2,0,3,1,1
5098,2018,19,26,8,3,5,1,2,0,3,1,1
6114,2019,19,26,8,3,5,1,2,0,3,1,1
7130,2020,19,26,8,4,4,1,3,0,3,0,1
19,2013,20,33,18,1,17,0,1,0,11,6,0
1035,2014,20,33,18,1,17,0,1,0,11,6,0
2051,2015,20,33,18,1,17,0,1,0,11,6,0
3067,2016,20,33,18,1,17,0,1,0,11,6,0
4083,2017,20,33,18,1,17,0,1,0,11,6,0
5099,2018,20,33,18,1,17,0,1,0,11,6,0
6115,2019,20,33,18,1,17,0,1,0,11,6,0
7131,2020,20,33,18,1,17,0,1,0,11,6,0
20,2013,21,6,2,1,1,0,1,0,0,1,0
1036,2014,21,6,2,1,1,0,1,0,0,1,0
2052,2015,21,6,2,1,1,0,1,0,0,1,0
3068,2016,21,6,2,1,1,0,1,0,0,1,0
4084,2017,21,6,2,1,1,0,1,0,0,1,0
5100,2018,21,6,2,1,1,0,1,0,0,1,0
6116,2019,21,6,2,1,1,0,1,0,0,1,0
7132,2020,21,6,2,1,1,0,1,0,0,1,0
21,2013,22,49,45,4,41,1,2,1,27,13,1
1037,2014,22,49,45,5,40,2,2,1,26,13,1
2053,2015,22,49,45,5,40,2,2,1,26,13,1
3069,2016,22,49,45,5,40,2,2,1,26,13,1
4085,2017,22,49,45,6,39,2,3,1,26,12,1
5101,2018,22,49,45,6,39,2,3,1,26,12,1
6117,2019,22,49,45,7,38,2,3,2,26,12,0
7133,2020,22,49,45,8,37,2,4,2,26,11,0
22,2013,23,15,6,1,5,0,1,0,3,1,1
1038,2014,23,15,6,1,5,0,1,0,3,1,1
2054,2015,23,15,6,1,5,0,1,0,3,1,1
3070,2016,23,15,6,1,5,0,1,0,3,1,1
4086,2017,23,15,6,1,5,0,1,0,3,1,1
5102,2018,23,15,6,1,5,0,1,0,3,1,1
6118,2019,23,15,6,1,5,0,1,0,3,1,1
7134,2020,23,15,6,1,5,0,1,0,3,1,1
23,2013,24,5,4,1,3,0,1,0,2,1,0
1039,2014,24,5,4,1,3,0,1,0,2,1,0
2055,2015,24,5,4,1,3,0,1,0,2,1,0
3071,2016,24,5,4,1,3,0,1,0,2,1,0
4087,2017,24,5,4,1,3,0,1,0,2,1,0
5103,2018,24,5,4,1,3,0,1,0,2,1,0
6119,2019,24,5,4,1,3,0,1,0,2,1,0
7135,2020,24,5,4,1,3,0,1,0,2,1,0
24,2013,25,25,14,2,12,2,0,0,8,3,1
1040,2014,25,25,14,2,12,2,0,0,8,3,1
2056,2015,25,25,14,3,11,2,1,0,8,2,1
3072,2016,25,25,14,3,11,2,1,0,8,2,1
4088,2017,25,25,14,3,11,2,1,0,8,2,1
5104,2018,25,25,14,3,11,2,1,0,8,2,1
6120,2019,25,25,14,4,10,2,2,0,8,1,1
7136,2020,25,25,14,5,9,3,2,0,7,1,1
25,2013,26,13,4,1,3,0,1,0,2,1,0
1041,2014,26,13,4,1,3,0,1,0,2,1,0
2057,2015,26,13,4,1,3,0,1,0,2,1,0
3073,2016,26,13,4,1,3,0,1,0,2,1,0
4089,2017,26,13,4,1,3,0,1,0,2,1,0
5105,2018,26,13,4,2,2,0,2,0,2,0,0
6121,2019,26,13,4,2,2,0,2,0,2,0,0
7137,2020,26,13,4,2,2,0,2,0,2,0,0
26,2013,27,36,20,2,18,2,0,0,12,6,0
1042,2014,27,36,20,3,17,2,1,0,12,5,0
2058,2015,27,36,20,3,17,2,1,0,12,5,0
3074,2016,27,36,20,3,17,2,1,0,12,5,0
4090,2017,27,36,20,4,16,2,2,0,12,4,0
5106,2018,27,36,20,4,16,2,2,0,12,4,0
6122,2019,27,36,20,4,16,2,2,0,12,4,0
7138,2020,27,36,20,5,15,2,3,0,12,3,0
27,2013,28,19,17,4,13,2,2,0,9,4,0
1043,2014,28,19,17,4,13,2,2,0,9,4,0
2059,2015,28,19,17,4,13,2,2,0,9,4,0
3075,2016,28,19,17,5,12,2,3,0,9,3,0
4091,2017,28,19,17,5,12,2,3,0,9,3,0
5107,2018,28,19,17,6,11,3,3,0,8,3,0
6123,2019,28,19,17,7,10,3,4,0,8,2,0
7139,2020,28,19,17,7,10,3,4,0,8,2,0
28,2013,29,35,10,1,9,1,0,0,6,3,0
1044,2014,29,35,10,1,9,1,0,0,6,3,0
2060,2015,29,35,10,1,9,1,0,0,6,3,0
3076,2016,29,35,10,1,9,1,0,0,6,3,0
4092,2017,29,35,10,1,9,1,0,0,6,3,0
5108,2018,29,35,10,1,9,1,0,0,6,3,0
6124,2019,29,35,10,1,9,1,0,0,6,3,0
7140,2020,29,35,10,1,9,1,0,0,6,3,0
29,2013,30,22,8,1,7,1,0,0,5,2,0
1045,2014,30,22,8,1,7,1,0,0,5,2,0
2061,2015,30,22,8,1,7,1,0,0,5,2,0
3077,2016,30,22,8,1,7,1,0,0,5,2,0
4093,2017,30,22,8,1,7,1,0,0,5,2,0
5109,2018,30,22,8,2,6,2,0,0,4,2,0
6125,2019,30,22,8,2,6,2,0,0,4,2,0
7141,2020,30,22,8,2,6,2,0,0,4,2,0
30,2013,31,9,4,1,3,0,1,0,1,1,1
1046,2014,31,9,4,1,3,0,1,0,1,1,1
2062,2015,31,9,4,1,3,0,1,0,1,1,1
3078,2016,31,9,4,1,3,0,1,0,1,1,1
4094,2017,31,9,4,1,3,0,1,0,1,1,1
5110,2018,31,9,4,1,3,0,1,0,1,1,1
6126,2019,31,9,4,1,3,0,1,0,1,1,1
7142,2020,31,9,4,1,3,0,1,0,1,1,1
31,2013,32,15,5,1,4,1,0,0,2,2,0
1047,2014,32,15,5,2,3,2,0,0,1,2,0
2063,2015,32,15,5,2,3,2,0,0,1,2,0
3079,2016,32,15,5,2,3,2,0,0,1,2,0
4095,2017,32,15,5,3,2,3,0,0,0,2,0
5111,2018,32,15,5,3,2,3,0,0,0,2,0
6127,2019,32,15,5,3,2,3,0,0,0,2,0
7143,2020,32,15,5,4,1,3,1,0,0,1,0
32,2013,33,6,4,1,3,0,1,0,2,1,0
1048,2014,33,6,4,1,3,0,1,0,2,1,0
2064,2015,33,6,4,1,3,0,1,0,2,1,0
3080,2016,33,6,4,2,2,1,1,0,1,1,0
4096,2017,33,6,4,2,2,1,1,0,1,1,0
5112,2018,33,6,4,2,2,1,1,0,1,1,0
6128,2019,33,6,4,2,2,1,1,0,1,1,0
7144,2020,33,6,4,3,1,2,1,0,0,1,0
33,2013,34,11,7,1,6,1,0,0,4,1,1
1049,2014,34,11,7,1,6,1,0,0,4,1,1
2065,2015,34,11,7,2,5,2,0,0,3,1,1
3081,2016,34,11,7,2,5,2,0,0,3,1,1
4097,2017,34,11,7,2,5,2,0,0,3,1,1
5113,2018,34,11,7,2,5,2,0,0,3,1,1
6129,2019,34,11,7,2,5,2,0,0,3,1,1
7145,2020,34,11,7,3,4,2,1,0,3,0,1
34,2013,35,16,5,1,4,0,1,0,2,1,1
1050,2014,35,16,5,2,3,0,2,0,2,0,1
2066,2015,35,16,5,2,3,0,2,0,2,0,1
3082,2016,35,16,5,2,3,0,2,0,2,0,1
4098,2017,35,16,5,2,3,0,2,0,2,0,1
5114,2018,35,16,5,3,2,1,2,0,1,0,1
6130,2019,35,16,5,3,2,1,2,0,1,0,1
7146,2020,35,16,5,3,2,1,2,0,1,0,1
35,2013,36,13,6,1,5,1,0,0,3,1,1
1051,2014,36,13,6,1,5,1,0,0,3,1,1
2067,2015,36,13,6,1,5,1,0,0,3,1,1
3083,2016,36,13,6,2,4,1,1,0,3,0,1
4099,2017,36,13,6,2,4,1,1,0,3,0,1
5115,2018,36,13,6,2,4,1,1,0,3,0,1
6131,2019,36,13,6,2,4,1,1,0,3,0,1
7147,2020,36,13,6,3,3,2,1,0,2,0,1
36,2013,37,15,4,1,3,0,1,0,2,1,0
1052,2014,37,15,4,1,3,0,1,0,2,1,0
2068,2015,37,15,4,1,3,0,1,0,2,1,0
3084,2016,37,15,4,1,3,0,1,0,2,1,0
4100,2017,37,15,4,1,3,0,1,0,2,1,0
5116,2018,37,15,4,2,2,1,1,0,1,1,0
6132,2019,37,15,4,2,2,1,1,0,1,1,0
7148,2020,37,15,4,2,2,1,1,0,1,1,0
37,2013,38,14,14,3,11,2,1,0,7,3,1
1053,2014,38,14,14,3,11,2,1,0,7,3,1
2069,2015,38,14,14,4,10,3,1,0,6,3,1
3085,2016,38,14,14,5,9,3,2,0,6,2,1
4101,2017,38,14,14,6,8,3,3,0,6,1,1
5117,2018,38,14,14,7,7,4,3,0,5,1,1
6133,2019,38,14,14,9,5,6,3,0,3,1,1
7149,2020,38,14,14,10,4,7,3,0,2,1,1
38,2013,39,23,7,2,5,1,1,0,2,2,1
1054,2014,39,23,7,2,5,1,1,0,2,2,1
2070,2015,39,23,7,2,5,1,1,0,2,2,1
3086,2016,39,23,7,3,4,2,1,0,1,2,1
4102,2017,39,23,7,3,4,2,1,0,1,2,1
5118,2018,39,23,7,3,4,2,1,0,1,2,1
6134,2019,39,23,7,3,4,2,1,0,1,2,1
7150,2020,39,23,7,3,4,2,1,0,1,2,1
39,2013,40,6,2,1,1,0,1,0,1,0,0
1055,2014,40,6,2,1,1,0,1,0,1,0,0
2071,2015,40,6,2,1,1,0,1,0,1,0,0
3087,2016,40,6,2,1,1,0,1,0,1,0,0
4103,2017,40,6,2,1,1,0,1,0,1,0,0
5119,2018,40,6,2,1,1,0,1,0,1,0,0
6135,2019,40,6,2,1,1,0,1,0,1,0,0
7151,2020,40,6,2,1,1,0,1,0,1,0,0
40,2013,41,13,5,1,4,0,1,0,2,2,0
1056,2014,41,13,5,1,4,0,1,0,2,2,0
2072,2015,41,13,5,1,4,0,1,0,2,2,0
3088,2016,41,13,5,1,4,0,1,0,2,2,0
4104,2017,41,13,5,1,4,0,1,0,2,2,0
5120,2018,41,13,5,1,4,0,1,0,2,2,0
6136,2019,41,13,5,2,3,0,2,0,2,1,0
7152,2020,41,13,5,2,3,0,2,0,2,1,0
41,2013,42,26,22,4,18,3,1,0,12,6,0
1057,2014,42,26,22,4,18,3,1,0,12,6,0
2073,2015,42,26,22,5,17,4,1,0,11,6,0
3089,2016,42,26,22,6,16,4,2,0,11,5,0
4105,2017,42,26,22,8,14,6,2,0,9,5,0
5121,2018,42,26,22,10,12,8,2,0,7,5,0
6137,2019,42,26,22,11,11,8,3,0,7,4,0
7153,2020,42,26,22,13,9,10,3,0,5,4,0
42,2013,43,12,7,1,6,0,1,0,3,2,1
1058,2014,43,12,7,1,6,0,1,0,3,2,1
2074,2015,43,12,7,1,6,0,1,0,3,2,1
3090,2016,43,12,7,1,6,0,1,0,3,2,1
4106,2017,43,12,7,1,6,0,1,0,3,2,1
5122,2018,43,12,7,2,5,0,2,0,3,1,1
6138,2019,43,12,7,2,5,0,2,0,3,1,1
7154,2020,43,12,7,2,5,0,2,0,3,1,1
43,2013,44,7,2,2,0,1,1,0,0,0,0
1059,2014,44,7,2,2,0,1,1,0,0,0,0
2075,2015,44,7,2,2,0,1,1,0,0,0,0
3091,2016,44,7,2,2,0,1,1,0,0,0,0
4107,2017,44,7,2,2,0,1,1,0,0,0,0
5123,2018,44,7,2,2,0,1,1,0,0,0,0
6139,2019,44,7,2,2,0,1,1,0,0,0,0
7155,2020,44,7,2,2,0,1,1,0,0,0,0
44,2013,45,6,5,1,4,1,0,0,2,1,1
1060,2014,45,6,5,1,4,1,0,0,2,1,1
2076,2015,45,6,5,1,4,1,0,0,2,1,1
3092,2016,45,6,5,1,4,1,0,0,2,1,1
4108,2017,45,6,5,1,4,1,0,0,2,1,1
5124,2018,45,6,5,1,4,1,0,0,2,1,1
6140,2019,45,6,5,1,4,1,0,0,2,1,1
7156,2020,45,6,5,1,4,1,0,0,2,1,1
45,2013,46,10,6,1,5,1,0,0,2,2,1
1061,2014,46,10,6,1,5,1,0,0,2,2,1
2077,2015,46,10,6,1,5,1,0,0,2,2,1
3093,2016,46,10,6,1,5,1,0,0,2,2,1
4109,2017,46,10,6,1,5,1,0,0,2,2,1
5125,2018,46,10,6,2,4,2,0,0,1,2,1
6141,2019,46,10,6,2,4,2,0,0,1,2,1
7157,2020,46,10,6,2,4,2,0,0,1,2,1
46,2013,47,7,6,1,5,1,0,0,3,1,1
1062,2014,47,7,6,2,4,1,1,0,3,0,1
2078,2015,47,7,6,2,4,1,1,0,3,0,1
3094,2016,47,7,6,2,4,1,1,0,3,0,1
4110,2017,47,7,6,2,4,1,1,0,3,0,1
5126,2018,47,7,6,3,3,1,1,1,3,0,0
6142,2019,47,7,6,3,3,1,1,1,3,0,0
7158,2020,47,7,6,3,3,1,1,1,3,0,0
47,2013,48,42,34,7,27,5,2,0,18,7,2
1063,2014,48,42,34,8,26,5,3,0,18,6,2
2079,2015,48,42,34,10,24,6,4,0,17,5,2
3095,2016,48,42,34,12,22,7,5,0,16,4,2
4111,2017,48,42,34,14,20,7,7,0,16,2,2
5127,2018,48,42,34,17,17,9,8,0,14,1,2
6143,2019,48,42,34,22,12,12,9,1,11,0,1
7159,2020,48,42,34,24,10,14,9,1,9,0,1
48,2013,49,29,27,3,24,2,1,0,16,6,2
1064,2014,49,29,27,4,23,2,2,0,16,5,2
2080,2015,49,29,27,4,23,2,2,0,16,5,2
3096,2016,49,29,27,4,23,2,2,0,16,5,2
4112,2017,49,29,27,5,22,2,3,0,16,4,2
5128,2018,49,29,27,5,22,2,3,0,16,4,2
6144,2019,49,29,27,7,20,3,4,0,15,3,2
7160,2020,49,29,27,7,20,3,4,0,15,3,2
49,2013,50,28,15,3,12,1,1,1,8,3,1
1065,2014,50,28,15,3,12,1,1,1,8,3,1
2081,2015,50,28,15,3,12,1,1,1,8,3,1
3097,2016,50,28,15,4,11,1,2,1,8,2,1
4113,2017,50,28,15,4,11,1,2,1,8,2,1
5129,2018,50,28,15,5,10,1,3,1,8,1,1
6145,2019,50,28,15,6,9,1,4,1,8,0,1
7161,2020,50,28,15,7,8,2,4,1,7,0,1
50,2013,51,47,45,4,41,1,2,1,26,13,2
1066,2014,51,47,45,5,40,1,3,1,26,12,2
2082,2015,51,47,45,6,39,1,4,1,26,11,2
3098,2016,51,47,45,7,38,2,4,1,25,11,2
4114,2017,51,47,45,9,36,2,6,1,25,9,2
5130,2018,51,47,45,11,34,4,6,1,23,9,2
6146,2019,51,47,45,15,30,6,8,1,21,7,2
7162,2020,51,47,45,18,27,6,11,1,21,4,2
51,2013,52,18,6,2,4,2,0,0,1,2,1
1067,2014,52,18,6,2,4,2,0,0,1,2,1
2083,2015,52,18,6,2,4,2,0,0,1,2,1
3099,2016,52,18,6,2,4,2,0,0,1,2,1
4115,2017,52,18,6,2,4,2,0,0,1,2,1
5131,2018,52,18,6,2,4,2,0,0,1,2,1
6147,2019,52,18,6,3,3,3,0,0,0,2,1
7163,2020,52,18,6,3,3,3,0,0,0,2,1
52,2013,53,12,3,1,2,0,1,0,1,1,0
1068,2014,53,12,3,1,2,0,1,0,1,1,0
2084,2015,53,12,3,1,2,0,1,0,1,1,0
3100,2016,53,12,3,1,2,0,1,0,1,1,0
4116,2017,53,12,3,1,2,0,1,0,1,1,0
5132,2018,53,12,3,2,1,1,1,0,0,1,0
6148,2019,53,12,3,2,1,1,1,0,0,1,0
7164,2020,53,12,3,2,1,1,1,0,0,1,0
53,2013,54,8,6,2,4,2,0,0,1,2,1
1069,2014,54,8,6,2,4,2,0,0,1,2,1
2085,2015,54,8,6,2,4,2,0,0,1,2,1
3101,2016,54,8,6,3,3,3,0,0,0,2,1
4117,2017,54,8,6,3,3,3,0,0,0,2,1
5133,2018,54,8,6,4,2,3,1,0,0,1,1
6149,2019,54,8,6,5,1,3,2,0,0,0,1
7165,2020,54,8,6,6,0,3,2,1,0,0,0
54,2013,55,60,53,10,43,5,4,1,28,12,3
1070,2014,55,60,53,11,42,5,5,1,28,11,3
2086,2015,55,60,53,14,39,7,6,1,26,10,3
3102,2016,55,60,53,18,35,11,6,1,22,10,3
4118,2017,55,60,53,19,34,11,6,2,22,10,2
5134,2018,55,60,53,22,31,14,6,2,19,10,2
6150,2019,55,60,53,26,27,18,6,2,15,10,2
7166,2020,55,60,53,27,26,18,7,2,15,9,2
55,2013,56,26,13,1,12,1,0,0,8,3,1
1071,2014,56,26,13,1,12,1,0,0,8,3,1
2087,2015,56,26,13,1,12,1,0,0,8,3,1
3103,2016,56,26,13,1,12,1,0,0,8,3,1
4119,2017,56,26,13,2,11,2,0,0,7,3,1
5135,2018,56,26,13,2,11,2,0,0,7,3,1
6151,2019,56,26,13,2,11,2,0,0,7,3,1
7167,2020,56,26,13,2,11,2,0,0,7,3,1
56,2013,57,11,8,1,7,0,1,0,5,1,1
1072,2014,57,11,8,1,7,0,1,0,5,1,1
2088,2015,57,11,8,1,7,0,1,0,5,1,1
3104,2016,57,11,8,1,7,0,1,0,5,1,1
4120,2017,57,11,8,1,7,0,1,0,5,1,1
5136,2018,57,11,8,1,7,0,1,0,5,1,1
6152,2019,57,11,8,1,7,0,1,0,5,1,1
7168,2020,57,11,8,1,7,0,1,0,5,1,1
57,2013,58,28,23,13,10,7,5,1,7,3,0
1073,2014,58,28,23,14,9,8,5,1,6,3,0
2089,2015,58,28,23,18,5,11,6,1,3,2,0
3105,2016,58,28,23,21,2,12,8,1,2,0,0
4121,2017,58,28,23,23,0,14,8,1,0,0,0
5137,2018,58,28,23,23,0,14,8,1,0,0,0
6153,2019,58,28,23,23,0,14,8,1,0,0,0
7169,2020,58,28,23,23,0,14,8,1,0,0,0
58,2013,59,37,26,1,25,1,0,0,16,7,2
1074,2014,59,37,26,1,25,1,0,0,16,7,2
2090,2015,59,37,26,1,25,1,0,0,16,7,2
3106,2016,59,37,26,1,25,1,0,0,16,7,2
4122,2017,59,37,26,1,25,1,0,0,16,7,2
5138,2018,59,37,26,1,25,1,0,0,16,7,2
6154,2019,59,37,26,1,25,1,0,0,16,7,2
7170,2020,59,37,26,1,25,1,0,0,16,7,2
59,2013,60,31,19,2,17,2,0,0,11,5,1
1075,2014,60,31,19,2,17,2,0,0,11,5,1
2091,2015,60,31,19,3,16,3,0,0,10,5,1
3107,2016,60,31,19,3,16,3,0,0,10,5,1
4123,2017,60,31,19,3,16,3,0,0,10,5,1
5139,2018,60,31,19,4,15,3,1,0,10,4,1
6155,2019,60,31,19,5,14,4,1,0,9,4,1
7171,2020,60,31,19,6,13,5,1,0,8,4,1
60,2013,61,37,37,6,31,4,1,1,21,9,1
1076,2014,61,37,37,6,31,4,1,1,21,9,1
2092,2015,61,37,37,7,30,5,1,1,20,9,1
3108,2016,61,37,37,7,30,5,1,1,20,9,1
4124,2017,61,37,37,7,30,5,1,1,20,9,1
5140,2018,61,37,37,10,27,5,4,1,20,6,1
6156,2019,61,37,37,11,26,6,4,1,19,6,1
7172,2020,61,37,37,12,25,7,4,1,18,6,1
61,2013,62,27,13,3,10,1,1,1,6,3,1
1077,2014,62,27,13,3,10,1,1,1,6,3,1
2093,2015,62,27,13,3,10,1,1,1,6,3,1
3109,2016,62,27,13,4,9,2,1,1,5,3,1
4125,2017,62,27,13,4,9,2,1,1,5,3,1
5141,2018,62,27,13,5,8,3,1,1,4,3,1
6157,2019,62,27,13,6,7,3,2,1,4,2,1
