,Course_ID,Year,Course_Duration,Course_Duration_Digit,Course_Duration_Present,Digit_Ratio,Digit_Percentage,Total_Courses_perYear,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_Quiz_1H,Number_Quiz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H
60,61,2013,23,9,14,0.39,39,1014,3,5,1,1,3,1,5,0,0,1,0,1,2,1,0,0,0
61,62,2013,47,23,24,0.48,48,1014,14,7,2,9,5,2,16,6,1,2,0,3,2,2,0,0,0
62,63,2013,7,1,6,0.18,18,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
63,64,2013,39,21,18,0.54,54,1014,10,10,1,10,6,1,17,10,0,0,0,2,4,1,0,0,0
64,65,2013,47,12,35,0.25,25,1014,6,5,1,6,5,1,12,6,0,0,0,5,0,1,0,0,0
65,66,2013,23,12,11,0.5,50,1014,5,7,0,2,7,0,9,1,0,0,1,7,0,0,0,0,0
66,67,2013,7,1,6,0.15,15,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
67,68,2013,36,28,8,0.77,77,1014,14,11,3,9,11,3,23,7,0,1,1,11,0,3,0,0,0
68,69,2013,44,5,39,0.11,11,1014,1,3,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0
69,70,2013,50,20,30,0.4,40,1014,14,5,1,6,5,1,12,0,5,0,1,5,0,1,0,0,0
70,71,2013,14,3,11,0.19,19,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
71,72,2013,34,12,22,0.36,36,1014,7,3,2,6,2,2,10,5,1,0,0,1,1,2,0,0,0
72,73,2013,50,3,47,0.06,6,1014,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
73,74,2013,40,38,2,0.96,96,1014,20,15,3,17,8,2,27,15,1,1,0,1,7,1,1,0,0
74,75,2013,34,12,22,0.35,35,1014,8,4,0,5,4,0,9,3,1,1,0,4,0,0,0,0,0
75,76,2013,43,19,24,0.45,45,1014,11,6,2,8,6,1,15,5,3,0,0,6,0,0,1,0,0
76,77,2013,13,4,9,0.31,31,1014,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
77,78,2013,15,9,6,0.6,60,1014,4,4,1,3,4,1,8,2,1,0,0,4,0,1,0,0,0
78,79,2013,19,7,12,0.37,37,1014,3,3,1,2,3,1,6,1,1,0,0,3,0,1,0,0,0
79,80,2013,43,26,17,0.61,61,1014,10,15,1,5,8,1,14,3,0,1,1,1,7,1,0,0,0
80,81,2013,55,29,26,0.53,53,1014,13,15,1,9,13,1,23,7,0,2,0,11,2,1,0,0,0
81,82,2013,23,22,1,0.95,95,1014,9,12,1,6,10,1,17,3,3,0,0,8,2,1,0,0,0
82,83,2013,9,3,6,0.36,36,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
83,84,2013,31,30,1,0.98,98,1014,22,7,1,18,5,1,24,14,4,0,0,3,2,1,0,0,0
84,85,2013,6,3,3,0.54,54,1014,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
85,86,2013,53,26,27,0.49,49,1014,19,6,1,11,3,1,15,7,2,0,2,0,3,1,0,0,0
86,87,2013,27,22,5,0.83,83,1014,10,11,1,4,7,1,12,2,0,0,2,3,4,1,0,0,0
87,88,2013,19,5,14,0.25,25,1014,3,2,0,2,2,0,4,1,1,0,0,2,0,0,0,0,0
88,89,2013,29,21,8,0.73,73,1014,8,12,1,4,6,1,11,0,4,0,0,0,6,1,0,0,0
89,90,2013,15,7,8,0.49,49,1014,3,3,1,3,3,1,7,3,0,0,0,3,0,1,0,0,0
90,91,2013,57,39,18,0.69,69,1014,19,17,3,15,11,2,28,12,2,1,0,5,6,1,1,0,0
91,92,2013,40,37,3,0.92,92,1014,16,19,2,14,10,1,25,13,0,1,0,1,9,0,1,0,0
92,93,2013,26,5,21,0.2,20,1014,2,2,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0
93,94,2013,21,10,11,0.48,48,1014,5,3,2,3,2,1,6,1,2,0,0,1,1,0,1,0,0
94,95,2013,39,23,16,0.58,57,1014,15,8,0,13,7,0,20,11,2,0,0,6,1,0,0,0,0
95,96,2013,12,7,5,0.62,62,1014,4,2,1,1,2,1,4,0,0,0,1,2,0,1,0,0,0
96,97,2013,28,22,6,0.77,77,1014,13,9,0,8,8,0,16,6,0,1,1,7,1,0,0,0,0
97,98,2013,60,21,39,0.35,35,1014,13,8,0,5,7,0,12,1,1,2,1,6,1,0,0,0,0
98,99,2013,56,16,40,0.29,28,1014,8,5,3,5,4,3,12,3,1,1,0,3,1,3,0,0,0
99,100,2013,27,1,26,0.04,4,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
100,101,2013,31,31,0,0.99,99,1014,13,16,2,10,13,1,24,7,3,0,0,10,3,0,1,0,0
101,102,2013,10,6,4,0.57,56,1014,3,2,1,3,1,1,5,3,0,0,0,0,1,1,0,0,0
102,103,2013,29,3,26,0.11,11,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
103,104,2013,57,10,47,0.18,18,1014,7,2,1,5,2,1,8,3,2,0,0,2,0,1,0,0,0
104,105,2013,15,5,10,0.36,36,1014,3,2,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0
105,106,2013,7,3,4,0.42,42,1014,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
106,107,2013,8,7,1,0.82,82,1014,3,4,0,1,2,0,3,0,0,1,0,0,2,0,0,0,0
107,108,2013,24,10,14,0.43,43,1014,4,4,2,4,3,1,8,4,0,0,0,2,1,0,1,0,0
108,109,2013,16,6,10,0.38,38,1014,2,3,1,1,2,1,4,0,1,0,0,1,1,1,0,0,0
109,110,2013,19,6,13,0.29,28,1014,3,2,1,1,2,1,4,0,0,1,0,2,0,1,0,0,0
110,111,2013,41,19,22,0.47,47,1014,6,10,3,6,6,2,14,6,0,0,0,2,4,1,1,0,0
111,112,2013,14,0,14,0.01,1,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,113,2013,7,5,2,0.74,74,1014,4,1,0,2,1,0,3,0,2,0,0,1,0,0,0,0,0
113,114,2013,18,13,5,0.72,72,1014,5,6,2,3,3,1,7,2,0,1,0,0,3,0,1,0,0
114,115,2013,5,1,4,0.28,28,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
115,116,2013,42,3,39,0.08,8,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
116,117,2013,8,5,3,0.59,59,1014,3,2,0,3,1,0,4,3,0,0,0,0,1,0,0,0,0
117,118,2013,15,4,11,0.24,24,1014,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
118,119,2013,14,2,12,0.11,11,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
119,120,2013,32,30,2,0.94,94,1014,16,13,1,8,13,1,22,3,3,1,1,13,0,1,0,0,0
120,121,2013,32,13,19,0.41,41,1014,7,4,2,4,2,1,7,1,3,0,0,0,2,0,1,0,0
121,122,2013,6,3,3,0.44,44,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
122,123,2013,20,11,9,0.56,56,1014,5,5,1,2,3,1,6,1,0,0,1,1,2,1,0,0,0
123,124,2013,40,36,4,0.91,91,1014,17,17,2,10,14,1,25,3,7,0,0,11,3,0,1,0,0
124,125,2013,48,34,14,0.71,71,1014,24,9,1,10,7,1,18,1,4,5,0,5,2,1,0,0,0
125,126,2013,55,10,45,0.18,18,1014,6,3,1,6,2,1,9,6,0,0,0,1,1,1,0,0,0
126,127,2013,15,2,13,0.13,13,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
127,128,2013,11,8,3,0.73,73,1014,5,2,1,2,1,1,4,0,1,1,0,0,1,1,0,0,0
128,129,2013,58,53,5,0.91,91,1014,22,27,4,10,18,2,30,5,1,1,3,9,9,1,0,1,0
129,130,2013,15,9,6,0.61,61,1014,6,2,1,3,1,1,5,2,0,0,1,0,1,1,0,0,0
130,131,2013,52,23,29,0.45,45,1014,11,9,3,3,6,3,12,0,0,1,2,3,3,3,0,0,0
131,132,2013,28,13,15,0.48,48,1014,8,4,1,6,2,1,9,5,0,1,0,0,2,1,0,0,0
132,133,2013,57,6,51,0.11,11,1014,3,3,0,2,3,0,5,1,1,0,0,3,0,0,0,0,0
133,134,2013,26,10,16,0.4,40,1014,4,4,2,2,4,1,7,0,2,0,0,4,0,0,1,0,0
134,135,2013,42,32,10,0.76,76,1014,21,10,1,9,8,1,18,4,1,1,3,6,2,1,0,0,0
135,136,2013,9,5,4,0.57,56,1014,3,2,0,3,1,0,4,3,0,0,0,0,1,0,0,0,0
136,137,2013,23,2,21,0.1,10,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
137,138,2013,19,17,2,0.87,87,1014,9,7,1,9,7,1,17,9,0,0,0,7,0,1,0,0,0
138,139,2013,42,36,6,0.86,86,1014,26,8,2,16,7,1,24,8,7,0,1,6,1,0,1,0,0
139,140,2013,29,4,25,0.14,14,1014,2,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0
140,141,2013,12,12,0,0.98,98,1014,3,6,3,1,5,1,7,0,0,1,0,4,1,0,0,1,0
141,142,2013,7,2,5,0.32,32,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
142,143,2013,7,5,2,0.71,71,1014,2,2,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0
143,144,2013,6,3,3,0.48,48,1014,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
144,145,2013,15,13,2,0.84,84,1014,8,3,2,8,2,1,11,8,0,0,0,1,1,0,1,0,0
145,146,2013,29,11,18,0.37,37,1014,7,4,0,7,4,0,11,7,0,0,0,4,0,0,0,0,0
146,147,2013,22,2,20,0.08,8,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
147,148,2013,19,10,9,0.53,53,1014,7,3,0,7,3,0,10,7,0,0,0,3,0,0,0,0,0
148,149,2013,32,13,19,0.42,42,1014,8,4,1,4,3,1,8,2,0,2,0,2,1,1,0,0,0
149,150,2013,33,30,3,0.92,92,1014,22,5,3,21,5,2,28,20,1,0,0,5,0,1,1,0,0
150,151,2013,16,4,12,0.25,25,1014,2,2,0,2,2,0,4,2,0,0,0,2,0,0,0,0,0
151,152,2013,6,0,6,0.07,7,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,153,2013,31,27,4,0.86,86,1014,14,12,1,7,8,1,16,4,1,0,2,4,4,1,0,0,0
153,154,2013,32,3,29,0.1,10,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
154,155,2013,27,15,12,0.54,54,1014,4,8,3,1,6,3,10,0,0,0,1,4,2,3,0,0,0
155,156,2013,30,10,20,0.33,33,1014,7,2,1,4,2,1,7,2,1,1,0,2,0,1,0,0,0
156,157,2013,22,18,4,0.83,83,1014,9,6,3,9,6,3,18,9,0,0,0,6,0,3,0,0,0
157,158,2013,26,11,15,0.42,42,1014,5,5,1,5,4,1,10,5,0,0,0,3,1,1,0,0,0
158,159,2013,7,4,3,0.53,53,1014,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
159,160,2013,21,15,6,0.7,70,1014,6,5,4,4,3,1,8,3,0,1,0,1,2,0,0,0,1
160,161,2013,34,3,31,0.09,9,1014,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0
161,162,2013,31,9,22,0.28,28,1014,5,4,0,4,4,0,8,3,1,0,0,4,0,0,0,0,0
162,163,2013,54,14,40,0.26,26,1014,8,5,1,7,4,1,12,6,1,0,0,3,1,1,0,0,0
163,164,2013,5,3,2,0.58,57,1014,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0
164,165,2013,15,4,11,0.27,27,1014,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
165,166,2013,30,12,18,0.39,39,1014,5,7,0,3,4,0,7,2,0,1,0,1,3,0,0,0,0
166,167,2013,15,0,15,0.01,1,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,168,2013,48,41,7,0.86,86,1014,25,13,3,13,9,1,23,6,3,3,1,5,4,0,0,1,0
168,169,2013,45,8,37,0.18,18,1014,4,4,0,1,4,0,5,0,0,0,1,4,0,0,0,0,0
169,170,2013,26,24,2,0.91,91,1014,13,9,2,4,7,2,13,0,1,1,2,5,2,2,0,0,0
170,171,2013,13,3,10,0.23,23,1014,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0
171,172,2013,40,1,39,0.02,2,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
172,173,2013,39,8,31,0.21,21,1014,4,3,1,2,2,1,5,1,0,1,0,1,1,1,0,0,0
173,174,2013,38,17,21,0.45,45,1014,11,4,2,11,2,2,15,11,0,0,0,0,2,2,0,0,0
174,175,2013,39,21,18,0.55,55,1014,8,10,3,7,10,2,19,6,1,0,0,10,0,1,1,0,0
175,176,2013,14,13,1,0.95,95,1014,3,7,3,2,7,1,10,1,1,0,0,7,0,0,0,1,0
176,177,2013,17,15,2,0.89,89,1014,10,4,1,4,4,1,9,0,2,2,0,4,0,1,0,0,0
177,178,2013,14,9,5,0.62,62,1014,6,2,1,5,1,1,7,4,1,0,0,0,1,1,0,0,0
178,179,2013,30,2,28,0.08,8,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
179,180,2013,51,8,43,0.16,16,1014,3,4,1,1,4,1,6,0,0,1,0,4,0,1,0,0,0
180,181,2013,26,7,19,0.26,26,1014,2,3,2,2,3,2,7,2,0,0,0,3,0,2,0,0,0
181,182,2013,33,26,7,0.8,80,1014,9,13,4,9,8,1,18,9,0,0,0,3,5,0,0,0,1
182,183,2013,32,4,28,0.12,12,1014,3,1,0,2,1,0,3,1,1,0,0,1,0,0,0,0,0
183,184,2013,40,18,22,0.46,46,1014,13,3,2,5,2,1,8,1,2,0,2,1,1,0,1,0,0
184,185,2013,7,5,2,0.68,68,1014,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
185,186,2013,14,7,7,0.52,52,1014,5,2,0,2,1,0,3,1,0,0,1,0,1,0,0,0,0
186,187,2013,22,20,2,0.89,89,1014,11,6,3,11,4,1,16,11,0,0,0,2,2,0,0,1,0
187,188,2013,19,11,8,0.56,56,1014,6,5,0,3,4,0,7,1,1,1,0,3,1,0,0,0,0
188,189,2013,16,15,1,0.91,91,1014,7,6,2,5,5,2,12,4,0,1,0,4,1,2,0,0,0
189,190,2013,33,33,0,0.99,99,1014,16,16,1,8,11,1,20,2,5,0,1,6,5,1,0,0,0
190,191,2013,13,7,6,0.53,53,1014,3,3,1,1,2,1,4,0,0,1,0,1,1,1,0,0,0
191,192,2013,7,4,3,0.6,60,1014,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
192,193,2013,39,28,11,0.71,71,1014,11,15,2,11,13,1,25,11,0,0,0,11,2,0,1,0,0
193,194,2013,40,36,4,0.89,89,1014,25,10,1,18,5,1,24,12,5,1,0,0,5,1,0,0,0
194,195,2013,34,11,23,0.32,32,1014,6,4,1,6,2,1,9,6,0,0,0,0,2,1,0,0,0
195,196,2013,19,12,7,0.61,61,1014,7,3,2,2,2,2,6,0,0,1,1,1,1,2,0,0,0
196,197,2013,8,3,5,0.33,33,1014,1,2,0,1,2,0,3,1,0,0,0,2,0,0,0,0,0
197,198,2013,30,4,26,0.13,13,1014,2,2,0,1,2,0,3,0,1,0,0,2,0,0,0,0,0
198,199,2013,6,2,4,0.35,35,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
199,200,2013,54,20,34,0.37,37,1014,5,11,4,4,7,2,13,3,1,0,0,3,4,1,0,1,0
200,201,2013,46,38,8,0.82,82,1014,25,13,0,16,9,0,25,10,3,3,0,5,4,0,0,0,0
201,202,2013,35,2,33,0.05,5,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
202,203,2013,25,2,23,0.1,10,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
203,204,2013,38,16,22,0.41,41,1014,10,5,1,7,3,1,11,4,3,0,0,1,2,1,0,0,0
204,205,2013,27,23,4,0.86,86,1014,13,8,2,7,7,2,16,2,4,1,0,6,1,2,0,0,0
205,206,2013,31,24,7,0.77,77,1014,14,7,3,12,6,2,20,10,2,0,0,5,1,1,1,0,0
206,207,2013,6,4,2,0.74,74,1014,2,2,0,2,2,0,4,2,0,0,0,2,0,0,0,0,0
207,208,2013,36,31,5,0.85,85,1014,16,15,0,11,9,0,20,9,0,1,1,3,6,0,0,0,0
208,209,2013,32,0,32,0.0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,210,2013,34,4,30,0.12,12,1014,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
210,211,2013,31,26,5,0.83,83,1014,14,11,1,6,11,1,18,3,0,1,2,11,0,1,0,0,0
211,212,2013,35,22,13,0.64,64,1014,13,9,0,12,7,0,19,11,1,0,0,5,2,0,0,0,0
212,213,2013,10,0,10,0.04,4,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,214,2013,18,17,1,0.95,95,1014,13,3,1,4,3,1,8,1,0,0,3,3,0,1,0,0,0
214,215,2013,5,4,1,0.7,70,1014,1,2,1,1,2,1,4,1,0,0,0,2,0,1,0,0,0
215,216,2013,26,12,14,0.47,47,1014,4,6,2,2,5,2,9,1,0,1,0,4,1,2,0,0,0
216,217,2013,36,17,19,0.48,48,1014,6,8,3,3,6,3,12,2,0,0,1,4,2,3,0,0,0
217,218,2013,39,27,12,0.68,68,1014,11,14,2,7,13,2,22,5,0,2,0,12,1,2,0,0,0
218,219,2013,48,31,17,0.64,64,1014,17,11,3,13,11,1,25,11,0,2,0,11,0,0,0,1,0
219,220,2013,44,11,33,0.25,25,1014,4,5,2,3,3,1,7,2,1,0,0,1,2,0,1,0,0
220,221,2013,37,23,14,0.61,61,1014,9,12,2,3,12,2,17,1,0,0,2,12,0,2,0,0,0
221,222,2013,15,3,12,0.21,21,1014,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
222,223,2013,50,46,4,0.91,91,1014,21,23,2,6,13,2,21,0,0,3,3,3,10,2,0,0,0
223,224,2013,21,10,11,0.47,47,1014,3,4,3,1,4,1,6,0,0,1,0,4,0,0,0,1,0
224,225,2013,16,16,0,0.97,97,1014,4,9,3,4,8,2,14,4,0,0,0,7,1,1,1,0,0
225,226,2013,7,5,2,0.74,74,1014,1,3,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0
226,227,2013,17,10,7,0.58,57,1014,3,5,2,1,3,2,6,0,0,1,0,1,2,2,0,0,0
227,228,2013,11,2,9,0.2,20,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
228,229,2013,14,9,5,0.66,66,1014,5,3,1,4,3,1,8,3,1,0,0,3,0,1,0,0,0
229,230,2013,22,5,17,0.23,23,1014,2,2,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0
230,231,2013,17,8,9,0.47,47,1014,3,3,2,2,3,2,7,1,1,0,0,3,0,2,0,0,0
231,232,2013,30,16,14,0.55,55,1014,9,6,1,8,3,1,12,7,1,0,0,0,3,1,0,0,0
232,233,2013,16,3,13,0.17,17,1014,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0
233,234,2013,24,1,23,0.04,4,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
234,235,2013,22,22,0,0.99,99,1014,9,12,1,6,10,1,17,3,3,0,0,8,2,1,0,0,0
235,236,2013,14,5,9,0.34,34,1014,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
236,237,2013,42,2,40,0.04,4,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
237,238,2013,17,11,6,0.63,63,1014,7,3,1,7,3,1,11,7,0,0,0,3,0,1,0,0,0
238,239,2013,12,0,12,0.03,3,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,240,2013,28,13,15,0.45,45,1014,4,6,3,4,6,1,11,4,0,0,0,6,0,0,0,1,0
240,241,2013,18,13,5,0.71,71,1014,3,7,3,3,5,2,10,3,0,0,0,3,2,1,1,0,0
241,242,2013,55,40,15,0.73,73,1014,24,14,2,20,9,2,31,16,4,0,0,4,5,2,0,0,0
