,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty,Department
3335,2018,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.72,0.3,30.32,27,63,90,32,27,5,2.81,84.38,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
4446,2019,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.7,0.24,26.83,26,70,96,84,26,58,1.14,30.95,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
5557,2020,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCM,0.64,0.18,7.9,7,81,88,82,7,75,1.07,8.54,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
3,2015,Droit,1,Histoire du Droit,2,L'Italie,7,4,1,QCM,0.53,0.21,19.8,10,43,53,52,10,42,1.02,19.23,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
1114,2016,Droit,1,Histoire du Droit,2,L'Italie,7,4,1,QCM,0.25,0.68,39.52,19,29,48,26,19,7,1.85,73.08,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
2225,2017,Droit,1,Histoire du Droit,2,L'Italie,7,4,1,QCM,0.38,0.4,46.2,25,29,54,37,25,12,1.46,67.57,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
3336,2018,Droit,1,Histoire du Droit,2,L'Italie,7,4,1,QCU,0.74,0.25,14.81,7,39,46,29,7,22,1.59,24.14,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
4447,2019,Droit,1,Histoire du Droit,2,L'Italie,7,4,1,QCM,0.46,0.32,64.03,26,14,40,37,26,11,1.08,70.27,Facile,Moyen,-1,Plus Difficile,Adapte,Law
5558,2020,Droit,1,Histoire du Droit,2,L'Italie,7,4,1,QCM,0.3,0.41,64.03,28,16,44,36,28,8,1.22,77.78,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
4,2015,Droit,1,Histoire du Droit,2,L'Italie,7,5,2,QROC,0.33,0.25,53.31,41,35,76,65,41,24,1.17,63.08,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
1115,2016,Droit,1,Histoire du Droit,2,L'Italie,7,5,2,QROC,0.46,0.26,59.26,50,35,85,51,50,1,1.67,98.04,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
2226,2017,Droit,1,Histoire du Droit,2,L'Italie,7,5,2,QCM,0.45,0.59,41.06,31,44,75,45,31,14,1.67,68.89,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
3337,2018,Droit,1,Histoire du Droit,2,L'Italie,7,5,2,QCM,0.69,0.22,28.83,24,59,83,43,24,19,1.93,55.81,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
4448,2019,Droit,1,Histoire du Droit,2,L'Italie,7,5,2,QCM,0.74,0.19,17.18,14,67,81,54,14,40,1.5,25.93,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
5559,2020,Droit,1,Histoire du Droit,2,L'Italie,7,5,2,QCM,0.5,0.6,59.46,45,31,76,46,45,1,1.65,97.83,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
5,2015,Droit,1,Histoire du Droit,2,L'Italie,7,6,3,QROC,0.11,0.59,69.89,57,24,81,60,57,3,1.35,95.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
1116,2016,Droit,1,Histoire du Droit,2,L'Italie,7,6,3,QROC,0.19,0.79,69.89,49,21,70,57,49,8,1.23,85.96,Facile,Facile,0,Meme Difficulté,Adapte,Law
2227,2017,Droit,1,Histoire du Droit,2,L'Italie,7,6,3,QROC,0.12,0.84,69.89,46,20,66,59,46,13,1.12,77.97,Facile,Facile,0,Meme Difficulté,Adapte,Law
3338,2018,Droit,1,Histoire du Droit,2,L'Italie,7,6,3,QROC,0.13,0.84,69.89,42,18,60,59,42,17,1.02,71.19,Facile,Facile,0,Meme Difficulté,Adapte,Law
4449,2019,Droit,1,Histoire du Droit,2,L'Italie,7,6,3,QROC,0.11,0.96,69.89,45,20,65,57,45,12,1.14,78.95,Facile,Facile,0,Meme Difficulté,Adapte,Law
5560,2020,Droit,1,Histoire du Droit,2,L'Italie,7,6,3,QROC,0.17,0.51,69.89,45,19,64,48,45,3,1.33,93.75,Facile,Facile,0,Meme Difficulté,Adapte,Law
6,2015,Droit,1,Histoire du Droit,2,L'Italie,7,7,4,QROC,0.52,0.33,57.39,14,11,25,25,14,11,1.0,56.0,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
1117,2016,Droit,1,Histoire du Droit,2,L'Italie,7,7,4,QROC,0.28,0.26,47.23,12,13,25,24,12,12,1.04,50.0,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
2228,2017,Droit,1,Histoire du Droit,2,L'Italie,7,7,4,QROC,1.0,0.09,21.3,5,19,24,14,5,9,1.71,35.71,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3339,2018,Droit,1,Histoire du Droit,2,L'Italie,7,7,4,QROC,0.36,0.28,38.79,8,13,21,11,8,3,1.91,72.73,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
4450,2019,Droit,1,Histoire du Droit,2,L'Italie,7,7,4,QROC,0.44,0.37,54.25,10,9,19,18,10,8,1.06,55.56,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
5561,2020,Droit,1,Histoire du Droit,2,L'Italie,7,7,4,QROC,0.68,0.12,24.55,5,17,22,21,5,16,1.05,23.81,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
7,2015,Droit,1,Histoire du Droit,2,L'Italie,7,8,5,QROC,0.48,0.3,40.85,30,44,74,39,30,9,1.9,76.92,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
1118,2016,Droit,1,Histoire du Droit,2,L'Italie,7,8,5,QROC,0.42,0.26,64.0,53,30,83,54,53,1,1.54,98.15,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
2229,2017,Droit,1,Histoire du Droit,2,L'Italie,7,8,5,QROC,0.44,0.25,64.0,56,31,87,70,56,14,1.24,80.0,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
3340,2018,Droit,1,Histoire du Droit,2,L'Italie,7,8,5,QROC,0.53,0.37,64.0,58,32,90,59,58,1,1.53,98.31,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
4451,2019,Droit,1,Histoire du Droit,2,L'Italie,7,8,5,QROC,0.3,0.29,64.0,61,35,96,88,61,27,1.09,69.32,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
5562,2020,Droit,1,Histoire du Droit,2,L'Italie,7,8,5,QROC,0.51,0.27,64.0,60,33,93,91,60,31,1.02,65.93,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
8,2015,Droit,1,Histoire du Droit,2,L'Italie,7,9,6,QCM,0.59,0.29,31.95,25,52,77,67,25,42,1.15,37.31,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
1119,2016,Droit,1,Histoire du Droit,2,L'Italie,7,9,6,QCM,0.52,0.16,27.8,20,53,73,44,20,24,1.66,45.45,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2230,2017,Droit,1,Histoire du Droit,2,L'Italie,7,9,6,QROC,0.18,0.56,79.87,55,14,69,59,55,4,1.17,93.22,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
3341,2018,Droit,1,Histoire du Droit,2,L'Italie,7,9,6,QROC,0.02,0.69,71.7,47,19,66,48,47,1,1.38,97.92,Moyen,Facile,1,Plus Facile,Adapte,Law
4452,2019,Droit,1,Histoire du Droit,2,L'Italie,7,9,6,QROC,0.2,0.74,71.7,51,20,71,62,51,11,1.15,82.26,Facile,Facile,0,Meme Difficulté,Adapte,Law
5563,2020,Droit,1,Histoire du Droit,2,L'Italie,7,9,6,QROC,0.02,0.96,71.7,57,22,79,63,57,6,1.25,90.48,Facile,Facile,0,Meme Difficulté,Adapte,Law
9,2015,Droit,1,Histoire du Droit,2,L'Italie,7,10,7,QROC,0.65,0.19,22.54,20,67,87,72,20,52,1.21,27.78,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
1120,2016,Droit,1,Histoire du Droit,2,L'Italie,7,10,7,QROC,0.08,0.46,91.17,88,9,97,96,88,8,1.01,91.67,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
2231,2017,Droit,1,Histoire du Droit,2,L'Italie,7,10,7,QROC,0.77,0.11,28.92,27,68,95,95,27,68,1.0,28.42,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
3342,2018,Droit,1,Histoire du Droit,2,L'Italie,7,10,7,QROC,0.62,0.11,11.28,9,75,84,45,9,36,1.87,20.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
4453,2019,Droit,1,Histoire du Droit,2,L'Italie,7,10,7,QO,0.8,0.13,13.08,11,73,84,49,11,38,1.71,22.45,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
5564,2020,Droit,1,Histoire du Droit,2,L'Italie,7,10,7,QO,0.18,0.31,81.42,68,15,83,77,68,9,1.08,88.31,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
10,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,11,1,QCM,0.75,0.28,2.23,0,9,9,5,0,5,1.8,0.0,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1121,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,11,1,QCM,0.62,0.27,21.37,2,7,9,9,2,7,1.0,22.22,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2232,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,11,1,QCM,0.74,0.17,4.58,0,9,9,9,0,9,1.0,0.0,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
3343,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,11,1,QCM,0.12,0.94,96.5,9,0,9,9,9,0,1.0,100.0,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
4454,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,11,1,QCM,0.07,0.82,76.48,8,2,10,10,8,2,1.0,80.0,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
5565,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,11,1,QCM,0.23,0.67,40.85,3,5,8,7,3,4,1.14,42.86,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
11,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,12,2,QCU,0.31,0.57,54.15,50,42,92,56,50,6,1.64,89.29,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
1122,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,12,2,QCU,0.28,0.68,60.87,52,34,86,72,52,20,1.19,72.22,Facile,Moyen,-1,Plus Difficile,Adapte,Law
2233,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,12,2,QCU,0.27,0.59,60.87,60,38,98,66,60,6,1.48,90.91,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
3344,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,12,2,QCU,0.25,0.68,60.87,55,36,91,73,55,18,1.25,75.34,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
4455,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,12,2,QCM,0.48,0.62,60.87,55,36,91,76,55,21,1.2,72.37,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
5566,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,12,2,QCM,0.35,0.65,60.87,52,34,86,65,52,13,1.32,80.0,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
12,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,13,3,QROC,0.16,0.61,81.77,44,10,54,54,44,10,1.0,81.48,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
1123,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,13,3,QROC,0.44,0.25,59.12,28,19,47,40,28,12,1.18,70.0,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
2234,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,13,3,QROC,0.87,0.11,12.13,6,43,49,29,6,23,1.69,20.69,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
3345,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,13,3,QROC,0.08,0.87,71.62,34,13,47,41,34,7,1.15,82.93,Facile,Facile,0,Meme Difficulté,Adapte,Law
4456,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,13,3,QROC,0.13,0.54,71.62,31,12,43,40,31,9,1.07,77.5,Facile,Facile,0,Meme Difficulté,Adapte,Law
5567,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,13,3,QROC,0.19,0.44,71.62,27,11,38,31,27,4,1.23,87.1,Facile,Facile,0,Meme Difficulté,Adapte,Law
13,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,14,4,QCU,0.16,0.94,73.4,65,24,89,78,65,13,1.14,83.33,Facile,Facile,0,Meme Difficulté,Adapte,Law
1124,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,14,4,QCU,0.06,0.79,73.4,65,24,89,71,65,6,1.25,91.55,Facile,Facile,0,Meme Difficulté,Adapte,Law
2235,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,14,4,QCU,0.0,0.96,73.4,69,25,94,74,69,5,1.27,93.24,Facile,Facile,0,Meme Difficulté,Adapte,Law
3346,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,14,4,QCU,0.08,0.92,73.4,73,26,99,90,73,17,1.1,81.11,Facile,Facile,0,Meme Difficulté,Adapte,Law
4457,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,14,4,QCU,0.06,0.91,73.4,82,30,112,109,82,27,1.03,75.23,Facile,Facile,0,Meme Difficulté,Adapte,Law
5568,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,4,14,4,QCU,0.17,0.78,73.4,90,32,122,97,90,7,1.26,92.78,Facile,Facile,0,Meme Difficulté,Adapte,Law
14,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,15,1,QCU,0.19,0.83,72.68,58,22,80,69,58,11,1.16,84.06,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
1125,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,15,1,QCU,0.01,0.82,72.68,52,20,72,60,52,8,1.2,86.67,Facile,Facile,0,Meme Difficulté,Adapte,Law
2236,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,15,1,QCU,0.1,0.78,72.68,48,18,66,55,48,7,1.2,87.27,Facile,Facile,0,Meme Difficulté,Adapte,Law
3347,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,15,1,QCU,0.11,0.94,72.68,42,16,58,46,42,4,1.26,91.3,Facile,Facile,0,Meme Difficulté,Adapte,Law
4458,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,15,1,QCU,0.02,1.0,72.68,40,15,55,51,40,11,1.08,78.43,Facile,Facile,0,Meme Difficulté,Adapte,Law
5569,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,15,1,QCU,0.18,0.86,72.68,39,15,54,54,39,15,1.0,72.22,Facile,Facile,0,Meme Difficulté,Adapte,Law
15,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,16,2,QCU,0.14,0.84,68.44,14,6,20,18,14,4,1.11,77.78,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
1126,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,16,2,QCU,0.14,0.99,68.44,15,7,22,20,15,5,1.1,75.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
2237,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,16,2,QCU,0.08,0.95,68.44,16,8,24,21,16,5,1.14,76.19,Facile,Facile,0,Meme Difficulté,Adapte,Law
3348,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,16,2,QCU,0.01,0.8,68.44,14,6,20,15,14,1,1.33,93.33,Facile,Facile,0,Meme Difficulté,Adapte,Law
4459,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,16,2,QCU,0.08,0.77,68.44,15,7,22,22,15,7,1.0,68.18,Facile,Facile,0,Meme Difficulté,Adapte,Law
5570,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,16,2,QCU,0.05,0.86,68.44,16,8,24,17,16,1,1.41,94.12,Facile,Facile,0,Meme Difficulté,Adapte,Law
16,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,17,3,QCU,0.13,0.9,99.25,10,0,10,10,10,0,1.0,100.0,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
1127,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,17,3,QO,0.99,0.04,33.0,4,7,11,8,4,4,1.38,50.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
2238,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,17,3,QO,0.15,0.8,81.05,11,2,13,12,11,1,1.08,91.67,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
3349,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,17,3,QO,0.08,0.57,94.38,13,1,14,14,13,1,1.0,92.86,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
4460,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,17,3,QO,0.0,0.46,65.68,11,5,16,15,11,4,1.07,73.33,Facile,Facile,0,Meme Difficulté,Adapte,Law
5571,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,17,3,QO,0.18,0.5,65.68,10,5,15,10,10,0,1.5,100.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
17,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,18,4,QCU,0.74,0.24,19.7,19,75,94,77,19,58,1.22,24.68,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
1128,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,18,4,QCU,0.46,0.3,33.21,31,63,94,56,31,25,1.68,55.36,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2239,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,18,4,QCU,0.32,0.48,63.47,61,35,96,91,61,30,1.05,67.03,Facile,Moyen,-1,Plus Difficile,Adapte,Law
3350,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,18,4,QCU,0.36,0.57,63.47,53,31,84,83,53,30,1.01,63.86,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
4461,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,18,4,QCU,0.38,0.71,63.47,56,33,89,88,56,32,1.01,63.64,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
5572,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,18,4,QCM,0.37,0.4,63.47,53,31,84,70,53,17,1.2,75.71,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
18,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,19,5,QROC,0.74,0.07,32.34,2,5,7,4,2,2,1.75,50.0,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1129,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,19,5,QCM,0.69,0.18,17.18,1,7,8,3,1,2,2.67,33.33,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2240,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,19,5,QCU,0.19,0.97,67.74,6,3,9,9,6,3,1.0,66.67,Facile,Facile,0,Meme Difficulté,Adapte,Law
3351,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,19,5,QCU,0.14,0.98,67.74,7,3,10,7,7,0,1.43,100.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
4462,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,19,5,QCU,0.16,0.91,67.74,7,4,11,10,7,3,1.1,70.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
5573,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,19,5,QCU,0.16,0.78,67.74,7,4,11,10,7,3,1.1,70.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
19,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,20,6,QCM,0.53,0.21,22.34,21,73,94,38,21,17,2.47,55.26,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1130,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,20,6,QCM,0.47,0.67,49.32,42,43,85,43,42,1,1.98,97.67,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
2241,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,20,6,QCU,0.35,0.59,63.76,53,30,83,75,53,22,1.11,70.67,Facile,Moyen,-1,Plus Difficile,Adapte,Law
3352,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,20,6,QCM,0.49,0.68,63.76,49,28,77,65,49,16,1.18,75.38,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
4463,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,20,6,QCM,0.42,0.64,63.76,47,26,73,65,47,18,1.12,72.31,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
5574,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,20,6,QCM,0.37,0.39,63.76,50,29,79,74,50,24,1.07,67.57,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
20,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,21,7,QCM,0.14,0.94,94.28,62,4,66,63,62,1,1.05,98.41,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
1131,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,21,7,QCM,0.66,0.17,18.49,11,50,61,18,11,7,3.39,61.11,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2242,2017,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,21,7,QCM,0.09,0.75,87.78,51,7,58,54,51,3,1.07,94.44,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
3353,2018,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,21,7,QCM,0.68,0.17,16.07,10,55,65,26,10,16,2.5,38.46,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
4464,2019,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,21,7,QCM,0.17,0.87,70.81,48,20,68,57,48,9,1.19,84.21,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
5575,2020,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,21,7,QCM,0.13,0.73,70.81,55,22,77,77,55,22,1.0,71.43,Facile,Facile,0,Meme Difficulté,Adapte,Law
21,2015,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,22,8,QCU,0.31,0.63,36.46,32,57,89,65,32,33,1.37,49.23,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
1132,2016,Droit,2,Introduction Historique au Droit,2,La Contestation du Regime Feodal,13,22,8,QCU,0.67,0.32,6.29,6,93,99,34,6,28,2.91,17.65,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
