,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,B,Slip,Guess,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
3326,7,2019,Ingenieurie,1,7,QROC,0.9711,0.0,0.61,55,55,53,2,1.0,96.36,53,2,97.11,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4156,7,2020,Ingenieurie,1,7,QROC,0.9675,0.09,0.74,51,50,49,1,1.02,98.0,49,2,96.75,Trop Facile,Trop Facile,Trop Facile / Trop Facile
7,8,2015,Ingenieurie,1,8,QCU,0.0861,0.08,0.28,47,40,4,36,1.18,10.0,4,43,8.61,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
837,8,2016,Ingenieurie,1,8,QCU,0.9565,0.02,0.97,47,46,45,1,1.02,97.83,45,2,95.65,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1667,8,2017,Ingenieurie,1,8,QCU,0.9426,0.06,0.94,51,49,48,1,1.04,97.96,48,3,94.26,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2497,8,2018,Ingenieurie,1,8,QCU,0.9626,0.08,0.95,42,41,40,1,1.02,97.56,40,2,96.26,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3327,8,2019,Ingenieurie,1,8,QCU,0.7062,0.06,0.62,43,31,30,1,1.39,96.77,30,13,70.62,Trop Facile,Adapte,Trop Facile / Adapte
4157,8,2020,Ingenieurie,1,8,QCU,0.6254,0.29,0.58,45,31,28,3,1.45,90.32,28,17,62.54,Adapte,Adapte,Adapte / Adapte
8,9,2015,Ingenieurie,1,9,QCU,0.6104,0.25,0.56,78,66,48,18,1.18,72.73,48,30,61.04,Trop Facile,Adapte,Trop Facile / Adapte
838,9,2016,Ingenieurie,1,9,QCU,0.7269,0.14,0.66,94,81,68,13,1.16,83.95,68,26,72.69,Adapte,Adapte,Adapte / Adapte
1668,9,2017,Ingenieurie,1,9,QCU,0.627,0.13,0.56,108,84,68,16,1.29,80.95,68,40,62.7,Adapte,Adapte,Adapte / Adapte
2498,9,2018,Ingenieurie,1,9,QCU,0.7039,0.24,0.42,109,81,77,4,1.35,95.06,77,32,70.39,Adapte,Adapte,Adapte / Adapte
3328,9,2019,Ingenieurie,1,9,QCU,0.6759,0.0,0.47,119,90,80,10,1.32,88.89,80,39,67.59,Adapte,Adapte,Adapte / Adapte
4158,9,2020,Ingenieurie,1,9,QCU,0.6428,0.21,0.68,97,95,62,33,1.02,65.26,62,35,64.28,Adapte,Adapte,Adapte / Adapte
9,10,2015,Ingenieurie,2,1,QCU,0.6747,0.09,0.42,7,5,5,0,1.4,100.0,5,2,67.47,Trop Facile,Adapte,Trop Facile / Adapte
839,10,2016,Ingenieurie,2,1,QCU,0.6684,0.21,0.47,8,6,5,1,1.33,83.33,5,3,66.84,Adapte,Adapte,Adapte / Adapte
1669,10,2017,Ingenieurie,2,1,QCU,0.7454,0.14,0.57,9,7,7,0,1.29,100.0,7,2,74.54,Adapte,Adapte,Adapte / Adapte
2499,10,2018,Ingenieurie,2,1,QCU,0.6476,0.15,0.45,8,5,5,0,1.6,100.0,5,3,64.76,Adapte,Adapte,Adapte / Adapte
3329,10,2019,Ingenieurie,2,1,QCU,0.6666,0.26,0.49,9,8,6,2,1.12,75.0,6,3,66.66,Adapte,Adapte,Adapte / Adapte
4159,10,2020,Ingenieurie,2,1,QCU,0.6495,0.03,0.48,7,5,5,0,1.4,100.0,5,2,64.95,Adapte,Adapte,Adapte / Adapte
10,11,2015,Ingenieurie,2,2,QO,0.4741,0.78,0.15,71,62,34,28,1.15,54.84,34,37,47.41,Difficile,Difficile,Difficile / Difficile
840,11,2016,Ingenieurie,2,2,QO,0.896,0.0,0.86,69,63,62,1,1.1,98.41,62,7,89.6,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1670,11,2017,Ingenieurie,2,2,QO,0.9041,0.05,0.69,74,70,67,3,1.06,95.71,67,7,90.41,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2500,11,2018,Ingenieurie,2,2,QO,0.802,0.16,0.51,67,58,54,4,1.16,93.1,54,13,80.2,Trop Facile,Facile,Trop Facile / Facile
3330,11,2019,Ingenieurie,2,2,QO,0.9324,0.08,1.0,70,70,65,5,1.0,92.86,65,5,93.24,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4160,11,2020,Ingenieurie,2,2,QO,0.9338,0.07,0.95,82,80,77,3,1.02,96.25,77,5,93.38,Trop Facile,Trop Facile,Trop Facile / Trop Facile
11,12,2015,Ingenieurie,2,3,QCM,0.9733,0.08,0.9,22,22,21,1,1.0,95.45,21,1,97.33,Difficile,Trop Facile,Difficile / Trop Facile
841,12,2016,Ingenieurie,2,3,QCM,0.8944,0.03,0.89,20,19,18,1,1.05,94.74,18,2,89.44,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1671,12,2017,Ingenieurie,2,3,QCM,0.9321,0.06,0.85,20,19,19,0,1.05,100.0,19,1,93.21,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2501,12,2018,Ingenieurie,2,3,QCM,0.8997,0.02,0.91,24,23,22,1,1.04,95.65,22,2,89.97,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3331,12,2019,Ingenieurie,2,3,QCM,0.9168,0.1,0.97,21,20,19,1,1.05,95.0,19,2,91.68,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4161,12,2020,Ingenieurie,2,3,QCM,0.8968,0.05,0.85,22,21,20,1,1.05,95.24,20,2,89.68,Trop Facile,Trop Facile,Trop Facile / Trop Facile
12,13,2015,Ingenieurie,2,4,QCU,0.9586,0.09,0.97,58,56,56,0,1.04,100.0,56,2,95.86,Trop Facile,Trop Facile,Trop Facile / Trop Facile
842,13,2016,Ingenieurie,2,4,QCU,0.9712,0.05,0.93,51,50,50,0,1.02,100.0,50,1,97.12,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1672,13,2017,Ingenieurie,2,4,QCU,0.9418,0.09,0.94,54,53,51,2,1.02,96.23,51,3,94.18,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2502,13,2018,Ingenieurie,2,4,QCU,0.7976,0.13,0.76,65,55,52,3,1.18,94.55,52,13,79.76,Trop Facile,Facile,Trop Facile / Facile
3332,13,2019,Ingenieurie,2,4,QCU,0.9216,0.08,0.98,72,69,66,3,1.04,95.65,66,6,92.16,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4162,13,2020,Ingenieurie,2,4,QCU,0.6325,0.13,0.43,83,69,52,17,1.2,75.36,52,31,63.25,Trop Facile,Adapte,Trop Facile / Adapte
13,14,2015,Ingenieurie,2,5,QCU,0.9038,0.04,0.95,39,38,35,3,1.03,92.11,35,4,90.38,Trop Difficile,Trop Facile,Trop Difficile / Trop Facile
843,14,2016,Ingenieurie,2,5,QCU,0.9799,0.05,0.93,32,32,31,1,1.0,96.88,31,1,97.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1673,14,2017,Ingenieurie,2,5,QCU,0.0142,0.67,0.21,30,22,0,22,1.36,0.0,0,30,1.42,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2503,14,2018,Ingenieurie,2,5,QCU,0.9576,0.08,0.91,27,27,26,1,1.0,96.3,26,1,95.76,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3333,14,2019,Ingenieurie,2,5,QCU,0.9236,0.03,0.97,27,25,25,0,1.08,100.0,25,2,92.36,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4163,14,2020,Ingenieurie,2,5,QCU,0.3134,0.33,0.3,32,23,10,13,1.39,43.48,10,22,31.34,Trop Facile,Difficile,Trop Facile / Difficile
14,15,2015,Ingenieurie,2,6,QCU,0.7184,0.07,0.56,76,74,55,19,1.03,74.32,55,21,71.84,Adapte,Adapte,Adapte / Adapte
844,15,2016,Ingenieurie,2,6,QCU,0.6731,0.15,0.67,86,84,58,26,1.02,69.05,58,28,67.31,Adapte,Adapte,Adapte / Adapte
1674,15,2017,Ingenieurie,2,6,QCU,0.7091,0.1,0.45,85,75,60,15,1.13,80.0,60,25,70.91,Adapte,Adapte,Adapte / Adapte
2504,15,2018,Ingenieurie,2,6,QCU,0.6691,0.03,0.4,92,83,62,21,1.11,74.7,62,30,66.91,Adapte,Adapte,Adapte / Adapte
3334,15,2019,Ingenieurie,2,6,QCU,0.6392,0.09,0.54,87,68,56,12,1.28,82.35,56,31,63.92,Adapte,Adapte,Adapte / Adapte
4164,15,2020,Ingenieurie,2,6,QCU,0.724,0.17,0.6,83,71,60,11,1.17,84.51,60,23,72.4,Adapte,Adapte,Adapte / Adapte
15,16,2015,Ingenieurie,2,7,QCM,0.0878,0.51,0.27,60,33,5,28,1.82,15.15,5,55,8.78,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
845,16,2016,Ingenieurie,2,7,QCM,0.8905,0.09,0.92,63,60,56,4,1.05,93.33,56,7,89.05,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1675,16,2017,Ingenieurie,2,7,QCM,0.9905,0.09,0.91,72,72,71,1,1.0,98.61,71,1,99.05,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2505,16,2018,Ingenieurie,2,7,QCM,0.9261,0.03,0.84,79,77,73,4,1.03,94.81,73,6,92.61,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3335,16,2019,Ingenieurie,2,7,QCM,0.9135,0.04,0.8,75,73,69,4,1.03,94.52,69,6,91.35,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4165,16,2020,Ingenieurie,2,7,QCM,0.8418,0.19,0.77,87,75,73,2,1.16,97.33,73,14,84.18,Trop Facile,Facile,Trop Facile / Facile
16,17,2015,Ingenieurie,2,8,QCU,0.8296,0.02,0.78,81,81,67,14,1.0,82.72,67,14,82.96,Facile,Facile,Facile / Facile
846,17,2016,Ingenieurie,2,8,QCU,0.9483,0.02,0.93,95,95,90,5,1.0,94.74,90,5,94.83,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1676,17,2017,Ingenieurie,2,8,QCU,0.9671,0.01,0.96,111,109,107,2,1.02,98.17,107,4,96.71,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2506,17,2018,Ingenieurie,2,8,QCU,0.888,0.08,0.93,114,104,101,3,1.1,97.12,101,13,88.8,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3336,17,2019,Ingenieurie,2,8,QCU,0.9108,0.04,0.94,120,117,109,8,1.03,93.16,109,11,91.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4166,17,2020,Ingenieurie,2,8,QCU,0.9234,0.01,0.95,100,92,92,0,1.09,100.0,92,8,92.34,Trop Facile,Trop Facile,Trop Facile / Trop Facile
17,18,2015,Ingenieurie,2,9,QCU,0.2053,0.72,0.25,63,32,13,19,1.97,40.62,13,50,20.53,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
847,18,2016,Ingenieurie,2,9,QCU,0.9516,0.08,0.95,61,58,58,0,1.05,100.0,58,3,95.16,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1677,18,2017,Ingenieurie,2,9,QCU,0.9105,0.05,0.99,56,54,51,3,1.04,94.44,51,5,91.05,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2507,18,2018,Ingenieurie,2,9,QCU,0.9288,0.09,0.95,66,64,61,3,1.03,95.31,61,5,92.88,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3337,18,2019,Ingenieurie,2,9,QCU,0.993,0.05,0.99,77,77,76,1,1.0,98.7,76,1,99.3,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4167,18,2020,Ingenieurie,2,9,QCU,0.867,0.0,0.96,68,64,59,5,1.06,92.19,59,9,86.7,Trop Facile,Trop Facile,Trop Facile / Trop Facile
18,19,2015,Ingenieurie,2,10,QCM,0.0427,0.46,0.3,85,34,4,30,2.5,11.76,4,81,4.27,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
848,19,2016,Ingenieurie,2,10,QCM,0.6049,0.03,0.58,92,72,56,16,1.28,77.78,56,36,60.49,Trop Facile,Adapte,Trop Facile / Adapte
1678,19,2017,Ingenieurie,2,10,QCM,0.6966,0.18,0.49,98,87,68,19,1.13,78.16,68,30,69.66,Adapte,Adapte,Adapte / Adapte
2508,19,2018,Ingenieurie,2,10,QCM,0.6831,0.14,0.68,81,64,55,9,1.27,85.94,55,26,68.31,Adapte,Adapte,Adapte / Adapte
3338,19,2019,Ingenieurie,2,10,QCM,0.6174,0.29,0.49,84,60,52,8,1.4,86.67,52,32,61.74,Adapte,Adapte,Adapte / Adapte
4168,19,2020,Ingenieurie,2,10,QCM,0.6495,0.15,0.5,70,47,45,2,1.49,95.74,45,25,64.95,Adapte,Adapte,Adapte / Adapte
19,20,2015,Ingenieurie,3,1,QROC,0.0317,0.84,0.03,24,22,1,21,1.09,4.55,1,23,3.17,Facile,Trop Difficile,Facile / Trop Difficile
849,20,2016,Ingenieurie,3,1,QROC,0.1808,0.99,0.08,25,20,5,15,1.25,25.0,5,20,18.08,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1679,20,2017,Ingenieurie,3,1,QROC,0.1084,0.84,0.08,24,15,3,12,1.6,20.0,3,21,10.84,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2509,20,2018,Ingenieurie,3,1,QROC,0.9286,0.02,0.92,22,21,20,1,1.05,95.24,20,2,92.86,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3339,20,2019,Ingenieurie,3,1,QROC,0.9591,0.09,0.99,22,22,21,1,1.0,95.45,21,1,95.91,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4169,20,2020,Ingenieurie,3,1,QROC,0.9755,0.06,0.63,18,18,18,0,1.0,100.0,18,0,97.55,Trop Facile,Trop Facile,Trop Facile / Trop Facile
20,21,2015,Ingenieurie,3,2,QCU,0.0857,0.42,0.25,41,24,4,20,1.71,16.67,4,37,8.57,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
850,21,2016,Ingenieurie,3,2,QCU,0.9927,0.06,0.96,39,39,39,0,1.0,100.0,39,0,99.27,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1680,21,2017,Ingenieurie,3,2,QCU,0.8895,0.03,0.93,33,33,29,4,1.0,87.88,29,4,88.95,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2510,21,2018,Ingenieurie,3,2,QCU,0.9154,0.03,0.92,26,24,24,0,1.08,100.0,24,2,91.54,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3340,21,2019,Ingenieurie,3,2,QCU,0.9207,0.04,0.98,31,29,29,0,1.07,100.0,29,2,92.07,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4170,21,2020,Ingenieurie,3,2,QCU,0.8725,0.01,0.94,32,29,28,1,1.1,96.55,28,4,87.25,Trop Facile,Trop Facile,Trop Facile / Trop Facile
21,22,2015,Ingenieurie,3,3,QCM,0.4761,0.07,0.35,46,36,22,14,1.28,61.11,22,24,47.61,Difficile,Difficile,Difficile / Difficile
851,22,2016,Ingenieurie,3,3,QCM,0.3285,0.43,0.38,42,42,14,28,1.0,33.33,14,28,32.85,Trop Facile,Difficile,Trop Facile / Difficile
1681,22,2017,Ingenieurie,3,3,QCM,0.8813,0.05,0.83,43,43,38,5,1.0,88.37,38,5,88.13,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2511,22,2018,Ingenieurie,3,3,QCM,0.7307,0.26,0.63,37,34,27,7,1.09,79.41,27,10,73.07,Trop Facile,Adapte,Trop Facile / Adapte
3341,22,2019,Ingenieurie,3,3,QCM,0.6341,0.26,0.51,30,28,19,9,1.07,67.86,19,11,63.41,Adapte,Adapte,Adapte / Adapte
4171,22,2020,Ingenieurie,3,3,QCM,0.7121,0.09,0.48,30,22,21,1,1.36,95.45,21,9,71.21,Adapte,Adapte,Adapte / Adapte
22,23,2015,Ingenieurie,3,4,QCU,0.2074,0.64,0.28,18,15,4,11,1.2,26.67,4,14,20.74,Difficile,Trop Difficile,Difficile / Trop Difficile
852,23,2016,Ingenieurie,3,4,QCU,0.9362,0.03,0.92,19,18,18,0,1.06,100.0,18,1,93.62,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1682,23,2017,Ingenieurie,3,4,QCU,0.6081,0.11,0.61,19,17,12,5,1.12,70.59,12,7,60.81,Trop Facile,Adapte,Trop Facile / Adapte
2512,23,2018,Ingenieurie,3,4,QCU,0.7027,0.14,0.41,15,12,11,1,1.25,91.67,11,4,70.27,Adapte,Adapte,Adapte / Adapte
3342,23,2019,Ingenieurie,3,4,QCU,0.6295,0.16,0.51,17,17,11,6,1.0,64.71,11,6,62.95,Adapte,Adapte,Adapte / Adapte
4172,23,2020,Ingenieurie,3,4,QCU,0.6973,0.13,0.56,14,13,10,3,1.08,76.92,10,4,69.73,Adapte,Adapte,Adapte / Adapte
23,24,2015,Ingenieurie,3,5,QCM,0.6998,0.03,0.43,92,78,64,14,1.18,82.05,64,28,69.98,Adapte,Adapte,Adapte / Adapte
853,24,2016,Ingenieurie,3,5,QCM,0.6446,0.09,0.58,109,71,70,1,1.54,98.59,70,39,64.46,Adapte,Adapte,Adapte / Adapte
1683,24,2017,Ingenieurie,3,5,QCM,0.689,0.22,0.46,127,106,88,18,1.2,83.02,88,39,68.9,Adapte,Adapte,Adapte / Adapte
2513,24,2018,Ingenieurie,3,5,QCM,0.6094,0.22,0.58,150,132,91,41,1.14,68.94,91,59,60.94,Adapte,Adapte,Adapte / Adapte
3343,24,2019,Ingenieurie,3,5,QCM,0.7495,0.18,0.63,126,98,94,4,1.29,95.92,94,32,74.95,Adapte,Adapte,Adapte / Adapte
4173,24,2020,Ingenieurie,3,5,QCM,0.6094,0.03,0.56,137,119,83,36,1.15,69.75,83,54,60.94,Adapte,Adapte,Adapte / Adapte
24,25,2015,Ingenieurie,3,6,QCU,0.0499,0.68,0.27,56,48,3,45,1.17,6.25,3,53,4.99,Difficile,Trop Difficile,Difficile / Trop Difficile
854,25,2016,Ingenieurie,3,6,QCU,0.9068,0.06,0.93,55,53,50,3,1.04,94.34,50,5,90.68,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1684,25,2017,Ingenieurie,3,6,QCU,0.9116,0.0,0.94,52,48,47,1,1.08,97.92,47,5,91.16,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2514,25,2018,Ingenieurie,3,6,QCU,0.9725,0.03,0.93,56,55,54,1,1.02,98.18,54,2,97.25,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3344,25,2019,Ingenieurie,3,6,QCU,0.8735,0.0,0.95,63,61,55,6,1.03,90.16,55,8,87.35,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4174,25,2020,Ingenieurie,3,6,QCU,0.7867,0.03,0.89,51,43,40,3,1.19,93.02,40,11,78.67,Trop Facile,Facile,Trop Facile / Facile
25,26,2015,Ingenieurie,3,7,QROC,0.9722,0.05,0.83,35,35,34,1,1.0,97.14,34,1,97.22,Trop Facile,Trop Facile,Trop Facile / Trop Facile
855,26,2016,Ingenieurie,3,7,QROC,0.8854,0.01,0.76,41,40,36,4,1.02,90.0,36,5,88.54,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1685,26,2017,Ingenieurie,3,7,QROC,0.8127,0.16,0.7,42,37,34,3,1.14,91.89,34,8,81.27,Trop Facile,Facile,Trop Facile / Facile
2515,26,2018,Ingenieurie,3,7,QROC,0.9229,0.03,0.78,44,43,41,2,1.02,95.35,41,3,92.29,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3345,26,2019,Ingenieurie,3,7,QROC,0.5737,0.62,0.19,47,38,27,11,1.24,71.05,27,20,57.37,Trop Facile,Difficile,Trop Facile / Difficile
4175,26,2020,Ingenieurie,3,7,QROC,0.8995,0.08,0.5,52,49,47,2,1.06,95.92,47,5,89.95,Trop Facile,Trop Facile,Trop Facile / Trop Facile
26,27,2015,Ingenieurie,3,8,QO,0.3198,0.9,0.14,35,35,11,24,1.0,31.43,11,24,31.98,Trop Difficile,Difficile,Trop Difficile / Difficile
856,27,2016,Ingenieurie,3,8,QO,0.8899,0.08,0.8,39,39,35,4,1.0,89.74,35,4,88.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1686,27,2017,Ingenieurie,3,8,QO,0.905,0.09,0.84,38,34,34,0,1.12,100.0,34,4,90.5,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2516,27,2018,Ingenieurie,3,8,QO,0.7439,0.36,0.22,40,32,30,2,1.25,93.75,30,10,74.39,Trop Facile,Adapte,Trop Facile / Adapte
