,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty
3201,2018,Droit,1,Histoire du Droit,2,L'Italie,13,4,1,QO,0.06,0.53,93.05,47,4,51,50,47,3,1.02,94.0,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
4267,2019,Droit,1,Histoire du Droit,2,L'Italie,13,4,1,QO,0.93,0.01,1.49,1,54,55,42,1,41,1.31,2.38,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5333,2020,Droit,1,Histoire du Droit,2,L'Italie,13,4,1,QO,0.97,0.13,21.78,12,41,53,49,12,37,1.08,24.49,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
4,2015,Droit,1,Histoire du Droit,2,L'Italie,13,5,2,QCM,0.56,0.16,25.92,19,53,72,44,19,25,1.64,43.18,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1070,2016,Droit,1,Histoire du Droit,2,L'Italie,13,5,2,QCM,0.77,0.19,19.81,15,61,76,44,15,29,1.73,34.09,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
2136,2017,Droit,1,Histoire du Droit,2,L'Italie,13,5,2,QCM,0.0,0.98,67.74,57,27,84,80,57,23,1.05,71.25,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3202,2018,Droit,1,Histoire du Droit,2,L'Italie,13,5,2,QCM,0.08,0.74,67.74,56,26,82,72,56,16,1.14,77.78,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4268,2019,Droit,1,Histoire du Droit,2,L'Italie,13,5,2,QCM,0.05,0.91,67.74,56,27,83,77,56,21,1.08,72.73,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5334,2020,Droit,1,Histoire du Droit,2,L'Italie,13,5,2,QCM,0.1,0.87,67.74,60,28,88,72,60,12,1.22,83.33,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5,2015,Droit,1,Histoire du Droit,2,L'Italie,13,6,3,QROC,0.17,0.88,69.92,66,28,94,82,66,16,1.15,80.49,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
1071,2016,Droit,1,Histoire du Droit,2,L'Italie,13,6,3,QCM,0.04,0.74,69.92,66,29,95,85,66,19,1.12,77.65,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2137,2017,Droit,1,Histoire du Droit,2,L'Italie,13,6,3,QCU,0.13,0.93,69.92,64,28,92,82,64,18,1.12,78.05,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3203,2018,Droit,1,Histoire du Droit,2,L'Italie,13,6,3,QCM,0.09,0.71,69.92,68,29,97,76,68,8,1.28,89.47,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4269,2019,Droit,1,Histoire du Droit,2,L'Italie,13,6,3,QCM,0.13,0.79,69.92,62,27,89,67,62,5,1.33,92.54,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5335,2020,Droit,1,Histoire du Droit,2,L'Italie,13,6,3,QCM,0.02,0.98,69.92,65,28,93,80,65,15,1.16,81.25,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
6,2015,Droit,1,Histoire du Droit,2,L'Italie,13,7,4,QCU,0.27,0.41,62.72,56,34,90,74,56,18,1.22,75.68,Difficile,Moyen,1,Plus Facile que la Prediction,Adapte
1072,2016,Droit,1,Histoire du Droit,2,L'Italie,13,7,4,QCU,0.38,0.47,62.72,56,34,90,61,56,5,1.48,91.8,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
2138,2017,Droit,1,Histoire du Droit,2,L'Italie,13,7,4,QCU,0.38,0.55,62.72,55,33,88,75,55,20,1.17,73.33,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3204,2018,Droit,1,Histoire du Droit,2,L'Italie,13,7,4,QCU,0.24,0.48,62.72,58,35,93,79,58,21,1.18,73.42,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4270,2019,Droit,1,Histoire du Droit,2,L'Italie,13,7,4,QROC,0.31,0.39,62.72,57,34,91,83,57,26,1.1,68.67,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5336,2020,Droit,1,Histoire du Droit,2,L'Italie,13,7,4,QROC,0.4,0.29,62.72,51,31,82,67,51,16,1.22,76.12,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
7,2015,Droit,1,Histoire du Droit,2,L'Italie,13,8,5,QCU,0.35,0.65,48.32,37,40,77,53,37,16,1.45,69.81,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1073,2016,Droit,1,Histoire du Droit,2,L'Italie,13,8,5,QCM,0.23,0.52,45.45,35,43,78,72,35,37,1.08,48.61,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2139,2017,Droit,1,Histoire du Droit,2,L'Italie,13,8,5,QCM,0.14,0.94,81.83,68,15,83,80,68,12,1.04,85.0,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
3205,2018,Droit,1,Histoire du Droit,2,L'Italie,13,8,5,QCM,0.24,0.59,57.71,49,36,85,80,49,31,1.06,61.25,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
4271,2019,Droit,1,Histoire du Droit,2,L'Italie,13,8,5,QCM,0.65,0.18,25.05,20,61,81,46,20,26,1.76,43.48,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5337,2020,Droit,1,Histoire du Droit,2,L'Italie,13,8,5,QCM,0.13,0.78,78.18,68,19,87,81,68,13,1.07,83.95,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
8,2015,Droit,1,Histoire du Droit,2,L'Italie,13,9,6,QCU,0.31,0.5,53.7,11,10,21,16,11,5,1.31,68.75,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1074,2016,Droit,1,Histoire du Droit,2,L'Italie,13,9,6,QCU,0.5,0.28,20.49,5,17,22,9,5,4,2.44,55.56,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2140,2017,Droit,1,Histoire du Droit,2,L'Italie,13,9,6,QCU,0.32,0.43,50.4,11,11,22,18,11,7,1.22,61.11,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
3206,2018,Droit,1,Histoire du Droit,2,L'Italie,13,9,6,QCU,0.31,0.41,52.67,11,10,21,16,11,5,1.31,68.75,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
4272,2019,Droit,1,Histoire du Droit,2,L'Italie,13,9,6,QCU,0.35,0.49,64.8,13,7,20,15,13,2,1.33,86.67,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5338,2020,Droit,1,Histoire du Droit,2,L'Italie,13,9,6,QCU,0.34,0.55,64.8,12,6,18,14,12,2,1.29,85.71,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
9,2015,Droit,1,Histoire du Droit,2,L'Italie,13,10,7,QCM,0.24,0.52,46.97,30,33,63,42,30,12,1.5,71.43,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1075,2016,Droit,1,Histoire du Droit,2,L'Italie,13,10,7,QCM,0.42,0.36,42.72,23,32,55,27,23,4,2.04,85.19,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2141,2017,Droit,1,Histoire du Droit,2,L'Italie,13,10,7,QCM,0.14,0.83,91.74,57,5,62,61,57,4,1.02,93.44,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
3207,2018,Droit,1,Histoire du Droit,2,L'Italie,13,10,7,QCM,0.52,0.19,7.28,4,51,55,28,4,24,1.96,14.29,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4273,2019,Droit,1,Histoire du Droit,2,L'Italie,13,10,7,QCM,0.73,0.2,34.25,20,39,59,52,20,32,1.13,38.46,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5339,2020,Droit,1,Histoire du Droit,2,L'Italie,13,10,7,QCM,0.01,0.89,99.2,61,0,61,61,61,0,1.0,100.0,Moyen,Facile,1,Plus Facile que la Prediction,Pas Adapte
10,2015,Droit,1,Histoire du Droit,2,L'Italie,13,11,8,QCM,0.75,0.16,17.43,15,73,88,57,15,42,1.54,26.32,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1076,2016,Droit,1,Histoire du Droit,2,L'Italie,13,11,8,QCM,0.01,0.91,69.26,56,25,81,79,56,23,1.03,70.89,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2142,2017,Droit,1,Histoire du Droit,2,L'Italie,13,11,8,QCM,0.18,0.81,69.26,57,26,83,79,57,22,1.05,72.15,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3208,2018,Droit,1,Histoire du Droit,2,L'Italie,13,11,8,QCM,0.15,0.9,69.26,49,22,71,67,49,18,1.06,73.13,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4274,2019,Droit,1,Histoire du Droit,2,L'Italie,13,11,8,QCM,0.19,0.94,69.26,47,21,68,66,47,19,1.03,71.21,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5340,2020,Droit,1,Histoire du Droit,2,L'Italie,13,11,8,QCM,0.07,0.72,69.26,41,18,59,45,41,4,1.31,91.11,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
11,2015,Droit,1,Histoire du Droit,2,L'Italie,13,12,9,QCU,0.34,0.68,44.91,9,12,21,17,9,8,1.24,52.94,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1077,2016,Droit,1,Histoire du Droit,2,L'Italie,13,12,9,QCU,0.58,0.22,13.47,3,21,24,15,3,12,1.6,20.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2143,2017,Droit,1,Histoire du Droit,2,L'Italie,13,12,9,QCM,0.25,0.37,54.65,12,10,22,20,12,8,1.1,60.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
3209,2018,Droit,1,Histoire du Droit,2,L'Italie,13,12,9,QCM,0.79,0.21,13.62,3,22,25,9,3,6,2.78,33.33,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4275,2019,Droit,1,Histoire du Droit,2,L'Italie,13,12,9,QCU,0.29,0.75,62.56,15,9,24,22,15,7,1.09,68.18,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5341,2020,Droit,1,Histoire du Droit,2,L'Italie,13,12,9,QCU,0.38,0.49,62.56,13,7,20,18,13,5,1.11,72.22,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
12,2015,Droit,1,Histoire du Droit,2,L'Italie,13,13,10,QCU,0.05,0.92,76.91,75,23,98,94,75,19,1.04,79.79,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
1078,2016,Droit,1,Histoire du Droit,2,L'Italie,13,13,10,QROC,0.51,0.4,45.25,44,54,98,58,44,14,1.69,75.86,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
2144,2017,Droit,1,Histoire du Droit,2,L'Italie,13,13,10,QROC,0.67,0.03,16.57,15,77,92,56,15,41,1.64,26.79,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
3210,2018,Droit,1,Histoire du Droit,2,L'Italie,13,13,10,QCU,0.17,0.77,90.0,85,9,94,92,85,7,1.02,92.39,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
4276,2019,Droit,1,Histoire du Droit,2,L'Italie,13,13,10,QCU,0.3,0.44,43.47,40,53,93,46,40,6,2.02,86.96,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
5342,2020,Droit,1,Histoire du Droit,2,L'Italie,13,13,10,QCU,0.19,0.99,93.91,76,5,81,77,76,1,1.05,98.7,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
13,2015,Droit,1,Histoire du Droit,2,L'Italie,13,14,11,QCM,0.66,0.23,21.29,17,64,81,71,17,54,1.14,23.94,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1079,2016,Droit,1,Histoire du Droit,2,L'Italie,13,14,11,QCM,0.77,0.18,18.56,17,72,89,76,17,59,1.17,22.37,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2145,2017,Droit,1,Histoire du Droit,2,L'Italie,13,14,11,QCM,0.14,0.77,95.82,80,3,83,81,80,1,1.02,98.77,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
3211,2018,Droit,1,Histoire du Droit,2,L'Italie,13,14,11,QCM,0.65,0.24,31.98,25,52,77,47,25,22,1.64,53.19,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4277,2019,Droit,1,Histoire du Droit,2,L'Italie,13,14,11,QCM,0.19,0.9,89.93,67,7,74,71,67,4,1.04,94.37,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
5343,2020,Droit,1,Histoire du Droit,2,L'Italie,13,14,11,QCM,0.52,0.27,9.91,7,65,72,40,7,33,1.8,17.5,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
14,2015,Droit,1,Histoire du Droit,2,L'Italie,13,15,12,QROC,0.79,0.19,9.23,7,65,72,48,7,41,1.5,14.58,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
1080,2016,Droit,1,Histoire du Droit,2,L'Italie,13,15,12,QROC,0.47,0.4,42.28,29,39,68,49,29,20,1.39,59.18,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2146,2017,Droit,1,Histoire du Droit,2,L'Italie,13,15,12,QROC,0.07,0.59,67.96,51,24,75,58,51,7,1.29,87.93,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3212,2018,Droit,1,Histoire du Droit,2,L'Italie,13,15,12,QROC,0.1,0.74,67.96,58,27,85,67,58,9,1.27,86.57,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4278,2019,Droit,1,Histoire du Droit,2,L'Italie,13,15,12,QROC,0.15,0.82,67.96,59,28,87,67,59,8,1.3,88.06,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5344,2020,Droit,1,Histoire du Droit,2,L'Italie,13,15,12,QROC,0.06,0.41,67.96,65,30,95,90,65,25,1.06,72.22,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
15,2015,Droit,1,Histoire du Droit,2,L'Italie,13,16,13,QCM,0.57,0.25,32.6,20,40,60,27,20,7,2.22,74.07,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1081,2016,Droit,1,Histoire du Droit,2,L'Italie,13,16,13,QO,0.99,0.01,29.4,18,44,62,50,18,32,1.24,36.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2147,2017,Droit,1,Histoire du Droit,2,L'Italie,13,16,13,QO,0.14,0.55,88.62,57,7,64,61,57,4,1.05,93.44,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
3213,2018,Droit,1,Histoire du Droit,2,L'Italie,13,16,13,QO,0.06,0.94,87.42,52,7,59,57,52,5,1.04,91.23,Moyen,Facile,1,Plus Facile que la Prediction,Pas Adapte
4279,2019,Droit,1,Histoire du Droit,2,L'Italie,13,16,13,QCM,0.06,0.92,70.52,38,16,54,51,38,13,1.06,74.51,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
5345,2020,Droit,1,Histoire du Droit,2,L'Italie,13,16,13,QROC,0.17,0.95,70.52,43,18,61,60,43,17,1.02,71.67,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
16,2015,Droit,1,Introduction Historique au Droit,1,L'Ancien Regime,1,17,1,QCU,0.16,0.86,95.22,84,4,88,84,84,0,1.05,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
1082,2016,Droit,1,Introduction Historique au Droit,1,L'Ancien Regime,1,17,1,QCU,0.37,0.72,39.65,34,52,86,68,34,34,1.26,50.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2148,2017,Droit,1,Introduction Historique au Droit,1,L'Ancien Regime,1,17,1,QCU,0.72,0.27,1.86,1,77,78,40,1,39,1.95,2.5,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3214,2018,Droit,1,Introduction Historique au Droit,1,L'Ancien Regime,1,17,1,QCU,0.56,0.27,2.61,2,71,73,39,2,37,1.87,5.13,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4280,2019,Droit,1,Introduction Historique au Droit,1,L'Ancien Regime,1,17,1,QCU,0.33,0.62,52.05,43,40,83,57,43,14,1.46,75.44,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
5346,2020,Droit,1,Introduction Historique au Droit,1,L'Ancien Regime,1,17,1,QCU,0.16,0.92,79.2,69,18,87,86,69,17,1.01,80.23,Moyen,Facile,1,Plus Facile que la Prediction,Pas Adapte
17,2015,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,18,1,QCM,0.74,0.16,7.22,5,58,63,29,5,24,2.17,17.24,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1083,2016,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,18,1,QCM,0.52,0.27,22.32,15,50,65,49,15,34,1.33,30.61,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
2149,2017,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,18,1,QCM,0.76,0.2,0.36,0,70,70,32,0,32,2.19,0.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3215,2018,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,18,1,QCU,0.2,0.99,95.88,62,3,65,63,62,1,1.03,98.41,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
4281,2019,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,18,1,QCU,0.05,0.95,78.38,56,15,71,63,56,7,1.13,88.89,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
5347,2020,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,18,1,QCU,0.46,0.24,17.53,13,59,72,29,13,16,2.48,44.83,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
18,2015,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,19,2,QROC,0.89,0.13,26.41,9,25,34,25,9,16,1.36,36.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1084,2016,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,19,2,QROC,0.76,0.2,1.01,0,37,37,21,0,21,1.76,0.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2150,2017,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,19,2,QROC,0.41,0.35,56.93,22,17,39,25,22,3,1.56,88.0,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
3216,2018,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,19,2,QO,0.07,0.69,95.15,38,2,40,40,38,2,1.0,95.0,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
4282,2019,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,19,2,QO,0.24,0.21,46.34,18,21,39,34,18,16,1.15,52.94,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
5348,2020,Droit,1,Introduction Historique au Droit,2,La Contestation du Regime Feodal,2,19,2,QO,0.88,0.12,10.67,4,35,39,24,4,20,1.62,16.67,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
19,2015,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,20,1,QO,0.77,0.1,34.15,13,26,39,39,13,26,1.0,33.33,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
1085,2016,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,20,1,QROC,0.27,0.39,51.69,18,17,35,29,18,11,1.21,62.07,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2151,2017,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,20,1,QROC,0.27,0.33,63.14,19,11,30,19,19,0,1.58,100.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3217,2018,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,20,1,QROC,0.32,0.35,63.14,18,10,28,22,18,4,1.27,81.82,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4283,2019,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,20,1,QROC,0.25,0.36,63.14,15,9,24,22,15,7,1.09,68.18,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5349,2020,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,20,1,QROC,0.25,0.26,63.14,18,10,28,19,18,1,1.47,94.74,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
20,2015,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,21,2,QCM,0.04,0.93,94.05,29,2,31,30,29,1,1.03,96.67,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
1086,2016,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,21,2,QCM,0.34,0.32,37.09,10,17,27,27,10,17,1.0,37.04,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2152,2017,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,21,2,QCM,0.01,0.98,79.71,25,6,31,27,25,2,1.15,92.59,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
3218,2018,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,21,2,QCM,0.27,0.57,39.0,11,16,27,13,11,2,2.08,84.62,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
4284,2019,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,21,2,QCM,0.36,0.4,55.96,13,10,23,16,13,3,1.44,81.25,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
5350,2020,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,21,2,QCM,0.01,0.88,72.73,16,6,22,20,16,4,1.1,80.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
21,2015,Droit,1,Introduction Historique au Droit,3,La Crise de l'Ancien Regime,7,22,3,QCM,0.16,0.98,94.54,72,4,76,76,72,4,1.0,94.74,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
