,Course_ID,Year,Course_Duration,Course_Duration_Digit,Number_Ressources,Number_Video,Number_Quiz,Number_Exam,Basic_Sequence,Advanced_Sequence
3024,3,2016,28,28,22,13,8,1,Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid-Vid-Quiz-Vid-Vid-Quiz-Exam-Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid,Quiz1H-Quiz2H-Vid1H-Exam2H-Quiz1H-Vid1H-Vid2H-Vid1H-Vid1H-Vid3H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz2H-Quiz1H
6237,4,2019,40,40,17,11,4,2,Quiz-Vid-Quiz-Vid-Quiz-Vid-Vid-Vid-Exam-Quiz-Exam-Vid-Vid-Vid-Vid-Vid-Vid,Vid3H-Exam2H-Vid4H-Quiz2H-Vid1H-Vid4H-Vid4H-Vid3H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Vid3H-Exam2H-Vid1H-Vid3H
1017,4,2014,40,38,24,13,9,2,Quiz-Vid-Vid-Quiz-Exam-Vid-Quiz-Vid-Quiz-Vid-Quiz-Vid-Quiz-Exam-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid,Vid1H-Exam1H-Vid2H-Quiz1H-Vid2H-Vid2H-Vid1H-Quiz1H-Quiz2H-Vid2H-Exam1H-Vid2H-Quiz1H-Vid2H-Vid2H-Vid4H-Quiz1H-Quiz1H-Vid2H-Quiz2H-Quiz1H-Vid2H-Quiz1H-Vid1H
3025,4,2016,40,40,22,9,12,1,Vid-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Exam,Vid1H-Quiz1H-Quiz1H-Exam3H-Vid2H-Quiz1H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Vid3H-Quiz2H-Quiz2H-Quiz2H-Vid3H-Vid2H-Vid2H-Quiz2H-Vid1H-Vid1H-Vid1H
5142,4,2018,40,40,34,16,17,1,Exam-Quiz-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid,Vid1H-Exam1H-Quiz1H-Vid1H-Vid3H-Quiz1H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid2H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid2H-Vid1H-Quiz1H-Quiz1H-Vid3H-Quiz1H-Quiz1H
1929,4,2015,40,40,16,8,8,0,Quiz-Vid-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz,Quiz1H-Quiz2H-Quiz1H-Quiz1H-Vid4H-Vid4H-Quiz2H-Vid3H-Vid1H-Vid4H-Quiz1H-Vid4H-Quiz2H-Vid4H-Vid4H-Quiz2H
3,4,2013,40,36,27,14,12,1,Quiz-Quiz-Vid-Vid-Vid-Quiz-Vid-Vid-Quiz-Vid-Vid-Quiz-Vid-Quiz-Exam-Quiz-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid,Quiz1H-Vid1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Quiz2H-Vid1H-Vid3H-Vid1H-Quiz1H-Exam1H-Vid1H-Quiz1H-Quiz2H-Vid2H-Quiz2H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid3H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H
7202,4,2020,40,40,21,14,6,1,Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Quiz-Vid-Vid-Vid-Exam-Vid-Vid-Quiz-Vid-Quiz-Vid,Vid1H-Vid1H-Quiz1H-Quiz2H-Vid3H-Vid2H-Vid3H-Vid1H-Vid1H-Vid3H-Quiz2H-Quiz1H-Exam3H-Vid3H-Vid2H-Quiz2H-Vid3H-Quiz1H-Vid1H-Vid3H-Vid1H
4046,4,2017,40,40,30,16,12,2,Vid-Vid-Vid-Vid-Quiz-Exam-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Vid-Quiz-Exam-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Quiz-Vid-Vid,Vid1H-Exam3H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Quiz2H-Quiz1H-Quiz2H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Exam1H-Vid1H-Quiz2H-Vid1H-Quiz2H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H
7203,5,2020,33,33,19,12,6,1,Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Exam-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Vid,Vid1H-Vid3H-Quiz2H-Exam1H-Vid1H-Vid1H-Quiz1H-Vid3H-Vid3H-Vid1H-Vid4H-Quiz2H-Vid1H-Quiz2H-Quiz2H-Quiz1H-Vid1H-Vid1H-Vid2H
6238,5,2019,33,33,26,16,9,1,Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Exam-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid,Quiz2H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid2H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Exam3H-Vid1H-Quiz2H-Quiz2H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz2H
4,5,2013,33,23,16,3,12,1,Vid-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz,Quiz1H-Exam3H-Vid2H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid4H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H
5143,5,2018,33,33,21,11,8,2,Quiz-Vid-Quiz-Quiz-Vid-Vid-Quiz-Vid-Exam-Quiz-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Exam,Exam2H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz2H-Exam1H-Vid4H-Quiz1H-Vid1H-Vid3H
4047,5,2017,33,33,24,13,10,1,Quiz-Quiz-Quiz-Quiz-Exam-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz,Quiz1H-Quiz1H-Quiz2H-Vid2H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid4H-Quiz2H-Exam1H-Quiz2H-Quiz2H-Quiz1H-Quiz1H-Vid1H-Vid2H-Quiz1H
1018,5,2014,33,24,13,4,6,3,Quiz-Vid-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Exam-Vid-Quiz-Exam-Vid,Exam2H-Quiz2H-Vid1H-Vid2H-Exam1H-Vid4H-Quiz2H-Quiz2H-Exam1H-Quiz2H-Vid1H-Quiz2H-Quiz2H
1930,5,2015,33,33,17,11,5,1,Vid-Vid-Quiz-Vid-Vid-Quiz-Vid-Vid-Exam-Vid-Vid-Vid-Quiz-Quiz-Vid-Vid-Quiz,Vid1H-Quiz2H-Quiz1H-Vid2H-Vid1H-Quiz2H-Vid1H-Exam1H-Quiz2H-Vid4H-Vid4H-Vid2H-Quiz2H-Vid2H-Vid2H-Vid2H-Vid2H
3026,5,2016,33,33,18,3,12,3,Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Exam-Exam-Quiz-Exam-Vid-Quiz-Quiz-Quiz,Quiz1H-Vid4H-Vid4H-Exam1H-Exam2H-Quiz1H-Vid4H-Exam1H-Quiz1H-Quiz1H-Quiz2H-Quiz2H-Quiz1H-Quiz2H-Quiz2H-Quiz1H-Quiz2H-Quiz1H
6239,6,2019,41,41,23,7,15,1,Vid-Quiz-Quiz-Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz,Exam3H-Vid4H-Vid2H-Vid2H-Quiz2H-Quiz2H-Quiz1H-Vid1H-Quiz2H-Quiz2H-Quiz1H-Vid2H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid2H-Quiz2H-Quiz2H-Quiz1H-Quiz2H-Quiz2H-Quiz2H
1931,6,2015,41,41,25,9,14,2,Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Exam-Vid-Vid-Exam-Quiz-Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid-Quiz-Vid,Quiz1H-Vid3H-Vid2H-Quiz1H-Quiz1H-Vid1H-Quiz2H-Vid2H-Vid2H-Quiz2H-Vid2H-Quiz2H-Quiz2H-Quiz1H-Quiz1H-Exam1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Exam1H-Vid2H-Quiz1H-Vid4H-Vid3H
1019,6,2014,41,41,24,12,10,2,Vid-Exam-Vid-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Quiz-Quiz,Vid4H-Vid2H-Exam1H-Vid2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid3H-Vid1H-Vid4H-Quiz1H-Vid2H-Vid2H-Vid3H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid4H-Quiz1H-Exam1H
5144,6,2018,41,41,22,12,9,1,Vid-Vid-Vid-Vid-Vid-Exam-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid,Exam1H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid3H-Vid2H-Quiz2H-Quiz2H-Vid1H-Vid2H-Quiz2H-Quiz2H-Quiz2H-Vid3H-Vid3H-Quiz2H-Quiz2H-Vid3H
5,6,2013,41,39,34,15,17,2,Quiz-Quiz-Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Exam-Quiz-Vid-Quiz-Exam-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Vid-Vid-Quiz-Vid,Vid1H-Exam1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz2H-Quiz1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Quiz2H-Vid1H-Vid1H-Exam1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Quiz2H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Quiz1H-Vid1H
7204,6,2020,41,41,28,18,9,1,Vid-Vid-Quiz-Vid-Quiz-Vid-Exam-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Vid-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Vid,Quiz2H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Exam2H-Quiz2H-Vid3H-Vid1H-Quiz2H-Vid1H-Quiz2H-Vid1H-Vid3H-Quiz2H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H
4048,6,2017,41,41,34,13,18,3,Quiz-Vid-Quiz-Exam-Exam-Quiz-Quiz-Quiz-Vid-Vid-Exam-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Vid-Quiz-Vid-Quiz-Vid-Quiz-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Quiz-Quiz,Quiz1H-Quiz1H-Vid2H-Vid2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid2H-Quiz1H-Vid2H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Exam1H-Vid2H-Quiz1H-Exam1H-Exam1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid2H-Vid2H
3027,6,2016,41,41,29,17,9,3,Quiz-Quiz-Exam-Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Exam-Vid-Vid-Exam-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid,Quiz2H-Quiz2H-Exam1H-Quiz2H-Vid1H-Vid1H-Vid2H-Quiz2H-Vid1H-Quiz2H-Exam1H-Quiz2H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid2H-Vid1H-Vid1H-Quiz2H-Quiz2H-Vid1H-Vid2H-Vid1H-Exam1H
5145,7,2018,55,55,44,20,21,3,Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Vid-Exam-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Exam-Vid-Exam-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid,Vid1H-Quiz1H-Vid4H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz2H-Exam1H-Quiz1H-Vid1H-Exam1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid2H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz2H-Vid4H-Exam2H-Quiz2H
1020,7,2014,55,49,44,15,27,2,Vid-Exam-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Quiz-Vid-Quiz-Quiz,Quiz1H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid2H-Quiz1H-Exam1H-Vid3H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Exam2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H
3028,7,2016,55,54,36,18,15,3,Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Exam-Vid-Quiz-Vid-Exam-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Vid-Quiz-Vid-Vid-Exam-Vid-Vid,Quiz2H-Quiz1H-Exam1H-Vid1H-Vid1H-Quiz2H-Vid4H-Vid1H-Vid1H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Exam1H-Quiz2H-Vid1H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Quiz1H-Vid3H-Quiz2H-Vid1H-Vid1H-Exam1H-Vid1H
4049,7,2017,55,54,29,12,15,2,Quiz-Vid-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Exam-Vid-Quiz-Vid-Vid,Quiz1H-Quiz2H-Vid2H-Vid2H-Vid2H-Quiz1H-Vid4H-Vid2H-Quiz2H-Quiz2H-Quiz1H-Vid2H-Quiz2H-Quiz2H-Quiz2H-Exam1H-Vid4H-Quiz2H-Vid1H-Vid2H-Quiz1H-Quiz2H-Quiz2H-Vid1H-Exam1H-Quiz2H-Vid1H-Vid4H-Quiz1H
7205,7,2020,55,55,43,27,13,3,Vid-Vid-Exam-Exam-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Exam-Quiz-Quiz-Vid-Quiz-Vid,Vid2H-Exam1H-Quiz2H-Quiz1H-Vid1H-Quiz1H-Vid2H-Vid1H-Vid1H-Vid1H-Exam1H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid2H-Vid1H-Vid2H-Quiz1H-Vid1H-Vid1H-Vid4H-Vid1H-Quiz1H-Exam1H-Quiz1H-Vid1H-Quiz2H-Quiz1H-Quiz1H-Vid2H-Vid1H-Vid3H-Vid1H-Vid1H-Vid1H
6,7,2013,55,38,30,17,11,2,Exam-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Exam-Vid-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid,Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Exam1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Vid3H-Vid2H-Quiz1H-Vid3H-Vid1H-Vid1H-Vid3H-Vid1H-Vid1H-Quiz1H-Quiz2H-Exam1H
6240,7,2019,55,55,36,12,23,1,Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Exam-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz,Quiz1H-Quiz1H-Quiz1H-Quiz1H-Exam1H-Vid2H-Vid2H-Quiz2H-Quiz1H-Quiz1H-Vid4H-Vid2H-Quiz2H-Quiz2H-Quiz1H-Quiz1H-Vid1H-Vid3H-Quiz2H-Quiz1H-Quiz1H-Vid2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid2H-Quiz2H-Vid4H
