,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
1980,2015,13,24,15,5,10,3,2,0,7,3,0
2964,2016,13,24,15,5,10,3,2,0,7,3,0
3948,2017,13,24,15,6,9,3,3,0,7,2,0
4932,2018,13,24,15,7,8,3,4,0,7,1,0
5916,2019,13,24,15,7,8,3,4,0,7,1,0
6900,2020,13,24,15,7,8,3,4,0,7,1,0
13,2013,14,9,4,2,2,1,1,0,2,0,0
997,2014,14,9,4,2,2,1,1,0,2,0,0
1981,2015,14,9,4,2,2,1,1,0,2,0,0
2965,2016,14,9,4,2,2,1,1,0,2,0,0
3949,2017,14,9,4,2,2,1,1,0,2,0,0
4933,2018,14,9,4,2,2,1,1,0,2,0,0
5917,2019,14,9,4,2,2,1,1,0,2,0,0
6901,2020,14,9,4,3,1,2,1,0,1,0,0
14,2013,15,10,8,3,5,1,1,1,4,1,0
998,2014,15,10,8,3,5,1,1,1,4,1,0
1982,2015,15,10,8,3,5,1,1,1,4,1,0
2966,2016,15,10,8,3,5,1,1,1,4,1,0
3950,2017,15,10,8,4,4,1,2,1,4,0,0
4934,2018,15,10,8,4,4,1,2,1,4,0,0
5918,2019,15,10,8,4,4,1,2,1,4,0,0
6902,2020,15,10,8,5,3,2,2,1,3,0,0
15,2013,16,25,24,8,16,5,3,0,11,4,1
999,2014,16,25,24,10,14,7,3,0,9,4,1
1983,2015,16,25,24,12,12,7,5,0,9,2,1
2967,2016,16,25,24,13,11,8,5,0,8,2,1
3951,2017,16,25,24,14,10,8,6,0,8,1,1
4935,2018,16,25,24,17,7,10,7,0,6,0,1
5919,2019,16,25,24,20,4,13,7,0,3,0,1
6903,2020,16,25,24,21,3,14,7,0,2,0,1
16,2013,17,8,5,1,4,0,1,0,1,2,1
1000,2014,17,8,5,1,4,0,1,0,1,2,1
1984,2015,17,8,5,1,4,0,1,0,1,2,1
2968,2016,17,8,5,2,3,1,1,0,0,2,1
3952,2017,17,8,5,2,3,1,1,0,0,2,1
4936,2018,17,8,5,2,3,1,1,0,0,2,1
5920,2019,17,8,5,2,3,1,1,0,0,2,1
6904,2020,17,8,5,2,3,1,1,0,0,2,1
17,2013,18,5,4,2,2,1,1,0,1,1,0
1001,2014,18,5,4,2,2,1,1,0,1,1,0
1985,2015,18,5,4,2,2,1,1,0,1,1,0
2969,2016,18,5,4,2,2,1,1,0,1,1,0
3953,2017,18,5,4,3,1,2,1,0,0,1,0
4937,2018,18,5,4,3,1,2,1,0,0,1,0
5921,2019,18,5,4,3,1,2,1,0,0,1,0
6905,2020,18,5,4,3,1,2,1,0,0,1,0
18,2013,19,56,41,1,40,1,0,0,26,12,2
1002,2014,19,56,41,1,40,1,0,0,26,12,2
1986,2015,19,56,41,1,40,1,0,0,26,12,2
2970,2016,19,56,41,1,40,1,0,0,26,12,2
3954,2017,19,56,41,1,40,1,0,0,26,12,2
4938,2018,19,56,41,1,40,1,0,0,26,12,2
5922,2019,19,56,41,1,40,1,0,0,26,12,2
6906,2020,19,56,41,1,40,1,0,0,26,12,2
19,2013,20,27,17,4,13,1,2,1,8,4,1
1003,2014,20,27,17,4,13,1,2,1,8,4,1
1987,2015,20,27,17,5,12,1,3,1,8,3,1
2971,2016,20,27,17,6,11,1,4,1,8,2,1
3955,2017,20,27,17,6,11,1,4,1,8,2,1
4939,2018,20,27,17,7,10,2,4,1,7,2,1
5923,2019,20,27,17,8,9,3,4,1,6,2,1
6907,2020,20,27,17,10,7,3,6,1,6,0,1
20,2013,21,50,16,0,16,0,0,0,11,4,1
1004,2014,21,50,16,5,11,3,2,0,8,2,1
1988,2015,21,50,16,5,11,3,2,0,8,2,1
2972,2016,21,50,16,6,10,3,3,0,8,1,1
3956,2017,21,50,16,6,10,3,3,0,8,1,1
4940,2018,21,50,16,7,9,4,3,0,7,1,1
5924,2019,21,50,16,8,8,4,4,0,7,0,1
6908,2020,21,50,16,8,8,4,4,0,7,0,1
21,2013,22,12,10,1,9,1,0,0,6,3,0
1005,2014,22,12,10,1,9,1,0,0,6,3,0
1989,2015,22,12,10,2,8,1,1,0,6,2,0
2973,2016,22,12,10,2,8,1,1,0,6,2,0
3957,2017,22,12,10,2,8,1,1,0,6,2,0
4941,2018,22,12,10,2,8,1,1,0,6,2,0
5925,2019,22,12,10,2,8,1,1,0,6,2,0
6909,2020,22,12,10,2,8,1,1,0,6,2,0
22,2013,23,51,48,24,24,13,10,1,14,8,2
1006,2014,23,51,48,24,24,13,10,1,14,8,2
1990,2015,23,51,48,25,23,14,10,1,13,8,2
2974,2016,23,51,48,30,18,14,15,1,13,3,2
3958,2017,23,51,48,34,14,15,18,1,12,0,2
4942,2018,23,51,48,40,8,21,18,1,6,0,2
5926,2019,23,51,48,45,3,26,18,1,1,0,2
6910,2020,23,51,48,45,3,26,18,1,1,0,2
23,2013,24,32,18,5,13,2,3,0,9,3,1
1007,2014,24,32,18,6,12,3,3,0,8,3,1
1991,2015,24,32,18,7,11,3,3,1,8,3,0
2975,2016,24,32,18,8,10,3,4,1,8,2,0
3959,2017,24,32,18,9,9,4,4,1,7,2,0
4943,2018,24,32,18,9,9,4,4,1,7,2,0
5927,2019,24,32,18,11,7,5,5,1,6,1,0
6911,2020,24,32,18,12,6,6,5,1,5,1,0
24,2013,25,13,9,3,6,1,1,1,3,2,1
1008,2014,25,13,9,3,6,1,1,1,3,2,1
1992,2015,25,13,9,3,6,1,1,1,3,2,1
2976,2016,25,13,9,3,6,1,1,1,3,2,1
3960,2017,25,13,9,3,6,1,1,1,3,2,1
4944,2018,25,13,9,4,5,2,1,1,2,2,1
5928,2019,25,13,9,4,5,2,1,1,2,2,1
6912,2020,25,13,9,5,4,3,1,1,1,2,1
25,2013,26,28,12,3,9,3,0,0,5,3,1
1009,2014,26,28,12,4,8,4,0,0,4,3,1
1993,2015,26,28,12,4,8,4,0,0,4,3,1
2977,2016,26,28,12,5,7,4,1,0,4,2,1
3961,2017,26,28,12,6,6,4,2,0,4,1,1
4945,2018,26,28,12,6,6,4,2,0,4,1,1
5929,2019,26,28,12,6,6,4,2,0,4,1,1
6913,2020,26,28,12,7,5,5,2,0,3,1,1
26,2013,27,39,14,2,12,1,1,0,8,4,0
1010,2014,27,39,14,2,12,1,1,0,8,4,0
1994,2015,27,39,14,2,12,1,1,0,8,4,0
2978,2016,27,39,14,3,11,2,1,0,7,4,0
3962,2017,27,39,14,3,11,2,1,0,7,4,0
4946,2018,27,39,14,4,10,2,2,0,7,3,0
5930,2019,27,39,14,4,10,2,2,0,7,3,0
6914,2020,27,39,14,5,9,3,2,0,6,3,0
27,2013,28,35,20,7,13,2,4,1,9,4,0
1011,2014,28,35,20,8,12,3,4,1,8,4,0
1995,2015,28,35,20,10,10,4,5,1,7,3,0
2979,2016,28,35,20,11,9,5,5,1,6,3,0
3963,2017,28,35,20,12,8,6,5,1,5,3,0
4947,2018,28,35,20,14,6,7,6,1,4,2,0
5931,2019,28,35,20,17,3,8,8,1,3,0,0
6915,2020,28,35,20,19,1,10,8,1,1,0,0
28,2013,29,28,12,5,7,1,3,1,5,2,0
1012,2014,29,28,12,7,5,1,5,1,5,0,0
1996,2015,29,28,12,7,5,1,5,1,5,0,0
2980,2016,29,28,12,9,3,3,5,1,3,0,0
3964,2017,29,28,12,9,3,3,5,1,3,0,0
4948,2018,29,28,12,10,2,4,5,1,2,0,0
5932,2019,29,28,12,10,2,4,5,1,2,0,0
6916,2020,29,28,12,12,0,6,5,1,0,0,0
29,2013,30,39,27,3,24,1,2,0,16,7,1
1013,2014,30,39,27,3,24,1,2,0,16,7,1
1997,2015,30,39,27,3,24,1,2,0,16,7,1
2981,2016,30,39,27,4,23,1,3,0,16,6,1
3965,2017,30,39,27,4,23,1,3,0,16,6,1
4949,2018,30,39,27,5,22,1,4,0,16,5,1
5933,2019,30,39,27,5,22,1,4,0,16,5,1
6917,2020,30,39,27,6,21,1,5,0,16,4,1
30,2013,31,21,14,2,12,1,1,0,8,3,1
1014,2014,31,21,14,3,11,1,2,0,8,2,1
1998,2015,31,21,14,3,11,1,2,0,8,2,1
2982,2016,31,21,14,3,11,1,2,0,8,2,1
3966,2017,31,21,14,4,10,1,3,0,8,1,1
4950,2018,31,21,14,4,10,1,3,0,8,1,1
5934,2019,31,21,14,5,9,2,3,0,7,1,1
6918,2020,31,21,14,5,9,2,3,0,7,1,1
31,2013,32,21,7,2,5,2,0,0,3,1,1
1015,2014,32,21,7,2,5,2,0,0,3,1,1
1999,2015,32,21,7,3,4,3,0,0,2,1,1
2983,2016,32,21,7,3,4,3,0,0,2,1,1
3967,2017,32,21,7,3,4,3,0,0,2,1,1
4951,2018,32,21,7,3,4,3,0,0,2,1,1
5935,2019,32,21,7,4,3,4,0,0,1,1,1
6919,2020,32,21,7,4,3,4,0,0,1,1,1
32,2013,33,46,35,4,31,1,2,1,20,9,2
1016,2014,33,46,35,4,31,1,2,1,20,9,2
2000,2015,33,46,35,4,31,1,2,1,20,9,2
2984,2016,33,46,35,4,31,1,2,1,20,9,2
3968,2017,33,46,35,5,30,2,2,1,19,9,2
4952,2018,33,46,35,5,30,2,2,1,19,9,2
5936,2019,33,46,35,6,29,3,2,1,18,9,2
6920,2020,33,46,35,7,28,3,3,1,18,8,2
33,2013,34,8,5,2,3,2,0,0,2,1,0
1017,2014,34,8,5,2,3,2,0,0,2,1,0
2001,2015,34,8,5,2,3,2,0,0,2,1,0
2985,2016,34,8,5,2,3,2,0,0,2,1,0
3969,2017,34,8,5,2,3,2,0,0,2,1,0
4953,2018,34,8,5,3,2,2,1,0,2,0,0
5937,2019,34,8,5,3,2,2,1,0,2,0,0
6921,2020,34,8,5,3,2,2,1,0,2,0,0
34,2013,35,21,15,5,10,1,3,1,6,3,1
1018,2014,35,21,15,5,10,1,3,1,6,3,1
2002,2015,35,21,15,5,10,1,3,1,6,3,1
2986,2016,35,21,15,5,10,1,3,1,6,3,1
3970,2017,35,21,15,6,9,2,3,1,5,3,1
4954,2018,35,21,15,7,8,3,3,1,4,3,1
5938,2019,35,21,15,8,7,3,4,1,4,2,1
6922,2020,35,21,15,9,6,4,4,1,3,2,1
35,2013,36,33,23,3,20,3,0,0,13,6,1
1019,2014,36,33,23,4,19,3,1,0,13,5,1
2003,2015,36,33,23,4,19,3,1,0,13,5,1
2987,2016,36,33,23,5,18,3,2,0,13,4,1
3971,2017,36,33,23,6,17,3,3,0,13,3,1
4955,2018,36,33,23,7,16,3,4,0,13,2,1
5939,2019,36,33,23,8,15,4,4,0,12,2,1
6923,2020,36,33,23,8,15,4,4,0,12,2,1
36,2013,37,36,23,3,20,1,2,0,13,6,1
1020,2014,37,36,23,3,20,1,2,0,13,6,1
2004,2015,37,36,23,4,19,2,2,0,12,6,1
2988,2016,37,36,23,5,18,3,2,0,11,6,1
3972,2017,37,36,23,5,18,3,2,0,11,6,1
4956,2018,37,36,23,6,17,3,3,0,11,5,1
5940,2019,37,36,23,7,16,3,4,0,11,4,1
6924,2020,37,36,23,7,16,3,4,0,11,4,1
37,2013,38,15,15,4,11,1,2,1,6,4,1
1021,2014,38,15,15,4,11,1,2,1,6,4,1
2005,2015,38,15,15,5,10,1,3,1,6,3,1
2989,2016,38,15,15,6,9,2,3,1,5,3,1
3973,2017,38,15,15,6,9,2,3,1,5,3,1
4957,2018,38,15,15,7,8,2,4,1,5,2,1
5941,2019,38,15,15,8,7,2,5,1,5,1,1
6925,2020,38,15,15,8,7,2,5,1,5,1,1
38,2013,39,22,15,8,7,3,4,1,5,2,0
1022,2014,39,22,15,9,6,3,5,1,5,1,0
2006,2015,39,22,15,10,5,4,5,1,4,1,0
2990,2016,39,22,15,12,3,6,5,1,2,1,0
3974,2017,39,22,15,13,2,6,6,1,2,0,0
4958,2018,39,22,15,14,1,7,6,1,1,0,0
5942,2019,39,22,15,15,0,8,6,1,0,0,0
6926,2020,39,22,15,15,0,8,6,1,0,0,0
39,2013,40,26,11,5,6,3,1,1,4,1,1
1023,2014,40,26,11,6,5,3,1,2,4,1,0
2007,2015,40,26,11,7,4,4,1,2,3,1,0
2991,2016,40,26,11,7,4,4,1,2,3,1,0
3975,2017,40,26,11,7,4,4,1,2,3,1,0
4959,2018,40,26,11,8,3,4,2,2,3,0,0
5943,2019,40,26,11,9,2,5,2,2,2,0,0
6927,2020,40,26,11,10,1,6,2,2,1,0,0
40,2013,41,12,5,2,3,2,0,0,1,1,1
1024,2014,41,12,5,2,3,2,0,0,1,1,1
2008,2015,41,12,5,2,3,2,0,0,1,1,1
2992,2016,41,12,5,2,3,2,0,0,1,1,1
3976,2017,41,12,5,2,3,2,0,0,1,1,1
4960,2018,41,12,5,3,2,3,0,0,0,1,1
5944,2019,41,12,5,3,2,3,0,0,0,1,1
6928,2020,41,12,5,3,2,3,0,0,0,1,1
41,2013,42,12,5,1,4,1,0,0,1,2,1
1025,2014,42,12,5,1,4,1,0,0,1,2,1
2009,2015,42,12,5,1,4,1,0,0,1,2,1
2993,2016,42,12,5,1,4,1,0,0,1,2,1
3977,2017,42,12,5,1,4,1,0,0,1,2,1
4961,2018,42,12,5,1,4,1,0,0,1,2,1
5945,2019,42,12,5,1,4,1,0,0,1,2,1
6929,2020,42,12,5,1,4,1,0,0,1,2,1
42,2013,43,14,13,2,11,1,1,0,8,3,0
1026,2014,43,14,13,2,11,1,1,0,8,3,0
2010,2015,43,14,13,2,11,1,1,0,8,3,0
2994,2016,43,14,13,2,11,1,1,0,8,3,0
3978,2017,43,14,13,2,11,1,1,0,8,3,0
4962,2018,43,14,13,2,11,1,1,0,8,3,0
5946,2019,43,14,13,3,10,1,2,0,8,2,0
6930,2020,43,14,13,3,10,1,2,0,8,2,0
43,2013,44,17,7,3,4,1,1,1,2,2,0
1027,2014,44,17,7,4,3,2,1,1,1,2,0
2011,2015,44,17,7,4,3,2,1,1,1,2,0
2995,2016,44,17,7,4,3,2,1,1,1,2,0
3979,2017,44,17,7,5,2,2,2,1,1,1,0
4963,2018,44,17,7,5,2,2,2,1,1,1,0
5947,2019,44,17,7,6,1,2,3,1,1,0,0
6931,2020,44,17,7,7,0,3,3,1,0,0,0
44,2013,45,19,8,3,5,1,2,0,2,2,1
1028,2014,45,19,8,4,4,1,3,0,2,1,1
2012,2015,45,19,8,4,4,1,3,0,2,1,1
2996,2016,45,19,8,4,4,1,3,0,2,1,1
3980,2017,45,19,8,5,3,2,3,0,1,1,1
4964,2018,45,19,8,5,3,2,3,0,1,1,1
5948,2019,45,19,8,6,2,3,3,0,0,1,1
6932,2020,45,19,8,6,2,3,3,0,0,1,1
45,2013,46,8,5,2,3,1,1,0,2,1,0
1029,2014,46,8,5,2,3,1,1,0,2,1,0
2013,2015,46,8,5,2,3,1,1,0,2,1,0
2997,2016,46,8,5,2,3,1,1,0,2,1,0
3981,2017,46,8,5,2,3,1,1,0,2,1,0
4965,2018,46,8,5,3,2,1,2,0,2,0,0
5949,2019,46,8,5,3,2,1,2,0,2,0,0
6933,2020,46,8,5,3,2,1,2,0,2,0,0
46,2013,47,44,17,6,11,4,1,1,8,2,1
1030,2014,47,44,17,7,10,5,1,1,7,2,1
2014,2015,47,44,17,8,9,5,2,1,7,1,1
2998,2016,47,44,17,9,8,5,3,1,7,0,1
3982,2017,47,44,17,11,6,7,3,1,5,0,1
4966,2018,47,44,17,11,6,7,3,1,5,0,1
5950,2019,47,44,17,13,4,9,3,1,3,0,1
6934,2020,47,44,17,14,3,10,3,1,2,0,1
47,2013,48,33,20,9,11,4,4,1,8,3,0
1031,2014,48,33,20,10,10,5,4,1,7,3,0
2015,2015,48,33,20,11,9,5,5,1,7,2,0
2999,2016,48,33,20,11,9,5,5,1,7,2,0
3983,2017,48,33,20,11,9,5,5,1,7,2,0
4967,2018,48,33,20,14,6,6,7,1,6,0,0
5951,2019,48,33,20,15,5,7,7,1,5,0,0
6935,2020,48,33,20,19,1,11,7,1,1,0,0
48,2013,49,35,29,8,21,4,4,0,13,7,1
1032,2014,49,35,29,8,21,4,4,0,13,7,1
2016,2015,49,35,29,9,20,5,4,0,12,7,1
3000,2016,49,35,29,9,20,5,4,0,12,7,1
3984,2017,49,35,29,11,18,7,4,0,10,7,1
4968,2018,49,35,29,13,16,7,6,0,10,5,1
5952,2019,49,35,29,15,14,8,7,0,9,4,1
6936,2020,49,35,29,18,11,9,9,0,8,2,1
49,2013,50,23,13,3,10,1,2,0,7,3,0
1033,2014,50,23,13,3,10,1,2,0,7,3,0
2017,2015,50,23,13,3,10,1,2,0,7,3,0
3001,2016,50,23,13,4,9,1,3,0,7,2,0
3985,2017,50,23,13,4,9,1,3,0,7,2,0
4969,2018,50,23,13,5,8,2,3,0,6,2,0
5953,2019,50,23,13,6,7,3,3,0,5,2,0
6937,2020,50,23,13,7,6,4,3,0,4,2,0
50,2013,51,8,4,2,2,2,0,0,1,1,0
1034,2014,51,8,4,2,2,2,0,0,1,1,0
2018,2015,51,8,4,2,2,2,0,0,1,1,0
3002,2016,51,8,4,2,2,2,0,0,1,1,0
3986,2017,51,8,4,2,2,2,0,0,1,1,0
4970,2018,51,8,4,3,1,2,1,0,1,0,0
5954,2019,51,8,4,3,1,2,1,0,1,0,0
6938,2020,51,8,4,3,1,2,1,0,1,0,0
51,2013,52,18,16,2,14,1,1,0,10,4,0
1035,2014,52,18,16,3,13,1,2,0,10,3,0
2019,2015,52,18,16,3,13,1,2,0,10,3,0
3003,2016,52,18,16,3,13,1,2,0,10,3,0
3987,2017,52,18,16,4,12,1,3,0,10,2,0
4971,2018,52,18,16,4,12,1,3,0,10,2,0
5955,2019,52,18,16,5,11,2,3,0,9,2,0
6939,2020,52,18,16,5,11,2,3,0,9,2,0
52,2013,53,7,3,2,1,2,0,0,1,0,0
1036,2014,53,7,3,2,1,2,0,0,1,0,0
2020,2015,53,7,3,2,1,2,0,0,1,0,0
3004,2016,53,7,3,2,1,2,0,0,1,0,0
3988,2017,53,7,3,3,0,3,0,0,0,0,0
4972,2018,53,7,3,3,0,3,0,0,0,0,0
5956,2019,53,7,3,3,0,3,0,0,0,0,0
6940,2020,53,7,3,3,0,3,0,0,0,0,0
53,2013,54,36,22,1,21,0,1,0,14,5,2
1037,2014,54,36,22,1,21,0,1,0,14,5,2
2021,2015,54,36,22,1,21,0,1,0,14,5,2
3005,2016,54,36,22,1,21,0,1,0,14,5,2
3989,2017,54,36,22,2,20,1,1,0,13,5,2
4973,2018,54,36,22,2,20,1,1,0,13,5,2
5957,2019,54,36,22,2,20,1,1,0,13,5,2
6941,2020,54,36,22,2,20,1,1,0,13,5,2
54,2013,55,40,39,9,30,7,1,1,19,9,2
1038,2014,55,40,39,9,30,7,1,1,19,9,2
2022,2015,55,40,39,11,28,7,3,1,19,7,2
3006,2016,55,40,39,13,26,7,5,1,19,5,2
3990,2017,55,40,39,14,25,7,6,1,19,4,2
4974,2018,55,40,39,15,24,8,6,1,18,4,2
5958,2019,55,40,39,19,20,9,9,1,17,1,2
6942,2020,55,40,39,23,16,12,10,1,14,0,2
55,2013,56,13,12,1,11,1,0,0,8,3,0
1039,2014,56,13,12,1,11,1,0,0,8,3,0
2023,2015,56,13,12,1,11,1,0,0,8,3,0
3007,2016,56,13,12,1,11,1,0,0,8,3,0
3991,2017,56,13,12,1,11,1,0,0,8,3,0
4975,2018,56,13,12,1,11,1,0,0,8,3,0
5959,2019,56,13,12,1,11,1,0,0,8,3,0
6943,2020,56,13,12,1,11,1,0,0,8,3,0
56,2013,57,19,14,3,11,1,2,0,8,3,0
1040,2014,57,19,14,3,11,1,2,0,8,3,0
2024,2015,57,19,14,4,10,2,2,0,7,3,0
3008,2016,57,19,14,4,10,2,2,0,7,3,0
3992,2017,57,19,14,4,10,2,2,0,7,3,0
4976,2018,57,19,14,4,10,2,2,0,7,3,0
5960,2019,57,19,14,5,9,3,2,0,6,3,0
6944,2020,57,19,14,6,8,4,2,0,5,3,0
57,2013,58,26,18,8,10,6,2,0,6,3,1
1041,2014,58,26,18,10,8,7,3,0,5,2,1
2025,2015,58,26,18,11,7,7,4,0,5,1,1
3009,2016,58,26,18,12,6,8,4,0,4,1,1
3993,2017,58,26,18,13,5,8,5,0,4,0,1
4977,2018,58,26,18,16,2,10,5,1,2,0,0
5961,2019,58,26,18,17,1,11,5,1,1,0,0
6945,2020,58,26,18,18,0,12,5,1,0,0,0
58,2013,59,41,22,2,20,1,1,0,13,6,1
1042,2014,59,41,22,3,19,1,2,0,13,5,1
2026,2015,59,41,22,3,19,1,2,0,13,5,1
3010,2016,59,41,22,3,19,1,2,0,13,5,1
3994,2017,59,41,22,3,19,1,2,0,13,5,1
4978,2018,59,41,22,4,18,1,3,0,13,4,1
5962,2019,59,41,22,4,18,1,3,0,13,4,1
6946,2020,59,41,22,5,17,2,3,0,12,4,1
59,2013,60,39,17,4,13,2,2,0,9,3,1
1043,2014,60,39,17,5,12,2,3,0,9,2,1
2027,2015,60,39,17,5,12,2,3,0,9,2,1
3011,2016,60,39,17,5,12,2,3,0,9,2,1
3995,2017,60,39,17,5,12,2,3,0,9,2,1
4979,2018,60,39,17,6,11,2,4,0,9,1,1
5963,2019,60,39,17,7,10,3,4,0,8,1,1
6947,2020,60,39,17,8,9,3,4,1,8,1,0
60,2013,61,36,36,7,29,5,2,0,19,9,1
1044,2014,61,36,36,7,29,5,2,0,19,9,1
2028,2015,61,36,36,8,28,5,3,0,19,8,1
3012,2016,61,36,36,8,28,5,3,0,19,8,1
3996,2017,61,36,36,8,28,5,3,0,19,8,1
4980,2018,61,36,36,9,27,6,3,0,18,8,1
5964,2019,61,36,36,9,27,6,3,0,18,8,1
6948,2020,61,36,36,11,25,8,3,0,16,8,1
61,2013,62,31,15,3,12,1,1,1,7,4,1
1045,2014,62,31,15,4,11,2,1,1,6,4,1
2029,2015,62,31,15,4,11,2,1,1,6,4,1
3013,2016,62,31,15,5,10,2,2,1,6,3,1
3997,2017,62,31,15,6,9,2,3,1,6,2,1
4981,2018,62,31,15,7,8,3,3,1,5,2,1
5965,2019,62,31,15,8,7,4,3,1,4,2,1
6949,2020,62,31,15,9,6,5,3,1,3,2,1
