,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty,Department
2,2015,Droit,1,Histoire du Droit,1,La Grèce,9,3,3,QCM,0.1,0.99,82.42,41,9,50,47,41,6,1.06,87.23,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
1126,2016,Droit,1,Histoire du Droit,1,La Grèce,9,3,3,QCM,0.55,0.23,11.28,5,42,47,41,5,36,1.15,12.2,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2250,2017,Droit,1,Histoire du Droit,1,La Grèce,9,3,3,QCM,0.48,0.45,36.8,17,29,46,25,17,8,1.84,68.0,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
3374,2018,Droit,1,Histoire du Droit,1,La Grèce,9,3,3,QCM,0.15,0.92,84.79,33,6,39,39,33,6,1.0,84.62,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
4498,2019,Droit,1,Histoire du Droit,1,La Grèce,9,3,3,QCM,0.14,0.73,98.21,37,1,38,38,37,1,1.0,97.37,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
5622,2020,Droit,1,Histoire du Droit,1,La Grèce,9,3,3,QCM,0.79,0.25,13.65,5,31,36,15,5,10,2.4,33.33,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
3,2015,Droit,1,Histoire du Droit,1,La Grèce,9,4,4,QCM,0.66,0.2,11.5,6,44,50,28,6,22,1.79,21.43,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1127,2016,Droit,1,Histoire du Droit,1,La Grèce,9,4,4,QCM,0.72,0.17,31.86,17,36,53,26,17,9,2.04,65.38,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2251,2017,Droit,1,Histoire du Droit,1,La Grèce,9,4,4,QCM,0.7,0.19,25.33,12,36,48,43,12,31,1.12,27.91,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3375,2018,Droit,1,Histoire du Droit,1,La Grèce,9,4,4,QCM,0.66,0.25,28.97,14,33,47,27,14,13,1.74,51.85,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
4499,2019,Droit,1,Histoire du Droit,1,La Grèce,9,4,4,QCM,0.46,0.36,55.74,30,23,53,31,30,1,1.71,96.77,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
5623,2020,Droit,1,Histoire du Droit,1,La Grèce,9,4,4,QCM,0.49,0.3,49.39,26,26,52,31,26,5,1.68,83.87,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
4,2015,Droit,1,Histoire du Droit,1,La Grèce,9,5,5,QCU,0.18,0.91,68.8,59,27,86,74,59,15,1.16,79.73,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
1128,2016,Droit,1,Histoire du Droit,1,La Grèce,9,5,5,QCU,0.08,0.92,68.8,56,25,81,78,56,22,1.04,71.79,Facile,Facile,0,Meme Difficulté,Adapte,Law
2252,2017,Droit,1,Histoire du Droit,1,La Grèce,9,5,5,QCU,0.04,0.89,68.8,61,27,88,63,61,2,1.4,96.83,Facile,Facile,0,Meme Difficulté,Adapte,Law
3376,2018,Droit,1,Histoire du Droit,1,La Grèce,9,5,5,QCU,0.06,0.82,68.8,58,27,85,59,58,1,1.44,98.31,Facile,Facile,0,Meme Difficulté,Adapte,Law
4500,2019,Droit,1,Histoire du Droit,1,La Grèce,9,5,5,QCU,0.07,0.79,68.8,65,29,94,86,65,21,1.09,75.58,Facile,Facile,0,Meme Difficulté,Adapte,Law
5624,2020,Droit,1,Histoire du Droit,1,La Grèce,9,5,5,QCU,0.19,0.79,68.8,55,25,80,73,55,18,1.1,75.34,Facile,Facile,0,Meme Difficulté,Adapte,Law
5,2015,Droit,1,Histoire du Droit,1,La Grèce,9,6,6,QCM,0.17,0.92,99.18,70,1,71,71,70,1,1.0,98.59,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
1129,2016,Droit,1,Histoire du Droit,1,La Grèce,9,6,6,QCM,0.61,0.21,17.26,13,63,76,49,13,36,1.55,26.53,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2253,2017,Droit,1,Histoire du Droit,1,La Grèce,9,6,6,QCM,0.14,0.97,86.34,66,11,77,69,66,3,1.12,95.65,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
3377,2018,Droit,1,Histoire du Droit,1,La Grèce,9,6,6,QCM,0.1,0.86,84.95,59,10,69,66,59,7,1.05,89.39,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
4501,2019,Droit,1,Histoire du Droit,1,La Grèce,9,6,6,QCU,0.32,0.6,52.98,35,31,66,36,35,1,1.83,97.22,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
5625,2020,Droit,1,Histoire du Droit,1,La Grèce,9,6,6,QCU,0.32,0.48,53.03,36,32,68,50,36,14,1.36,72.0,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
6,2015,Droit,1,Histoire du Droit,1,La Grèce,9,7,7,QCM,0.01,0.72,79.99,49,12,61,53,49,4,1.15,92.45,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
1130,2016,Droit,1,Histoire du Droit,1,La Grèce,9,7,7,QCM,0.69,0.17,31.27,21,47,68,55,21,34,1.24,38.18,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2254,2017,Droit,1,Histoire du Droit,1,La Grèce,9,7,7,QCM,0.78,0.18,9.06,6,65,71,52,6,46,1.37,11.54,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
3378,2018,Droit,1,Histoire du Droit,1,La Grèce,9,7,7,QCM,0.62,0.23,18.71,14,59,73,29,14,15,2.52,48.28,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
4502,2019,Droit,1,Histoire du Droit,1,La Grèce,9,7,7,QCM,0.51,0.19,32.12,24,52,76,54,24,30,1.41,44.44,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
5626,2020,Droit,1,Histoire du Droit,1,La Grèce,9,7,7,QCM,0.06,0.76,70.96,53,22,75,54,53,1,1.39,98.15,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
7,2015,Droit,1,Histoire du Droit,1,La Grèce,9,8,8,QCM,0.53,0.19,32.08,18,37,55,31,18,13,1.77,58.06,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1131,2016,Droit,1,Histoire du Droit,1,La Grèce,9,8,8,QCM,0.71,0.25,30.79,16,37,53,43,16,27,1.23,37.21,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2255,2017,Droit,1,Histoire du Droit,1,La Grèce,9,8,8,QCM,0.34,0.57,57.57,28,20,48,38,28,10,1.26,73.68,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
3379,2018,Droit,1,Histoire du Droit,1,La Grèce,9,8,8,QCM,0.62,0.25,26.11,14,38,52,26,14,12,2.0,53.85,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
4503,2019,Droit,1,Histoire du Droit,1,La Grèce,9,8,8,QCM,0.42,0.69,61.13,31,19,50,46,31,15,1.09,67.39,Facile,Moyen,-1,Plus Difficile,Adapte,Law
5627,2020,Droit,1,Histoire du Droit,1,La Grèce,9,8,8,QROC,0.49,0.25,61.13,34,22,56,49,34,15,1.14,69.39,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
8,2015,Droit,1,Histoire du Droit,1,La Grèce,9,9,9,QO,0.75,0.06,26.61,13,36,49,38,13,25,1.29,34.21,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1132,2016,Droit,1,Histoire du Droit,1,La Grèce,9,9,9,QO,0.32,0.27,63.9,34,19,53,42,34,8,1.26,80.95,Difficile,Moyen,1,Plus Facile,Adapte,Law
2256,2017,Droit,1,Histoire du Droit,1,La Grèce,9,9,9,QO,0.57,0.26,63.9,33,19,52,33,33,0,1.58,100.0,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
3380,2018,Droit,1,Histoire du Droit,1,La Grèce,9,9,9,QO,0.64,0.18,63.9,29,16,45,30,29,1,1.5,96.67,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
4504,2019,Droit,1,Histoire du Droit,1,La Grèce,9,9,9,QO,0.48,0.24,63.9,26,14,40,31,26,5,1.29,83.87,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
5628,2020,Droit,1,Histoire du Droit,1,La Grèce,9,9,9,QCM,0.33,0.49,63.9,27,15,42,34,27,7,1.24,79.41,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
9,2015,Droit,1,Histoire du Droit,2,L'Italie,8,10,1,QROC,0.71,0.16,10.95,2,13,15,6,2,4,2.5,33.33,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
1133,2016,Droit,1,Histoire du Droit,2,L'Italie,8,10,1,QROC,0.15,0.51,74.17,10,3,13,12,10,2,1.08,83.33,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
2257,2017,Droit,1,Histoire du Droit,2,L'Italie,8,10,1,QROC,0.15,0.45,74.17,11,4,15,11,11,0,1.36,100.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
3381,2018,Droit,1,Histoire du Droit,2,L'Italie,8,10,1,QROC,0.15,0.74,74.17,12,4,16,14,12,2,1.14,85.71,Facile,Facile,0,Meme Difficulté,Adapte,Law
4505,2019,Droit,1,Histoire du Droit,2,L'Italie,8,10,1,QROC,0.17,0.5,74.17,11,4,15,13,11,2,1.15,84.62,Facile,Facile,0,Meme Difficulté,Adapte,Law
5629,2020,Droit,1,Histoire du Droit,2,L'Italie,8,10,1,QROC,0.07,0.74,74.17,10,4,14,12,10,2,1.17,83.33,Facile,Facile,0,Meme Difficulté,Adapte,Law
10,2015,Droit,1,Histoire du Droit,2,L'Italie,8,11,2,QCM,0.05,0.74,97.03,31,1,32,32,31,1,1.0,96.88,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
1134,2016,Droit,1,Histoire du Droit,2,L'Italie,8,11,2,QCM,0.0,0.99,97.6,32,1,33,32,32,0,1.03,100.0,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
2258,2017,Droit,1,Histoire du Droit,2,L'Italie,8,11,2,QCM,0.19,0.82,90.84,26,3,29,28,26,2,1.04,92.86,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
3382,2018,Droit,1,Histoire du Droit,2,L'Italie,8,11,2,QCU,0.66,0.31,22.17,6,19,25,16,6,10,1.56,37.5,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
4506,2019,Droit,1,Histoire du Droit,2,L'Italie,8,11,2,QCU,0.04,0.94,89.31,20,2,22,21,20,1,1.05,95.24,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
5630,2020,Droit,1,Histoire du Droit,2,L'Italie,8,11,2,QCU,0.24,0.49,51.34,13,12,25,21,13,8,1.19,61.9,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
11,2015,Droit,1,Histoire du Droit,2,L'Italie,8,12,3,QCU,0.16,0.88,82.21,49,11,60,58,49,9,1.03,84.48,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
1135,2016,Droit,1,Histoire du Droit,2,L'Italie,8,12,3,QO,0.75,0.14,20.8,12,48,60,35,12,23,1.71,34.29,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2259,2017,Droit,1,Histoire du Droit,2,L'Italie,8,12,3,QO,0.05,0.59,72.35,43,17,60,47,43,4,1.28,91.49,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
3383,2018,Droit,1,Histoire du Droit,2,L'Italie,8,12,3,QCU,0.1,0.8,72.35,47,18,65,60,47,13,1.08,78.33,Facile,Facile,0,Meme Difficulté,Adapte,Law
4507,2019,Droit,1,Histoire du Droit,2,L'Italie,8,12,3,QCU,0.01,0.98,72.35,45,17,62,47,45,2,1.32,95.74,Facile,Facile,0,Meme Difficulté,Adapte,Law
5631,2020,Droit,1,Histoire du Droit,2,L'Italie,8,12,3,QCU,0.14,0.91,72.35,43,16,59,50,43,7,1.18,86.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
12,2015,Droit,1,Histoire du Droit,2,L'Italie,8,13,4,QO,0.12,0.61,99.68,25,0,25,25,25,0,1.0,100.0,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
1136,2016,Droit,1,Histoire du Droit,2,L'Italie,8,13,4,QROC,0.61,0.2,22.77,6,19,25,14,6,8,1.79,42.86,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
2260,2017,Droit,1,Histoire du Droit,2,L'Italie,8,13,4,QROC,0.23,0.34,53.54,12,11,23,14,12,2,1.64,85.71,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
3384,2018,Droit,1,Histoire du Droit,2,L'Italie,8,13,4,QROC,0.89,0.18,25.85,7,19,26,19,7,12,1.37,36.84,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
4508,2019,Droit,1,Histoire du Droit,2,L'Italie,8,13,4,QROC,0.02,0.76,77.89,20,6,26,21,20,1,1.24,95.24,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
5632,2020,Droit,1,Histoire du Droit,2,L'Italie,8,13,4,QROC,0.68,0.19,24.25,6,17,23,16,6,10,1.44,37.5,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
13,2015,Droit,1,Histoire du Droit,2,L'Italie,8,14,5,QCM,0.14,0.87,99.5,19,0,19,19,19,0,1.0,100.0,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
1137,2016,Droit,1,Histoire du Droit,2,L'Italie,8,14,5,QROC,0.5,0.35,44.61,9,12,21,9,9,0,2.33,100.0,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
2261,2017,Droit,1,Histoire du Droit,2,L'Italie,8,14,5,QROC,0.63,0.13,32.69,6,12,18,8,6,2,2.25,75.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3385,2018,Droit,1,Histoire du Droit,2,L'Italie,8,14,5,QROC,0.08,0.94,96.92,16,0,16,16,16,0,1.0,100.0,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
4509,2019,Droit,1,Histoire du Droit,2,L'Italie,8,14,5,QROC,0.77,0.05,9.11,1,14,15,13,1,12,1.15,7.69,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
5633,2020,Droit,1,Histoire du Droit,2,L'Italie,8,14,5,QROC,0.13,0.41,70.77,9,4,13,13,9,4,1.0,69.23,Moyen,Facile,1,Plus Facile,Adapte,Law
14,2015,Droit,1,Histoire du Droit,2,L'Italie,8,15,6,QCM,0.72,0.29,3.79,1,36,37,20,1,19,1.85,5.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
1138,2016,Droit,1,Histoire du Droit,2,L'Italie,8,15,6,QCM,0.12,0.77,68.38,25,12,37,35,25,10,1.06,71.43,Moyen,Facile,1,Plus Facile,Adapte,Law
2262,2017,Droit,1,Histoire du Droit,2,L'Italie,8,15,6,QCM,0.04,0.78,68.38,23,11,34,26,23,3,1.31,88.46,Facile,Facile,0,Meme Difficulté,Adapte,Law
3386,2018,Droit,1,Histoire du Droit,2,L'Italie,8,15,6,QCM,0.07,0.76,68.38,21,9,30,28,21,7,1.07,75.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
4510,2019,Droit,1,Histoire du Droit,2,L'Italie,8,15,6,QCM,0.04,0.96,68.38,18,9,27,22,18,4,1.23,81.82,Facile,Facile,0,Meme Difficulté,Adapte,Law
5634,2020,Droit,1,Histoire du Droit,2,L'Italie,8,15,6,QCM,0.12,0.75,68.38,19,9,28,22,19,3,1.27,86.36,Facile,Facile,0,Meme Difficulté,Adapte,Law
15,2015,Droit,1,Histoire du Droit,2,L'Italie,8,16,7,QCM,0.72,0.21,30.37,10,23,33,25,10,15,1.32,40.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
1139,2016,Droit,1,Histoire du Droit,2,L'Italie,8,16,7,QCM,0.52,0.16,29.8,11,26,37,23,11,12,1.61,47.83,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2263,2017,Droit,1,Histoire du Droit,2,L'Italie,8,16,7,QCM,0.11,0.93,76.79,25,8,33,26,25,1,1.27,96.15,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
3387,2018,Droit,1,Histoire du Droit,2,L'Italie,8,16,7,QCM,0.13,0.89,77.91,26,7,33,29,26,3,1.14,89.66,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
4511,2019,Droit,1,Histoire du Droit,2,L'Italie,8,16,7,QCM,0.2,0.36,64.1,21,11,32,22,21,1,1.45,95.45,Facile,Moyen,-1,Plus Difficile,Adapte,Law
5635,2020,Droit,1,Histoire du Droit,2,L'Italie,8,16,7,QCU,0.24,0.5,64.1,22,13,35,23,22,1,1.52,95.65,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
16,2015,Droit,1,Histoire du Droit,2,L'Italie,8,17,8,QCU,0.05,0.87,71.66,11,5,16,15,11,4,1.07,73.33,Moyen,Facile,1,Plus Facile,Adapte,Law
1140,2016,Droit,1,Histoire du Droit,2,L'Italie,8,17,8,QCU,0.14,0.76,71.66,10,4,14,13,10,3,1.08,76.92,Facile,Facile,0,Meme Difficulté,Adapte,Law
2264,2017,Droit,1,Histoire du Droit,2,L'Italie,8,17,8,QCU,0.08,0.77,71.66,10,4,14,10,10,0,1.4,100.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
3388,2018,Droit,1,Histoire du Droit,2,L'Italie,8,17,8,QCU,0.09,0.77,71.66,11,4,15,14,11,3,1.07,78.57,Facile,Facile,0,Meme Difficulté,Adapte,Law
4512,2019,Droit,1,Histoire du Droit,2,L'Italie,8,17,8,QCU,0.15,0.75,71.66,12,5,17,16,12,4,1.06,75.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
5636,2020,Droit,1,Histoire du Droit,2,L'Italie,8,17,8,QCU,0.14,0.95,71.66,14,6,20,20,14,6,1.0,70.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
17,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,18,1,QO,0.37,0.24,36.68,4,8,12,10,4,6,1.2,40.0,Moyen,Moyen,0,Meme Difficulté,Pas Adapte,Law
1141,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,18,1,QO,0.03,0.89,93.94,9,1,10,10,9,1,1.0,90.0,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
2265,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,18,1,QROC,0.97,0.11,8.74,1,11,12,10,1,9,1.2,10.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3389,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,18,1,QROC,0.79,0.01,26.01,3,9,12,12,3,9,1.0,25.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
4513,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,18,1,QROC,0.12,0.54,99.62,11,0,11,11,11,0,1.0,100.0,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
5637,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,18,1,QROC,0.8,0.08,9.62,1,8,9,6,1,5,1.5,16.67,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
18,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,19,2,QCM,0.19,0.93,76.41,48,15,63,59,48,11,1.07,81.36,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
1142,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,19,2,QCM,0.43,0.56,58.56,34,24,58,50,34,16,1.16,68.0,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
2266,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,19,2,QCM,0.14,0.91,93.26,62,4,66,65,62,3,1.02,95.38,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
3390,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,19,2,QCM,0.12,0.96,97.0,58,2,60,58,58,0,1.03,100.0,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
4514,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,19,2,QCM,0.3,0.54,56.14,38,29,67,61,38,23,1.1,62.3,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
5638,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,19,2,QCM,0.41,0.59,50.64,33,33,66,47,33,14,1.4,70.21,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
19,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,20,3,QROC,0.76,0.12,3.24,1,34,35,33,1,32,1.06,3.03,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1143,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,20,3,QROC,0.02,0.67,68.27,26,12,38,33,26,7,1.15,78.79,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
2267,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,20,3,QROC,0.11,0.95,68.27,29,13,42,29,29,0,1.45,100.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
3391,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,20,3,QROC,0.03,0.72,68.27,25,12,37,35,25,10,1.06,71.43,Facile,Facile,0,Meme Difficulté,Adapte,Law
4515,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,20,3,QROC,0.17,0.92,68.27,29,14,43,38,29,9,1.13,76.32,Facile,Facile,0,Meme Difficulté,Adapte,Law
5639,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,20,3,QROC,0.02,0.52,68.27,32,15,47,47,32,15,1.0,68.09,Facile,Facile,0,Meme Difficulté,Adapte,Law
20,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,21,4,QCM,0.14,0.91,72.87,31,11,42,36,31,5,1.17,86.11,Difficile,Facile,2,Beaucoup plus Facile,Adapte,Law
1144,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,21,4,QCM,0.07,0.86,72.87,35,13,48,38,35,3,1.26,92.11,Facile,Facile,0,Meme Difficulté,Adapte,Law
2268,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,21,4,QCM,0.03,0.83,72.87,37,14,51,37,37,0,1.38,100.0,Facile,Facile,0,Meme Difficulté,Adapte,Law
3392,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,21,4,QCM,0.09,1.0,72.87,38,14,52,51,38,13,1.02,74.51,Facile,Facile,0,Meme Difficulté,Adapte,Law
4516,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,21,4,QCM,0.16,0.88,72.87,35,13,48,39,35,4,1.23,89.74,Facile,Facile,0,Meme Difficulté,Adapte,Law
5640,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,21,4,QCU,0.18,0.94,72.87,30,11,41,32,30,2,1.28,93.75,Facile,Facile,0,Meme Difficulté,Adapte,Law
21,2015,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,22,5,QCU,0.14,0.78,80.32,51,13,64,63,51,12,1.02,80.95,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
1145,2016,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,22,5,QCU,0.74,0.32,10.43,6,56,62,42,6,36,1.48,14.29,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2269,2017,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,22,5,QCU,0.56,0.39,13.21,8,55,63,24,8,16,2.62,33.33,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3393,2018,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,22,5,QCU,0.17,0.81,81.22,44,10,54,47,44,3,1.15,93.62,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
4517,2019,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,22,5,QCM,0.06,0.74,97.63,45,1,46,45,45,0,1.02,100.0,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
5641,2020,Droit,2,Introduction Historique au Droit,1,L'Ancien Regime,5,22,5,QCM,0.02,0.71,77.95,37,11,48,38,37,1,1.26,97.37,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
