,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
3324,5,2019,Ingenieurie,1,5,QCM,56,49,17,32,1.14,34.69,17,39,30.54,Difficile,Difficile,Difficile / Difficile
4154,5,2020,Ingenieurie,1,5,QCM,67,64,39,25,1.05,60.94,39,28,58.32,Difficile,Difficile,Difficile / Difficile
5,6,2015,Ingenieurie,1,6,QROC,37,37,21,16,1.0,56.76,21,16,56.8,Difficile,Difficile,Difficile / Difficile
835,6,2016,Ingenieurie,1,6,QROC,34,29,17,12,1.17,58.62,17,17,51.3,Difficile,Difficile,Difficile / Difficile
1665,6,2017,Ingenieurie,1,6,QROC,28,13,7,6,2.15,53.85,7,21,26.02,Difficile,Difficile,Difficile / Difficile
2495,6,2018,Ingenieurie,1,6,QROC,31,28,7,21,1.11,25.0,7,24,21.74,Difficile,Trop Difficile,Difficile / Trop Difficile
3325,6,2019,Ingenieurie,1,6,QROC,35,31,19,12,1.13,61.29,19,16,52.97,Difficile,Difficile,Difficile / Difficile
4155,6,2020,Ingenieurie,1,6,QROC,40,21,13,8,1.9,61.9,13,27,33.04,Difficile,Difficile,Difficile / Difficile
6,7,2015,Ingenieurie,1,7,QO,74,54,51,3,1.37,94.44,51,23,69.48,Difficile,Adapte,Difficile / Adapte
836,7,2016,Ingenieurie,1,7,QO,63,53,44,9,1.19,83.02,44,19,70.58,Adapte,Adapte,Adapte / Adapte
1666,7,2017,Ingenieurie,1,7,QO,60,56,39,17,1.07,69.64,39,21,65.05,Adapte,Adapte,Adapte / Adapte
2496,7,2018,Ingenieurie,1,7,QO,64,64,40,24,1.0,62.5,40,24,61.88,Adapte,Adapte,Adapte / Adapte
3326,7,2019,Ingenieurie,1,7,QO,76,54,54,0,1.41,100.0,54,22,71.68,Adapte,Adapte,Adapte / Adapte
4156,7,2020,Ingenieurie,1,7,QO,80,58,56,2,1.38,96.55,56,24,69.81,Adapte,Adapte,Adapte / Adapte
7,8,2015,Ingenieurie,1,8,QCM,44,39,16,23,1.13,41.03,16,28,36.56,Facile,Difficile,Facile / Difficile
837,8,2016,Ingenieurie,1,8,QCM,42,38,14,24,1.11,36.84,14,28,33.88,Difficile,Difficile,Difficile / Difficile
1667,8,2017,Ingenieurie,1,8,QCM,39,13,11,2,3.0,84.62,11,28,27.76,Difficile,Difficile,Difficile / Difficile
2497,8,2018,Ingenieurie,1,8,QCM,36,29,18,11,1.24,62.07,18,18,50.42,Difficile,Difficile,Difficile / Difficile
3327,8,2019,Ingenieurie,1,8,QCM,31,31,30,1,1.0,96.77,30,1,96.71,Difficile,Trop Facile,Difficile / Trop Facile
4157,8,2020,Ingenieurie,1,8,QCM,28,25,7,18,1.12,28.0,7,21,25.77,Difficile,Difficile,Difficile / Difficile
8,9,2015,Ingenieurie,1,9,QCU,89,85,74,11,1.05,87.06,74,15,83.38,Adapte,Facile,Adapte / Facile
838,9,2016,Ingenieurie,1,9,QCU,95,79,65,14,1.2,82.28,65,30,68.4,Difficile,Adapte,Difficile / Adapte
1668,9,2017,Ingenieurie,1,9,QCU,108,107,78,29,1.01,72.9,78,30,72.15,Adapte,Adapte,Adapte / Adapte
2498,9,2018,Ingenieurie,1,9,QCU,121,89,74,15,1.36,83.15,74,47,60.89,Adapte,Adapte,Adapte / Adapte
3328,9,2019,Ingenieurie,1,9,QCU,100,93,62,31,1.08,66.67,62,38,62.01,Adapte,Adapte,Adapte / Adapte
4158,9,2020,Ingenieurie,1,9,QCU,106,83,76,7,1.28,91.57,76,30,71.27,Adapte,Adapte,Adapte / Adapte
9,10,2015,Ingenieurie,2,1,QCM,28,21,21,0,1.33,100.0,21,7,76.34,Difficile,Facile,Difficile / Facile
839,10,2016,Ingenieurie,2,1,QCM,32,32,0,32,1.0,0.0,0,32,1.24,Difficile,Trop Difficile,Difficile / Trop Difficile
1669,10,2017,Ingenieurie,2,1,QCM,38,27,19,8,1.41,70.37,19,19,50.8,Difficile,Difficile,Difficile / Difficile
2499,10,2018,Ingenieurie,2,1,QCM,45,42,29,13,1.07,69.05,29,16,65.46,Difficile,Adapte,Difficile / Adapte
3329,10,2019,Ingenieurie,2,1,QCM,42,38,29,9,1.11,76.32,29,13,70.14,Adapte,Adapte,Adapte / Adapte
4159,10,2020,Ingenieurie,2,1,QCM,38,33,25,8,1.15,75.76,25,13,65.23,Adapte,Adapte,Adapte / Adapte
10,11,2015,Ingenieurie,2,2,QCU,63,58,50,8,1.09,86.21,50,13,80.1,Facile,Facile,Facile / Facile
840,11,2016,Ingenieurie,2,2,QCU,56,51,26,25,1.1,50.98,26,30,45.67,Difficile,Difficile,Difficile / Difficile
1670,11,2017,Ingenieurie,2,2,QCU,59,58,54,4,1.02,93.1,54,5,91.43,Difficile,Trop Facile,Difficile / Trop Facile
2500,11,2018,Ingenieurie,2,2,QCU,66,47,32,15,1.4,68.09,32,34,47.86,Difficile,Difficile,Difficile / Difficile
3330,11,2019,Ingenieurie,2,2,QCU,59,52,23,29,1.13,44.23,23,36,38.66,Difficile,Difficile,Difficile / Difficile
4160,11,2020,Ingenieurie,2,2,QCU,58,58,58,0,1.0,100.0,58,0,99.23,Difficile,Trop Facile,Difficile / Trop Facile
11,12,2015,Ingenieurie,2,3,QCM,18,16,15,1,1.12,93.75,15,3,81.04,Facile,Facile,Facile / Facile
841,12,2016,Ingenieurie,2,3,QCM,15,14,12,2,1.07,85.71,12,3,76.79,Difficile,Facile,Difficile / Facile
1671,12,2017,Ingenieurie,2,3,QCM,15,12,2,10,1.25,16.67,2,13,12.97,Difficile,Trop Difficile,Difficile / Trop Difficile
2501,12,2018,Ingenieurie,2,3,QCM,18,17,11,6,1.06,64.71,11,7,58.5,Difficile,Difficile,Difficile / Difficile
3331,12,2019,Ingenieurie,2,3,QCM,15,13,12,1,1.15,92.31,12,3,79.79,Difficile,Facile,Difficile / Facile
4161,12,2020,Ingenieurie,2,3,QCM,16,16,12,4,1.0,75.0,12,4,77.54,Difficile,Facile,Difficile / Facile
12,13,2015,Ingenieurie,2,4,QCM,34,34,23,11,1.0,67.65,23,11,67.96,Trop Facile,Adapte,Trop Facile / Adapte
842,13,2016,Ingenieurie,2,4,QCM,29,22,18,4,1.32,81.82,18,11,61.65,Adapte,Adapte,Adapte / Adapte
1672,13,2017,Ingenieurie,2,4,QCM,35,27,23,4,1.3,85.19,23,12,65.21,Adapte,Adapte,Adapte / Adapte
2502,13,2018,Ingenieurie,2,4,QCM,38,35,27,8,1.09,77.14,27,11,72.33,Adapte,Adapte,Adapte / Adapte
3332,13,2019,Ingenieurie,2,4,QCM,32,23,23,0,1.39,100.0,23,9,72.84,Adapte,Adapte,Adapte / Adapte
4162,13,2020,Ingenieurie,2,4,QCM,31,26,23,3,1.19,88.46,23,8,74.11,Adapte,Adapte,Adapte / Adapte
13,14,2015,Ingenieurie,2,5,QCU,28,25,18,7,1.12,72.0,18,10,65.3,Difficile,Adapte,Difficile / Adapte
843,14,2016,Ingenieurie,2,5,QCU,22,20,15,5,1.1,75.0,15,7,67.24,Adapte,Adapte,Adapte / Adapte
1673,14,2017,Ingenieurie,2,5,QCU,18,14,13,1,1.29,92.86,13,5,69.48,Adapte,Adapte,Adapte / Adapte
2503,14,2018,Ingenieurie,2,5,QCU,17,15,10,5,1.13,66.67,10,7,60.76,Adapte,Adapte,Adapte / Adapte
3333,14,2019,Ingenieurie,2,5,QCU,20,14,14,0,1.43,100.0,14,6,71.14,Adapte,Adapte,Adapte / Adapte
4163,14,2020,Ingenieurie,2,5,QCU,18,17,12,5,1.06,70.59,12,6,65.53,Adapte,Adapte,Adapte / Adapte
14,15,2015,Ingenieurie,2,6,QROC,20,12,11,1,1.67,91.67,11,9,55.22,Difficile,Difficile,Difficile / Difficile
844,15,2016,Ingenieurie,2,6,QROC,23,12,6,6,1.92,50.0,6,17,27.03,Difficile,Difficile,Difficile / Difficile
1674,15,2017,Ingenieurie,2,6,QROC,23,17,8,9,1.35,47.06,8,15,36.79,Difficile,Difficile,Difficile / Difficile
2504,15,2018,Ingenieurie,2,6,QROC,19,19,19,0,1.0,100.0,19,0,98.02,Difficile,Trop Facile,Difficile / Trop Facile
3334,15,2019,Ingenieurie,2,6,QROC,18,16,8,8,1.12,50.0,8,10,45.38,Difficile,Difficile,Difficile / Difficile
4164,15,2020,Ingenieurie,2,6,QROC,14,9,1,8,1.56,11.11,1,13,10.7,Difficile,Trop Difficile,Difficile / Trop Difficile
15,16,2015,Ingenieurie,2,7,QCU,90,81,81,0,1.11,100.0,81,9,90.33,Trop Facile,Trop Facile,Trop Facile / Trop Facile
845,16,2016,Ingenieurie,2,7,QCU,92,55,35,20,1.67,63.64,35,57,37.81,Difficile,Difficile,Difficile / Difficile
1675,16,2017,Ingenieurie,2,7,QCU,81,52,47,5,1.56,90.38,47,34,57.77,Difficile,Difficile,Difficile / Difficile
2505,16,2018,Ingenieurie,2,7,QCU,84,63,16,47,1.33,25.4,16,68,18.81,Difficile,Trop Difficile,Difficile / Trop Difficile
3335,16,2019,Ingenieurie,2,7,QCU,73,45,21,24,1.62,46.67,21,52,28.68,Difficile,Difficile,Difficile / Difficile
4165,16,2020,Ingenieurie,2,7,QCU,60,53,53,0,1.13,100.0,53,7,88.34,Difficile,Trop Facile,Difficile / Trop Facile
16,17,2015,Ingenieurie,2,8,QCU,50,50,47,3,1.0,94.0,47,3,94.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
846,17,2016,Ingenieurie,2,8,QCU,40,26,20,6,1.54,76.92,20,20,49.95,Difficile,Difficile,Difficile / Difficile
1676,17,2017,Ingenieurie,2,8,QCU,38,37,32,5,1.03,86.49,32,6,84.5,Difficile,Facile,Difficile / Facile
2506,17,2018,Ingenieurie,2,8,QCU,30,28,17,11,1.07,60.71,17,13,56.72,Difficile,Difficile,Difficile / Difficile
3336,17,2019,Ingenieurie,2,8,QCU,24,18,18,0,1.33,100.0,18,6,73.82,Difficile,Adapte,Difficile / Adapte
4166,17,2020,Ingenieurie,2,8,QCU,25,19,18,1,1.32,94.74,18,7,71.24,Adapte,Adapte,Adapte / Adapte
17,18,2015,Ingenieurie,2,9,QCM,88,36,12,24,2.44,33.33,12,76,13.16,Difficile,Trop Difficile,Difficile / Trop Difficile
847,18,2016,Ingenieurie,2,9,QCM,87,85,80,5,1.02,94.12,80,7,92.18,Difficile,Trop Facile,Difficile / Trop Facile
1677,18,2017,Ingenieurie,2,9,QCM,97,56,54,2,1.73,96.43,54,43,55.67,Difficile,Difficile,Difficile / Difficile
2507,18,2018,Ingenieurie,2,9,QCM,113,48,38,10,2.35,79.17,38,75,33.36,Difficile,Difficile,Difficile / Difficile
3337,18,2019,Ingenieurie,2,9,QCM,118,99,54,45,1.19,54.55,54,64,46.03,Difficile,Difficile,Difficile / Difficile
4167,18,2020,Ingenieurie,2,9,QCM,119,51,35,16,2.33,68.63,35,84,29.82,Difficile,Difficile,Difficile / Difficile
18,19,2015,Ingenieurie,2,10,QCM,25,22,20,2,1.14,90.91,20,5,78.89,Facile,Facile,Facile / Facile
848,19,2016,Ingenieurie,2,10,QCM,24,21,11,10,1.14,52.38,11,13,46.78,Difficile,Difficile,Difficile / Difficile
1678,19,2017,Ingenieurie,2,10,QCM,29,26,6,20,1.12,23.08,6,23,21.82,Difficile,Trop Difficile,Difficile / Trop Difficile
2508,19,2018,Ingenieurie,2,10,QCM,27,26,14,12,1.04,53.85,14,13,53.23,Difficile,Difficile,Difficile / Difficile
3338,19,2019,Ingenieurie,2,10,QCM,32,22,10,12,1.45,45.45,10,22,29.78,Difficile,Difficile,Difficile / Difficile
4168,19,2020,Ingenieurie,2,10,QCM,27,22,19,3,1.23,86.36,19,8,72.15,Difficile,Adapte,Difficile / Adapte
19,20,2015,Ingenieurie,2,11,QCU,14,14,11,3,1.0,78.57,11,3,81.69,Difficile,Facile,Difficile / Facile
849,20,2016,Ingenieurie,2,11,QCU,13,11,5,6,1.18,45.45,5,8,35.43,Difficile,Difficile,Difficile / Difficile
1679,20,2017,Ingenieurie,2,11,QCU,12,12,10,2,1.0,83.33,10,2,86.59,Difficile,Trop Facile,Difficile / Trop Facile
2509,20,2018,Ingenieurie,2,11,QCU,14,14,5,9,1.0,35.71,5,9,36.68,Difficile,Difficile,Difficile / Difficile
3339,20,2019,Ingenieurie,2,11,QCU,17,15,8,7,1.13,53.33,8,9,45.72,Difficile,Difficile,Difficile / Difficile
4169,20,2020,Ingenieurie,2,11,QCU,18,13,3,10,1.38,23.08,3,15,17.31,Difficile,Trop Difficile,Difficile / Trop Difficile
20,21,2015,Ingenieurie,2,12,QCM,78,34,11,23,2.29,32.35,11,67,14.6,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
850,21,2016,Ingenieurie,2,12,QCM,62,58,51,7,1.07,87.93,51,11,81.7,Difficile,Facile,Difficile / Facile
1680,21,2017,Ingenieurie,2,12,QCM,69,54,22,32,1.28,40.74,22,47,31.88,Difficile,Difficile,Difficile / Difficile
2510,21,2018,Ingenieurie,2,12,QCM,55,45,14,31,1.22,31.11,14,41,25.38,Difficile,Difficile,Difficile / Difficile
3340,21,2019,Ingenieurie,2,12,QCM,56,41,23,18,1.37,56.1,23,33,40.55,Difficile,Difficile,Difficile / Difficile
4170,21,2020,Ingenieurie,2,12,QCM,49,42,29,13,1.17,69.05,29,20,58.79,Difficile,Difficile,Difficile / Difficile
21,22,2015,Ingenieurie,3,1,QCU,97,91,65,26,1.07,71.43,65,32,66.99,Trop Difficile,Adapte,Trop Difficile / Adapte
851,22,2016,Ingenieurie,3,1,QCU,79,72,54,18,1.1,75.0,54,25,67.77,Adapte,Adapte,Adapte / Adapte
1681,22,2017,Ingenieurie,3,1,QCU,87,64,61,3,1.36,95.31,61,26,70.11,Adapte,Adapte,Adapte / Adapte
2511,22,2018,Ingenieurie,3,1,QCU,86,65,62,3,1.32,95.38,62,24,71.73,Adapte,Adapte,Adapte / Adapte
3341,22,2019,Ingenieurie,3,1,QCU,89,88,62,26,1.01,70.45,62,27,69.43,Adapte,Adapte,Adapte / Adapte
4171,22,2020,Ingenieurie,3,1,QCU,99,88,67,21,1.12,76.14,67,32,67.83,Adapte,Adapte,Adapte / Adapte
22,23,2015,Ingenieurie,3,2,QCM,7,5,3,2,1.4,60.0,3,4,37.74,Difficile,Difficile,Difficile / Difficile
852,23,2016,Ingenieurie,3,2,QCM,7,5,4,1,1.4,80.0,4,3,56.41,Difficile,Difficile,Difficile / Difficile
1682,23,2017,Ingenieurie,3,2,QCM,6,4,3,1,1.5,75.0,3,3,57.7,Difficile,Difficile,Difficile / Difficile
2512,23,2018,Ingenieurie,3,2,QCM,5,4,3,1,1.25,75.0,3,2,66.6,Difficile,Adapte,Difficile / Adapte
3342,23,2019,Ingenieurie,3,2,QCM,6,6,4,2,1.0,66.67,4,2,63.18,Adapte,Adapte,Adapte / Adapte
4172,23,2020,Ingenieurie,3,2,QCM,6,5,4,1,1.2,80.0,4,2,64.99,Adapte,Adapte,Adapte / Adapte
23,24,2015,Ingenieurie,3,3,QCU,10,10,10,0,1.0,100.0,10,0,98.58,Trop Facile,Trop Facile,Trop Facile / Trop Facile
853,24,2016,Ingenieurie,3,3,QCU,12,11,10,1,1.09,90.91,10,2,83.9,Difficile,Facile,Difficile / Facile
1683,24,2017,Ingenieurie,3,3,QCU,11,10,9,1,1.1,90.0,9,2,79.53,Difficile,Facile,Difficile / Facile
2513,24,2018,Ingenieurie,3,3,QCU,9,6,2,4,1.5,33.33,2,7,20.44,Difficile,Trop Difficile,Difficile / Trop Difficile
3343,24,2019,Ingenieurie,3,3,QCU,10,9,6,3,1.11,66.67,6,4,64.76,Difficile,Adapte,Difficile / Adapte
4173,24,2020,Ingenieurie,3,3,QCU,10,9,7,2,1.11,77.78,7,3,66.78,Adapte,Adapte,Adapte / Adapte
24,25,2015,Ingenieurie,3,4,QCM,62,51,38,13,1.22,74.51,38,24,60.7,Trop Difficile,Adapte,Trop Difficile / Adapte
854,25,2016,Ingenieurie,3,4,QCM,63,54,45,9,1.17,83.33,45,18,70.95,Adapte,Adapte,Adapte / Adapte
1684,25,2017,Ingenieurie,3,4,QCM,72,48,44,4,1.5,91.67,44,28,61.02,Adapte,Adapte,Adapte / Adapte
2514,25,2018,Ingenieurie,3,4,QCM,63,52,41,11,1.21,78.85,41,22,64.48,Adapte,Adapte,Adapte / Adapte
3344,25,2019,Ingenieurie,3,4,QCM,76,73,46,27,1.04,63.01,46,30,60.1,Adapte,Adapte,Adapte / Adapte
4174,25,2020,Ingenieurie,3,4,QCM,84,71,51,20,1.18,71.83,51,33,61.25,Adapte,Adapte,Adapte / Adapte
25,26,2015,Ingenieurie,3,5,QCM,73,29,7,22,2.52,24.14,7,66,9.09,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
855,26,2016,Ingenieurie,3,5,QCM,69,32,21,11,2.16,65.62,21,48,29.99,Difficile,Difficile,Difficile / Difficile
1685,26,2017,Ingenieurie,3,5,QCM,77,42,39,3,1.83,92.86,39,38,50.4,Difficile,Difficile,Difficile / Difficile
2515,26,2018,Ingenieurie,3,5,QCM,91,87,46,41,1.05,52.87,46,45,50.93,Difficile,Difficile,Difficile / Difficile
3345,26,2019,Ingenieurie,3,5,QCM,109,82,44,38,1.33,53.66,44,65,40.38,Difficile,Difficile,Difficile / Difficile
4175,26,2020,Ingenieurie,3,5,QCM,125,120,109,11,1.04,90.83,109,16,87.01,Difficile,Trop Facile,Difficile / Trop Facile
26,27,2015,Ingenieurie,3,6,QCU,37,17,5,12,2.18,29.41,5,32,14.44,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
856,27,2016,Ingenieurie,3,6,QCU,44,35,27,8,1.26,77.14,27,17,62.49,Difficile,Adapte,Difficile / Adapte
1686,27,2017,Ingenieurie,3,6,QCU,43,35,30,5,1.23,85.71,30,13,70.81,Adapte,Adapte,Adapte / Adapte
2516,27,2018,Ingenieurie,3,6,QCU,34,28,24,4,1.21,85.71,24,10,71.88,Adapte,Adapte,Adapte / Adapte
3346,27,2019,Ingenieurie,3,6,QCU,30,23,22,1,1.3,95.65,22,8,71.93,Adapte,Adapte,Adapte / Adapte
4176,27,2020,Ingenieurie,3,6,QCU,36,35,25,10,1.03,71.43,25,11,68.87,Adapte,Adapte,Adapte / Adapte
27,28,2015,Ingenieurie,3,7,QCU,66,58,55,3,1.14,94.83,55,11,83.27,Facile,Facile,Facile / Facile
857,28,2016,Ingenieurie,3,7,QCU,64,46,10,36,1.39,21.74,10,54,16.32,Difficile,Trop Difficile,Difficile / Trop Difficile
1687,28,2017,Ingenieurie,3,7,QCU,52,35,26,9,1.49,74.29,26,26,50.38,Difficile,Difficile,Difficile / Difficile
2517,28,2018,Ingenieurie,3,7,QCU,44,39,26,13,1.13,66.67,26,18,58.07,Difficile,Difficile,Difficile / Difficile
3347,28,2019,Ingenieurie,3,7,QCU,42,38,36,2,1.11,94.74,36,6,84.94,Difficile,Facile,Difficile / Facile
4177,28,2020,Ingenieurie,3,7,QCU,49,47,45,2,1.04,95.74,45,4,91.72,Difficile,Trop Facile,Difficile / Trop Facile
28,29,2015,Ingenieurie,3,8,QROC,91,43,2,41,2.12,4.65,2,89,2.63,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
858,29,2016,Ingenieurie,3,8,QROC,85,61,27,34,1.39,44.26,27,58,31.26,Difficile,Difficile,Difficile / Difficile
1688,29,2017,Ingenieurie,3,8,QROC,87,86,78,8,1.01,90.7,78,9,89.31,Difficile,Trop Facile,Difficile / Trop Facile
2518,29,2018,Ingenieurie,3,8,QROC,99,83,55,28,1.19,66.27,55,44,55.26,Difficile,Difficile,Difficile / Difficile
3348,29,2019,Ingenieurie,3,8,QROC,87,84,82,2,1.04,97.62,82,5,94.66,Difficile,Trop Facile,Difficile / Trop Facile
4178,29,2020,Ingenieurie,3,8,QROC,81,73,33,40,1.11,45.21,33,48,40.25,Difficile,Difficile,Difficile / Difficile
29,30,2015,Ingenieurie,3,9,QCU,55,50,48,2,1.1,96.0,48,7,87.56,Difficile,Trop Facile,Difficile / Trop Facile
859,30,2016,Ingenieurie,3,9,QCU,60,49,31,18,1.22,63.27,31,29,51.32,Difficile,Difficile,Difficile / Difficile
1689,30,2017,Ingenieurie,3,9,QCU,66,54,25,29,1.22,46.3,25,41,37.98,Difficile,Difficile,Difficile / Difficile
2519,30,2018,Ingenieurie,3,9,QCU,72,64,36,28,1.12,56.25,36,36,49.66,Difficile,Difficile,Difficile / Difficile
3349,30,2019,Ingenieurie,3,9,QCU,83,62,26,36,1.34,41.94,26,57,31.08,Difficile,Difficile,Difficile / Difficile
4179,30,2020,Ingenieurie,3,9,QCU,81,53,51,2,1.53,96.23,51,30,62.87,Difficile,Adapte,Difficile / Adapte
30,31,2015,Ingenieurie,3,10,QCU,79,30,17,13,2.63,56.67,17,62,21.29,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
860,31,2016,Ingenieurie,3,10,QCU,75,54,4,50,1.39,7.41,4,71,4.89,Difficile,Trop Difficile,Difficile / Trop Difficile
1690,31,2017,Ingenieurie,3,10,QCU,90,84,27,57,1.07,32.14,27,63,30.42,Difficile,Difficile,Difficile / Difficile
2520,31,2018,Ingenieurie,3,10,QCU,74,69,36,33,1.07,52.17,36,38,48.17,Difficile,Difficile,Difficile / Difficile
3350,31,2019,Ingenieurie,3,10,QCU,78,53,33,20,1.47,62.26,33,45,42.57,Difficile,Difficile,Difficile / Difficile
4180,31,2020,Ingenieurie,3,10,QCU,87,80,80,0,1.09,100.0,80,7,92.29,Difficile,Trop Facile,Difficile / Trop Facile
31,32,2015,Ingenieurie,3,11,QCM,9,8,4,4,1.12,50.0,4,5,41.0,Difficile,Difficile,Difficile / Difficile
861,32,2016,Ingenieurie,3,11,QCM,11,7,5,2,1.57,71.43,5,6,41.06,Difficile,Difficile,Difficile / Difficile
1691,32,2017,Ingenieurie,3,11,QCM,13,8,7,1,1.62,87.5,7,6,50.88,Difficile,Difficile,Difficile / Difficile
2521,32,2018,Ingenieurie,3,11,QCM,13,12,4,8,1.08,33.33,4,9,34.32,Difficile,Difficile,Difficile / Difficile
3351,32,2019,Ingenieurie,3,11,QCM,14,6,0,6,2.33,0.0,0,14,0.28,Difficile,Trop Difficile,Difficile / Trop Difficile
4181,32,2020,Ingenieurie,3,11,QCM,14,10,6,4,1.4,60.0,6,8,45.63,Difficile,Difficile,Difficile / Difficile
32,33,2015,Ingenieurie,3,12,QCM,56,55,44,11,1.02,80.0,44,12,78.03,Facile,Facile,Facile / Facile
862,33,2016,Ingenieurie,3,12,QCM,46,44,29,15,1.05,65.91,29,17,62.99,Difficile,Adapte,Difficile / Adapte
1692,33,2017,Ingenieurie,3,12,QCM,48,47,29,18,1.02,61.7,29,19,60.86,Adapte,Adapte,Adapte / Adapte
2522,33,2018,Ingenieurie,3,12,QCM,42,32,30,2,1.31,93.75,30,12,70.41,Adapte,Adapte,Adapte / Adapte
3352,33,2019,Ingenieurie,3,12,QCM,44,44,28,16,1.0,63.64,28,16,62.61,Adapte,Adapte,Adapte / Adapte
4182,33,2020,Ingenieurie,3,12,QCM,44,35,29,6,1.26,82.86,29,15,66.81,Adapte,Adapte,Adapte / Adapte
